phase,horizon_h,subset,response_group,family,observed,n,failures,hits,mae_m,bias_m,absolute_error_sum_m,maximum_error_m
validation,2,level_ge_7m,decrease_gt_0.5m,augmented,3,3,0,3,0.10919090220493644,0.06441555928078913,0.3275727066148093,0.1815058953543227
validation,2,level_ge_7m,within_0.5m,augmented,21,21,0,21,0.11992914264362584,0.013954226238638174,2.5185119955161426,0.44768831489714067
validation,2,level_ge_7m,unavailable_base,augmented,0,0,0,0,,,0.0,
validation,3,all,increase_gt_0.5m,observed_control,368,368,0,357,0.14464304240381273,-0.053886740429683354,53.22863960460309,1.1920604870833724
validation,3,all,decrease_gt_0.5m,observed_control,185,185,0,185,0.053001567627025646,0.038434852610195976,9.805290010999745,0.3613285414083123
validation,3,all,within_0.5m,observed_control,5923,5923,0,5902,0.03884299384747903,0.010561843354097907,230.06705255861831,1.537354044244438
validation,3,all,unavailable_base,observed_control,39,0,39,0,,,0.0,
validation,3,all,increase_gt_0.5m,augmented,368,368,0,358,0.13932227328803318,-0.05778627124507581,51.27059656999621,1.2064557435515937
validation,3,all,decrease_gt_0.5m,augmented,185,185,0,185,0.05221127689488457,0.0344359033986389,9.659086225553645,0.375937540086261
validation,3,all,within_0.5m,augmented,5923,5923,0,5903,0.0377601878251006,0.008078512050824124,223.65359248807084,1.513156987630211
validation,3,all,unavailable_base,augmented,39,0,39,0,,,0.0,
validation,3,level_ge_7m,increase_gt_0.5m,observed_control,5,5,0,5,0.2394798739729504,-0.05274662706883522,1.197399369864752,0.466833117260288
validation,3,level_ge_7m,decrease_gt_0.5m,observed_control,6,6,0,6,0.1273202484009488,0.10951087753388104,0.7639214904056928,0.33918584631179005
validation,3,level_ge_7m,within_0.5m,observed_control,17,17,0,15,0.16398050309136625,0.05606129228863555,2.7876685525532263,0.6140799441250824
validation,3,level_ge_7m,unavailable_base,observed_control,0,0,0,0,,,0.0,
validation,3,level_ge_7m,increase_gt_0.5m,augmented,5,5,0,4,0.34500224583004113,-0.11593515285945007,1.7250112291502058,0.5726677324264777
validation,3,level_ge_7m,decrease_gt_0.5m,augmented,6,6,0,6,0.1462928621578025,0.11062318151557686,0.877757172946815,0.33954677460452576
validation,3,level_ge_7m,within_0.5m,augmented,17,17,0,15,0.182949782774139,0.181124482345789,3.110146307160363,0.5932292719987533
validation,3,level_ge_7m,unavailable_base,augmented,0,0,0,0,,,0.0,
validation,4,all,increase_gt_0.5m,observed_control,512,512,0,496,0.15185621508387837,-0.038961789938538036,77.75038212294572,1.8219056508267162
validation,4,all,decrease_gt_0.5m,observed_control,294,294,0,290,0.08030057163969852,0.05760220930136841,23.608368062071364,0.6968418576503628
validation,4,all,within_0.5m,observed_control,5668,5668,0,5645,0.05184611587409922,0.017038915350775483,293.8637847743944,1.7712525859471153
validation,4,all,unavailable_base,observed_control,40,0,40,0,,,0.0,
validation,4,all,increase_gt_0.5m,augmented,512,512,0,493,0.16037833798334564,-0.04878295219886676,82.11370904747297,1.9584049216769284
validation,4,all,decrease_gt_0.5m,augmented,294,294,0,291,0.07463939304181254,0.05327816486894876,21.943981554292886,0.653568134193391
validation,4,all,within_0.5m,augmented,5668,5668,0,5638,0.055427680245637136,0.016463075948465942,314.16409163227127,1.9774722690030497
validation,4,all,unavailable_base,augmented,40,0,40,0,,,0.0,
validation,4,level_ge_7m,increase_gt_0.5m,observed_control,7,7,0,5,0.285704344567531,-0.12965262139483982,1.9999304119727173,0.560207741268413
validation,4,level_ge_7m,decrease_gt_0.5m,observed_control,7,7,0,7,0.12599354948702185,0.12070986772564016,0.8819548464091529,0.31651333240981394
validation,4,level_ge_7m,within_0.5m,observed_control,14,14,0,14,0.12707353063067003,0.008161870596065388,1.7790294288293804,0.45923026398489064
validation,4,level_ge_7m,unavailable_base,observed_control,0,0,0,0,,,0.0,
validation,4,level_ge_7m,increase_gt_0.5m,augmented,7,7,0,6,0.28880444565367586,0.11480757525051707,2.021631119575731,0.8487322721377595
validation,4,level_ge_7m,decrease_gt_0.5m,augmented,7,7,0,7,0.16405229843572058,0.15688266464064668,1.148366089050044,0.31865369401482013
validation,4,level_ge_7m,within_0.5m,augmented,14,14,0,13,0.2542771350367339,0.21769516040661582,3.5598798905142743,0.7992065802476915
validation,4,level_ge_7m,unavailable_base,augmented,0,0,0,0,,,0.0,
validation,5,all,increase_gt_0.5m,observed_control,652,652,0,611,0.1773339931336643,-0.05340907166228873,115.62176352314913,1.9219038154095536
validation,5,all,decrease_gt_0.5m,observed_control,461,461,0,448,0.1027573746574209,0.06397954704888927,47.371149717071035,0.819315880890414
validation,5,all,within_0.5m,observed_control,5360,5360,0,5323,0.0640342953067845,0.01872059513871859,343.223822844365,1.7535293873945879
validation,5,all,unavailable_base,observed_control,40,0,40,0,,,0.0,
validation,5,all,increase_gt_0.5m,augmented,652,652,0,600,0.20093501252996684,-0.03249770192594624,131.0096281695384,2.5442342290228357
