phase,horizon_h,subset,response_group,family,observed,n,failures,hits,mae_m,bias_m,absolute_error_sum_m,maximum_error_m
test,3,all,decrease_gt_0.5m,observed_control,258,258,0,251,0.09232540331945195,0.05630513775610556,23.819954056418602,0.8504606638499723
test,3,all,within_0.5m,observed_control,1384,1384,0,1377,0.05683925051366893,0.0028287090019915354,78.6655227109178,0.7681718392690549
test,3,all,unavailable_base,observed_control,9,0,9,0,,,0.0,
test,3,all,increase_gt_0.5m,augmented,291,291,0,276,0.1962172325422537,-0.08119028292536025,57.09921466979583,3.087788358226053
test,3,all,decrease_gt_0.5m,augmented,258,258,0,250,0.0988802434327513,0.06298686129346025,25.511102805649834,0.9087304940539696
test,3,all,within_0.5m,augmented,1384,1384,0,1374,0.05858232135718782,0.007262191834262087,81.07793275834794,0.8570413693962662
test,3,all,unavailable_base,augmented,9,0,9,0,,,0.0,
test,3,level_ge_7m,increase_gt_0.5m,observed_control,52,52,0,33,0.555711249674068,-0.3772224821572138,28.89698498305154,3.5268719363183774
test,3,level_ge_7m,decrease_gt_0.5m,observed_control,69,69,0,62,0.1971257946956116,0.15610909255518832,13.6016798339972,0.8504606638499723
test,3,level_ge_7m,within_0.5m,observed_control,115,115,0,111,0.12251703783316387,-0.018824407498651684,14.089459350813845,0.7681718392690549
test,3,level_ge_7m,unavailable_base,observed_control,1,0,1,0,,,0.0,
test,3,level_ge_7m,increase_gt_0.5m,augmented,52,52,0,40,0.49912625618046663,-0.271756194965435,25.954565321384266,3.087788358226053
test,3,level_ge_7m,decrease_gt_0.5m,augmented,69,69,0,61,0.22252079098292546,0.18704894782255715,15.353934577821857,0.9087304940539696
test,3,level_ge_7m,within_0.5m,augmented,115,115,0,110,0.12745462848485825,-0.008265681978801863,14.657282275758698,0.7952262523780131
test,3,level_ge_7m,unavailable_base,augmented,1,0,1,0,,,0.0,
test,4,all,increase_gt_0.5m,observed_control,358,358,0,313,0.2582980425659749,-0.07299196402057426,92.470699238619,4.159274231826119
test,4,all,decrease_gt_0.5m,observed_control,364,364,0,352,0.11178161796491456,0.050040139593602685,40.6885089392289,1.121376139507591
test,4,all,within_0.5m,observed_control,1209,1209,0,1198,0.07277492065915123,0.005140567836236706,87.98487907691383,0.7941933332768709
test,4,all,unavailable_base,observed_control,10,0,10,0,,,0.0,
test,4,all,increase_gt_0.5m,augmented,358,358,0,321,0.23602383996823972,-0.05938854285155046,84.49653470862982,3.527513551851067
test,4,all,decrease_gt_0.5m,augmented,364,364,0,352,0.11326094432718163,0.054432396458803343,41.226983735094116,1.114699758794691
test,4,all,within_0.5m,augmented,1209,1209,0,1199,0.07267698955725863,0.003929808092753864,87.86648037472568,0.8081660122496057
test,4,all,unavailable_base,augmented,10,0,10,0,,,0.0,
test,4,level_ge_7m,increase_gt_0.5m,observed_control,62,62,0,33,0.7177614309342912,-0.40698158032261395,44.501208717926055,4.159274231826119
test,4,level_ge_7m,decrease_gt_0.5m,observed_control,84,84,0,72,0.24480890758414134,0.16010969949419232,20.563948237067873,1.121376139507591
test,4,level_ge_7m,within_0.5m,observed_control,90,90,0,84,0.18889919844542596,-0.06722429074745544,17.000927860088336,0.7941933332768709
test,4,level_ge_7m,unavailable_base,observed_control,1,0,1,0,,,0.0,
test,4,level_ge_7m,increase_gt_0.5m,augmented,62,62,0,38,0.5844115936310031,-0.3318459134246024,36.233518805122195,3.527513551851067
test,4,level_ge_7m,decrease_gt_0.5m,augmented,84,84,0,72,0.24478938569222355,0.16812897716669137,20.56230839814678,1.114699758794691
test,4,level_ge_7m,within_0.5m,augmented,90,90,0,84,0.18993259787602876,-0.04375117162989492,17.09393380884259,0.8081660122496057
test,4,level_ge_7m,unavailable_base,augmented,1,0,1,0,,,0.0,
test,5,all,increase_gt_0.5m,observed_control,396,396,0,349,0.29231563443712355,-0.11545835806323688,115.75699123710092,4.732017992487203
test,5,all,decrease_gt_0.5m,observed_control,455,455,0,436,0.13790730618415364,0.06851142852870755,62.74782431378991,1.3060097180899604
test,5,all,within_0.5m,observed_control,1078,1078,0,1052,0.10400185802427325,0.003955055381720281,112.11400295016657,0.9846867342340797
test,5,all,unavailable_base,observed_control,11,0,11,0,,,0.0,
test,5,all,increase_gt_0.5m,augmented,396,396,0,341,0.3036332337736881,-0.10082848222188527,120.23876057438049,4.334247934466192
test,5,all,decrease_gt_0.5m,augmented,455,455,0,435,0.1418488917013511,0.06174298829670856,64.54124572411475,1.3423186131953422
test,5,all,within_0.5m,augmented,1078,1078,0,1061,0.1012570664103882,-0.0031300883183198263,109.15511759039848,1.7579682967949442
test,5,all,unavailable_base,augmented,11,0,11,0,,,0.0,
test,5,level_ge_7m,increase_gt_0.5m,observed_control,68,68,0,37,0.8536398009502759,-0.5011219931154275,58.04750646461876,4.732017992487203
test,5,level_ge_7m,decrease_gt_0.5m,observed_control,97,97,0,80,0.29373886118953835,0.17919649582844377,28.492669535385218,1.3060097180899604
test,5,level_ge_7m,within_0.5m,observed_control,71,71,0,57,0.2752400952619836,-0.05297711587204485,19.542046763600837,0.9846867342340797
test,5,level_ge_7m,unavailable_base,observed_control,1,0,1,0,,,0.0,
test,5,level_ge_7m,increase_gt_0.5m,augmented,68,68,0,31,0.8421841702263384,-0.34361667081657166,57.268523575391015,4.334247934466192
test,5,level_ge_7m,decrease_gt_0.5m,augmented,97,97,0,79,0.3030618224339201,0.17375434292484754,29.39699677609025,1.3423186131953422
test,5,level_ge_7m,within_0.5m,augmented,71,71,0,59,0.316631849891504,-0.02775169397953575,22.480861342296784,1.7579682967949442
test,5,level_ge_7m,unavailable_base,augmented,1,0,1,0,,,0.0,
test,6,all,increase_gt_0.5m,observed_control,438,438,0,339,0.3778866276494643,-0.18665402789067795,165.51434291046536,5.717300772050423
test,6,all,decrease_gt_0.5m,observed_control,562,562,0,527,0.17300043178502805,0.09163379407849345,97.22624266318576,1.5901758011155138
test,6,all,within_0.5m,observed_control,927,927,0,880,0.14637369832224664,0.001754241306778496,135.68841834472263,1.2163966519620413
test,6,all,unavailable_base,observed_control,12,0,12,0,,,0.0,
test,6,all,increase_gt_0.5m,augmented,438,438,0,338,0.35351944012678566,-0.14282060152773293,154.84151477553212,4.513467748884009
test,6,all,decrease_gt_0.5m,augmented,562,562,0,528,0.1728429279599623,0.09417605965368459,97.13772551349882,1.606419566129226
test,6,all,within_0.5m,augmented,927,927,0,891,0.13759331778642794,0.003171956447576062,127.5490055880187,1.2387695840451638
test,6,all,unavailable_base,augmented,12,0,12,0,,,0.0,
test,6,level_ge_7m,increase_gt_0.5m,observed_control,76,76,0,31,1.0804697101075067,-0.6970549129262341,82.11569796817051,5.717300772050423
test,6,level_ge_7m,decrease_gt_0.5m,observed_control,102,102,0,81,0.3443959521071265,0.21566450939498052,35.1283871149269,1.5901758011155138
test,6,level_ge_7m,within_0.5m,observed_control,58,58,0,37,0.41697774054469233,0.007196740488970872,24.184708951592157,1.2163966519620413
test,6,level_ge_7m,unavailable_base,observed_control,1,0,1,0,,,0.0,
test,6,level_ge_7m,increase_gt_0.5m,augmented,76,76,0,30,0.9300715917725167,-0.41378228259359895,70.68544097471127,4.513467748884009
test,6,level_ge_7m,decrease_gt_0.5m,augmented,102,102,0,81,0.35417483467436334,0.2318163809597178,36.12583313678506,1.606419566129226
test,6,level_ge_7m,within_0.5m,augmented,58,58,0,43,0.37895213361005076,0.05428457474026984,21.979223749382943,1.2387695840451638
test,6,level_ge_7m,unavailable_base,augmented,1,0,1,0,,,0.0,
test,7,all,increase_gt_0.5m,observed_control,474,474,0,367,0.4179103086700452,-0.2075074377545156,198.08948630960143,5.611443817837554
test,7,all,decrease_gt_0.5m,observed_control,639,639,0,575,0.2497667248779804,0.14856719800145024,159.60093719702948,2.3591624487101654
test,7,all,within_0.5m,observed_control,812,812,0,747,0.1904095460291972,-0.017336702251175642,154.61255137570814,1.5912789951489543
test,7,all,unavailable_base,observed_control,13,0,13,0,,,0.0,
test,7,all,increase_gt_0.5m,augmented,474,474,0,370,0.37089858580073115,-0.11649931477213732,175.80592966954657,3.687598602610098
test,7,all,decrease_gt_0.5m,augmented,639,639,0,572,0.2599670576275379,0.16463672915615596,166.11894982399673,2.3923272798169535
test,7,all,within_0.5m,augmented,812,812,0,759,0.18038181124527963,-0.016510878237506542,146.47003073116707,2.942534888809064
test,7,all,unavailable_base,augmented,13,0,13,0,,,0.0,
test,7,level_ge_7m,increase_gt_0.5m,observed_control,82,82,0,28,1.1850052689682724,-0.7753895693786155,97.17043205539834,5.611443817837554
test,7,level_ge_7m,decrease_gt_0.5m,observed_control,106,106,0,77,0.49139072947983603,0.3416707618307651,52.08741732486262,2.3591624487101654
test,7,level_ge_7m,within_0.5m,observed_control,48,48,0,27,0.5043603543114447,0.058545432924619965,24.209297006949345,1.5912789951489543
test,7,level_ge_7m,unavailable_base,observed_control,1,0,1,0,,,0.0,
test,7,level_ge_7m,increase_gt_0.5m,augmented,82,82,0,35,0.9183270318964873,-0.19451282541099774,75.30281661551196,3.687598602610098
test,7,level_ge_7m,decrease_gt_0.5m,augmented,106,106,0,63,0.6147528603906924,0.4568471777852888,65.1638032014134,2.3923272798169535
test,7,level_ge_7m,within_0.5m,augmented,48,48,0,28,0.6094065004137939,0.16522119734097565,29.251512019862105,2.942534888809064
test,7,level_ge_7m,unavailable_base,augmented,1,0,1,0,,,0.0,
test,8,all,increase_gt_0.5m,observed_control,508,508,0,396,0.44999332486712235,-0.2537611710956368,228.59660903249815,6.185898482285559
test,8,all,decrease_gt_0.5m,observed_control,709,709,0,601,0.2998520370727442,0.19197979514273836,212.59509428457565,2.487916009694258
test,8,all,within_0.5m,observed_control,706,706,0,626,0.2563234164078629,-0.035622181549884495,180.96433198395118,1.9761046534849953
test,8,all,unavailable_base,observed_control,14,0,14,0,,,0.0,
test,8,all,increase_gt_0.5m,augmented,508,508,0,399,0.3969509167376423,-0.1901660858982253,201.6510657027223,3.913272849374927
test,8,all,decrease_gt_0.5m,augmented,709,709,0,619,0.28561201287834537,0.17538341487306175,202.49891713074686,2.503006761361082
test,8,all,within_0.5m,augmented,706,706,0,643,0.23777320839182706,-0.05924431491863593,167.8678851246299,2.533547679600236
test,8,all,unavailable_base,augmented,14,0,14,0,,,0.0,
test,8,level_ge_7m,increase_gt_0.5m,observed_control,84,84,0,27,1.3824544688797082,-0.9885848374879994,116.1261753858955,6.185898482285559
test,8,level_ge_7m,decrease_gt_0.5m,observed_control,109,109,0,77,0.5501067488984099,0.4009918068833994,59.96163562992668,2.487916009694258
test,8,level_ge_7m,within_0.5m,observed_control,43,43,0,24,0.5358301309611239,0.13984323115448422,23.040695631328326,1.9761046534849953
test,8,level_ge_7m,unavailable_base,observed_control,1,0,1,0,,,0.0,
test,8,level_ge_7m,increase_gt_0.5m,augmented,84,84,0,44,0.954170855872114,-0.4485329966516759,80.15035189325758,3.913272849374927
test,8,level_ge_7m,decrease_gt_0.5m,augmented,109,109,0,66,0.608097166022813,0.4602231540907241,66.28259109648663,2.503006761361082
test,8,level_ge_7m,within_0.5m,augmented,43,43,0,25,0.6153023609673602,0.19744312671180278,26.45800152159649,2.533547679600236
test,8,level_ge_7m,unavailable_base,augmented,1,0,1,0,,,0.0,
test,9,all,increase_gt_0.5m,observed_control,534,534,0,382,0.5072771303388183,-0.31609605705994015,270.88598760092896,6.0003742492804815
test,9,all,decrease_gt_0.5m,observed_control,755,755,0,608,0.35158972066267563,0.2263371019708092,265.4502391003201,2.672467307989354
test,9,all,within_0.5m,observed_control,632,632,0,546,0.29297052204270896,-0.08071564439532285,185.15736993099205,1.8106865915371664
test,9,all,unavailable_base,observed_control,15,0,15,0,,,0.0,
test,9,all,increase_gt_0.5m,augmented,534,534,0,410,0.42957898245392395,-0.23883700549668582,229.39517663039538,4.53114741249782
test,9,all,decrease_gt_0.5m,augmented,755,755,0,602,0.35294559659994273,0.2165925001798649,266.4739254329568,2.836095518338702
test,9,all,within_0.5m,augmented,632,632,0,545,0.2870283952504347,-0.09464066640589573,181.40194579827474,2.1502313178623105
test,9,all,unavailable_base,augmented,15,0,15,0,,,0.0,
test,9,level_ge_7m,increase_gt_0.5m,observed_control,93,93,0,23,1.5153654540265098,-1.1009201690082069,140.9289872244654,6.0003742492804815
test,9,level_ge_7m,decrease_gt_0.5m,observed_control,109,109,0,70,0.6313394813587714,0.45400949038908067,68.81600346810608,2.672467307989354
test,9,level_ge_7m,within_0.5m,observed_control,34,34,0,20,0.558995812938056,0.0831916992390941,19.005857639893904,1.8106865915371664
test,9,level_ge_7m,unavailable_base,observed_control,1,0,1,0,,,0.0,
test,9,level_ge_7m,increase_gt_0.5m,augmented,93,93,0,45,1.0524613320984548,-0.5495797575161072,97.87890388515629,4.53114741249782
test,9,level_ge_7m,decrease_gt_0.5m,augmented,109,109,0,57,0.7495820229022755,0.5770806760248358,81.70444049634803,2.836095518338702
test,9,level_ge_7m,within_0.5m,augmented,34,34,0,19,0.6707166370748691,0.19468148236789076,22.80436566054555,2.1502313178623105
test,9,level_ge_7m,unavailable_base,augmented,1,0,1,0,,,0.0,
test,10,all,increase_gt_0.5m,observed_control,558,558,0,404,0.5204433079835581,-0.32629901757989305,290.4073658548254,6.464545216847842
test,10,all,decrease_gt_0.5m,observed_control,767,767,0,582,0.3900111283292186,0.2183396733543352,299.13853542851064,2.717578300098271
test,10,all,within_0.5m,observed_control,594,594,0,461,0.36467134489317504,-0.13790860156534862,216.61477886654598,2.34211244426948
test,10,all,unavailable_base,observed_control,16,0,16,0,,,0.0,
test,10,all,increase_gt_0.5m,augmented,558,558,0,400,0.48274752725229036,-0.2976603754038787,269.373120206778,4.770160156293642
test,10,all,decrease_gt_0.5m,augmented,767,767,0,582,0.37503116829473965,0.20009472797213332,287.6489060820653,2.58212959453623
test,10,all,within_0.5m,augmented,594,594,0,457,0.35790364890558485,-0.15296255729520122,212.59476744991738,2.0655232633873286
test,10,all,unavailable_base,augmented,16,0,16,0,,,0.0,
test,10,level_ge_7m,increase_gt_0.5m,observed_control,98,98,0,26,1.5450533126214654,-1.1259924764225515,151.41522463690362,6.464545216847842
test,10,level_ge_7m,decrease_gt_0.5m,observed_control,109,109,0,56,0.7151476823923123,0.3655290055626477,77.95109738076204,2.717578300098271
test,10,level_ge_7m,within_0.5m,observed_control,29,29,0,11,0.7806154835410235,0.06586393952576236,22.637849022689682,2.34211244426948
test,10,level_ge_7m,unavailable_base,observed_control,1,0,1,0,,,0.0,
test,10,level_ge_7m,increase_gt_0.5m,augmented,98,98,0,33,1.2416310019842913,-0.7051230422409811,121.67983819446054,4.770160156293642
test,10,level_ge_7m,decrease_gt_0.5m,augmented,109,109,0,54,0.7049866869269767,0.34350972948867786,76.84354887504047,2.58212959453623
test,10,level_ge_7m,within_0.5m,augmented,29,29,0,10,0.7692505475824246,0.1816329600362693,22.308265879890314,2.0655232633873286
test,10,level_ge_7m,unavailable_base,augmented,1,0,1,0,,,0.0,
test,11,all,increase_gt_0.5m,observed_control,572,572,0,413,0.5658641084853213,-0.3886855869742501,323.6742700536038,6.566430652044184
test,11,all,decrease_gt_0.5m,observed_control,783,783,0,579,0.4007207808533975,0.22592403663426747,313.76437140821025,2.7350771192675616
test,11,all,within_0.5m,observed_control,562,562,0,403,0.3920199385960609,-0.14647664017561363,220.31520549098622,2.8420099415601303
test,11,all,unavailable_base,observed_control,17,0,17,0,,,0.0,
test,11,all,increase_gt_0.5m,augmented,572,572,0,411,0.5419272997943245,-0.3821957014806086,309.98241548235364,5.820890909678985
test,11,all,decrease_gt_0.5m,augmented,783,783,0,578,0.4057405043405597,0.21703114802716558,317.69481489865825,3.1458564100480046
test,11,all,within_0.5m,augmented,562,562,0,409,0.3842939670532196,-0.1509777034043135,215.97320948390941,2.5466005149613604
test,11,all,unavailable_base,augmented,17,0,17,0,,,0.0,
test,11,level_ge_7m,increase_gt_0.5m,observed_control,100,100,0,19,1.728086904290463,-1.3272280771632825,172.8086904290463,6.566430652044184
test,11,level_ge_7m,decrease_gt_0.5m,observed_control,111,111,0,53,0.7590594050290445,0.3014782980920456,84.25559395822394,2.7350771192675616
test,11,level_ge_7m,within_0.5m,observed_control,25,25,0,13,0.8405083865116635,0.2707038587638138,21.012709662791586,2.8420099415601303
test,11,level_ge_7m,unavailable_base,observed_control,1,0,1,0,,,0.0,
test,11,level_ge_7m,increase_gt_0.5m,augmented,100,100,0,28,1.5279882114139411,-1.0824068106473748,152.79882114139411,5.820890909678985
test,11,level_ge_7m,decrease_gt_0.5m,augmented,111,111,0,52,0.8323043761034443,0.3146788335980568,92.38578574748232,3.1458564100480046
test,11,level_ge_7m,within_0.5m,augmented,25,25,0,9,0.8525240467729186,0.4360504878865102,21.313101169322966,2.5466005149613604
test,11,level_ge_7m,unavailable_base,augmented,1,0,1,0,,,0.0,
test,12,all,increase_gt_0.5m,observed_control,581,581,0,412,0.6379935923914357,-0.45661705602320957,370.67427717942417,7.5899965838495795
test,12,all,decrease_gt_0.5m,observed_control,785,785,0,567,0.42882903745296097,0.24226179604938886,336.63079440057436,2.997887109679848
test,12,all,within_0.5m,observed_control,549,549,0,380,0.4163719080667798,-0.1601860687955318,228.58817752866213,2.541594200430186
test,12,all,unavailable_base,observed_control,18,0,18,0,,,0.0,
test,12,all,increase_gt_0.5m,augmented,581,581,0,412,0.60747161593302,-0.4160529858992664,352.9410088570846,7.362831172927574
test,12,all,decrease_gt_0.5m,augmented,785,785,0,571,0.40807685656822745,0.23160885293256006,320.34033240605856,3.3521470032766665
test,12,all,within_0.5m,augmented,549,549,0,376,0.4101901132042198,-0.1691904397386362,225.19437214911665,2.689199589127341
test,12,all,unavailable_base,augmented,18,0,18,0,,,0.0,
test,12,level_ge_7m,increase_gt_0.5m,observed_control,104,104,0,23,1.9941236502434876,-1.6132167408855513,207.3888596253227,7.5899965838495795
test,12,level_ge_7m,decrease_gt_0.5m,observed_control,110,110,0,48,0.890364813780724,0.40910947024185956,97.94012951587963,2.997887109679848
test,12,level_ge_7m,within_0.5m,observed_control,22,22,0,12,0.7299508604739903,0.2808619124054165,16.058918930427787,2.541594200430186
test,12,level_ge_7m,unavailable_base,observed_control,1,0,1,0,,,0.0,
test,12,level_ge_7m,increase_gt_0.5m,augmented,104,104,0,26,1.7868671408965326,-1.2237430308371289,185.8341826532394,7.362831172927574
test,12,level_ge_7m,decrease_gt_0.5m,augmented,110,110,0,52,0.8508204466847186,0.43507680362993295,93.59024913531904,3.3521470032766665
test,12,level_ge_7m,within_0.5m,augmented,22,22,0,11,0.779919056366658,0.5428517742691994,17.158219240066476,2.689199589127341
test,12,level_ge_7m,unavailable_base,augmented,1,0,1,0,,,0.0,
