window,group,hours,origins,finite_precipitation,coverage_min,coverage_max,coverage_mean
2024-06-15,Baixo Antas,1,168,0,0.37283236994219654,0.47398843930635837,0.42648981557941096
2024-06-15,Baixo Antas,3,168,5,0.37283236994219654,0.5202312138728323,0.46043214973850816
2024-06-15,Baixo Antas,6,168,104,0.37283236994219654,0.5279383429672447,0.4676489815579411
2024-06-15,Baixo Antas,12,168,101,0.37283236994219654,0.5240847784200385,0.4692144921552436
2024-06-15,Baixo Antas,24,168,93,0.37283236994219654,0.5221579961464354,0.4660490641343243
2024-06-15,Baixo Antas,48,168,78,0.35835139691714835,0.521194605009634,0.45483279716028996
2024-06-15,Carreiro,1,168,0,0.031201248049921998,0.2531201248049922,0.09904074734417948
2024-06-15,Carreiro,3,168,0,0.031201248049921998,0.26014040561622465,0.10362343065151178
2024-06-15,Carreiro,6,168,0,0.031201248049921998,0.24733489339573583,0.10386370811975337
2024-06-15,Carreiro,12,168,0,0.031201248049921998,0.21181097243889754,0.10271474847089121
2024-06-15,Carreiro,24,168,0,0.03354134165366615,0.1435419916796672,0.09984737931183912
2024-06-15,Carreiro,48,168,0,0.05690977639105564,0.1297858164326573,0.09689097013285293
2024-06-15,Prata-Turvo,1,168,168,0.5724946695095949,0.9444740582800284,0.7271328307442381
2024-06-15,Prata-Turvo,3,168,168,0.5724946695095949,0.9466654821132434,0.7254705779492562
2024-06-15,Prata-Turvo,6,168,168,0.5724946695095949,0.9472133380715471,0.7223739049931748
2024-06-15,Prata-Turvo,12,168,168,0.5724946695095949,0.947487266050699,0.7159255363629697
2024-06-15,Prata-Turvo,24,168,168,0.5724946695095949,0.9407834340203743,0.7028642704490586
2024-06-15,Prata-Turvo,48,168,168,0.5756041222459134,0.8930459310589908,0.6785474334323283
2024-06-15,Alto Antas,1,168,168,0.525857059848925,0.7653883401123377,0.6403838438338728
2024-06-15,Alto Antas,3,168,168,0.525857059848925,0.766072696752534,0.6398497474398113
2024-06-15,Alto Antas,6,168,168,0.525857059848925,0.7517173477952094,0.6393271223202949
2024-06-15,Alto Antas,12,168,168,0.525857059848925,0.7372764542578604,0.6374782775948522
2024-06-15,Alto Antas,24,168,168,0.557234166182452,0.7150211440377041,0.6330247089716511
2024-06-15,Alto Antas,48,168,168,0.5729227193492155,0.6941337400736006,0.623560686501019
2024-06-15,Tainhas,1,168,129,0.24316939890710385,0.8524590163934427,0.7092034218058808
2024-06-15,Tainhas,3,168,128,0.24316939890710385,0.8524590163934427,0.7055766978922717
2024-06-15,Tainhas,6,168,126,0.24316939890710385,0.8524590163934427,0.700136612021858
2024-06-15,Tainhas,12,168,124,0.24316939890710385,0.8524590163934427,0.6892564402810305
2024-06-15,Tainhas,24,168,119,0.24316939890710385,0.8524590163934427,0.6674960967993755
2024-06-15,Tainhas,48,168,109,0.24316939890710385,0.8524590163934427,0.6239754098360656
