window,origin,anchor,selected,raw_qc,base,usable
2018-08-30,2018-08-30T00:00:00-03:00,2018-08-29T23:00:00-03:00,2018-08-29T23:00:00-03:00,Dado aprovado,3.02,True
2018-08-30,2018-08-30T01:00:00-03:00,2018-08-30T00:00:00-03:00,2018-08-30T00:00:00-03:00,Dado aprovado,3.02,True
2018-08-30,2018-08-30T02:00:00-03:00,2018-08-30T01:00:00-03:00,2018-08-30T01:00:00-03:00,Dado aprovado,3.02,True
2018-08-30,2018-08-30T03:00:00-03:00,2018-08-30T02:00:00-03:00,2018-08-30T02:00:00-03:00,Dado aprovado,3.01,True
2018-08-30,2018-08-30T04:00:00-03:00,2018-08-30T03:00:00-03:00,2018-08-30T03:00:00-03:00,Dado aprovado,3.01,True
2018-08-30,2018-08-30T05:00:00-03:00,2018-08-30T04:00:00-03:00,2018-08-30T04:00:00-03:00,Dado aprovado,2.99,True
2018-08-30,2018-08-30T06:00:00-03:00,2018-08-30T05:00:00-03:00,2018-08-30T05:00:00-03:00,Dado aprovado,2.97,True
2018-08-30,2018-08-30T07:00:00-03:00,2018-08-30T06:00:00-03:00,2018-08-30T06:00:00-03:00,Dado aprovado,2.97,True
2018-08-30,2018-08-30T08:00:00-03:00,2018-08-30T07:00:00-03:00,2018-08-30T07:00:00-03:00,Dado aprovado,2.96,True
2018-08-30,2018-08-30T09:00:00-03:00,2018-08-30T08:00:00-03:00,2018-08-30T08:00:00-03:00,Dado aprovado,2.96,True
2018-08-30,2018-08-30T10:00:00-03:00,2018-08-30T09:00:00-03:00,2018-08-30T09:00:00-03:00,Dado aprovado,2.96,True
2018-08-30,2018-08-30T11:00:00-03:00,2018-08-30T10:00:00-03:00,2018-08-30T10:00:00-03:00,Dado aprovado,2.96,True
2018-08-30,2018-08-30T12:00:00-03:00,2018-08-30T11:00:00-03:00,2018-08-30T11:00:00-03:00,Dado aprovado,2.97,True
2018-08-30,2018-08-30T13:00:00-03:00,2018-08-30T12:00:00-03:00,2018-08-30T12:00:00-03:00,Dado aprovado,2.97,True
2018-08-30,2018-08-30T14:00:00-03:00,2018-08-30T13:00:00-03:00,2018-08-30T13:00:00-03:00,Dado aprovado,2.96,True
2018-08-30,2018-08-30T15:00:00-03:00,2018-08-30T14:00:00-03:00,2018-08-30T14:00:00-03:00,Dado aprovado,2.9,True
2018-08-30,2018-08-30T16:00:00-03:00,2018-08-30T15:00:00-03:00,2018-08-30T15:00:00-03:00,Dado aprovado,2.76,True
2018-08-30,2018-08-30T17:00:00-03:00,2018-08-30T16:00:00-03:00,2018-08-30T16:00:00-03:00,Dado aprovado,2.62,True
