window,station,timestamp_literal,previous_timestamp_literal,elapsed_seconds,ChuvaFinal,CQ_ChuvaFinal,admissible,source_file,source_record_index
2018-08-27,86200900,2018-08-31 09:00:00,2018-08-31 05:00:00,14400.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,25
2018-08-27,86200900,2018-08-31 13:00:00,2018-08-31 09:00:00,14400.0,0.60,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,24
2018-08-27,86200900,2018-08-31 15:00:00,2018-08-31 13:00:00,7200.0,1.60,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,23
2018-08-27,86200900,2018-08-31 20:00:00,2018-08-31 16:00:00,14400.0,1.80,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,21
2018-08-27,86200900,2018-09-01 07:00:00,2018-08-31 20:00:00,39600.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,20
2018-08-27,86200900,2018-09-01 13:00:00,2018-09-01 08:00:00,18000.0,2.80,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,18
2018-08-27,86200900,2018-09-01 18:00:00,2018-09-01 13:00:00,18000.0,2.80,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,17
2018-08-27,86200900,2018-09-01 20:00:00,2018-09-01 18:00:00,7200.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,16
2018-08-27,86200900,2018-09-01 23:00:00,2018-09-01 20:00:00,10800.0,1.80,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,15
2018-08-27,86200900,2018-09-02 01:00:00,2018-09-01 23:00:00,7200.0,9.20,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,14
2018-08-27,86200900,2018-09-03 17:00:00,2018-09-02 02:00:00,140400.0,0.80,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,12
2018-08-27,86200900,2018-09-03 21:00:00,2018-09-03 17:00:00,14400.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,11
2018-08-27,86200900,2018-09-04 04:00:00,2018-09-03 21:00:00,25200.0,0.20,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,10
2018-08-27,86200900,2018-09-04 11:00:00,2018-09-04 05:00:00,21600.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,8
2018-08-27,86200900,2018-09-04 15:00:00,2018-09-04 11:00:00,14400.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,7
2018-08-27,86200900,2018-09-04 19:00:00,2018-09-04 15:00:00,14400.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,6
2018-08-27,86200900,2018-09-05 00:00:00,2018-09-04 19:00:00,18000.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,5
2018-08-27,86200900,2018-09-05 05:00:00,2018-09-05 00:00:00,18000.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,4
2018-08-27,86200900,2018-09-05 16:00:00,2018-09-05 05:00:00,39600.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,3
2018-08-27,86200900,2018-09-05 19:00:00,2018-09-05 16:00:00,10800.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,2
2018-08-27,86200900,2018-09-05 22:00:00,2018-09-05 19:00:00,10800.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-08-27--2018-09-05.xml,1
2018-08-27,86493000,2018-09-03 13:00:00,2018-09-03 11:00:00,7200.0,2.40,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86493000-2018-08-27--2018-09-05.xml,59
2018-08-27,86495500,2018-09-03 13:00:00,2018-09-03 10:00:00,10800.0,0.40,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86495500-2018-08-27--2018-09-05.xml,57
2018-08-27,86495500,2018-09-05 17:00:00,2018-09-05 14:00:00,10800.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86495500-2018-08-27--2018-09-05.xml,7
2018-08-27,86510000,2018-09-01 04:00:00,2018-09-01 03:00:00,3600.0,0.20,Dado suspeito,False,outputs/radar-insumos-observados-2018-20260922/raw/reused-86510000-2018-08-30--2018-09-05.xml,116
2018-08-27,86510000,2018-09-02 04:00:00,2018-09-02 03:00:00,3600.0,0.20,Dado suspeito,False,outputs/radar-insumos-observados-2018-20260922/raw/reused-86510000-2018-08-30--2018-09-05.xml,92
2018-08-27,86510000,2018-09-03 19:00:00,2018-09-03 18:00:00,3600.0,4.80,Dado suspeito,False,outputs/radar-insumos-observados-2018-20260922/raw/reused-86510000-2018-08-30--2018-09-05.xml,53
2018-08-27,86510000,2018-09-03 22:00:00,2018-09-03 21:00:00,3600.0,0.60,Dado suspeito,False,outputs/radar-insumos-observados-2018-20260922/raw/reused-86510000-2018-08-30--2018-09-05.xml,50
2018-08-27,86510000,2018-09-04 12:00:00,2018-09-04 11:00:00,3600.0,0.20,Dado suspeito,False,outputs/radar-insumos-observados-2018-20260922/raw/reused-86510000-2018-08-30--2018-09-05.xml,36
2018-08-27,86510000,2018-09-04 13:00:00,2018-09-04 12:00:00,3600.0,0.20,Dado suspeito,False,outputs/radar-insumos-observados-2018-20260922/raw/reused-86510000-2018-08-30--2018-09-05.xml,35
2018-09-27,86200900,2018-09-27 08:00:00,2018-09-27 03:00:00,18000.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,58
2018-09-27,86200900,2018-09-27 21:00:00,2018-09-27 08:00:00,46800.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,57
2018-09-27,86200900,2018-09-28 00:00:00,2018-09-27 21:00:00,10800.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,56
2018-09-27,86200900,2018-09-28 04:00:00,2018-09-28 00:00:00,14400.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,55
2018-09-27,86200900,2018-09-28 07:00:00,2018-09-28 04:00:00,10800.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,54
2018-09-27,86200900,2018-09-28 10:00:00,2018-09-28 07:00:00,10800.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,53
2018-09-27,86200900,2018-09-28 12:00:00,2018-09-28 10:00:00,7200.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,52
2018-09-27,86200900,2018-09-28 15:00:00,2018-09-28 12:00:00,10800.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,51
2018-09-27,86200900,2018-09-28 17:00:00,2018-09-28 15:00:00,7200.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,50
2018-09-27,86200900,2018-09-28 21:00:00,2018-09-28 17:00:00,14400.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,49
2018-09-27,86200900,2018-09-28 23:00:00,2018-09-28 21:00:00,7200.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,48
2018-09-27,86200900,2018-09-29 01:00:00,2018-09-28 23:00:00,7200.0,0.00,Dado aprovado,False,outputs/radar-insumos-observados-2018-20260922/raw/ana-86200900-2018-09-27--2018-10-06.xml,47
