window,station,raw_records,strict_qc_range_finite,admissible_intervals,first_record_no_interval,intervals_over90min,finite_rain_over90min,admissible_duration_hours,shift_steps_15min,effective_delay_seconds,original_delay_seconds,discarded_fraction_seconds,cadence_counts_json,off_quarter_records
2018-08-27,86504900,0,0,0,0,0,0,0.0,4,3600,3600.0,0.0,{},0
2018-08-27,86505500,240,240,239,1,0,0,239.0,4,3600,3600.0,0.0,"{""3600"": 239}",0
2018-08-27,86510000,240,234,233,1,0,0,233.0,1,900,900.0,0.0,"{""3600"": 239}",0
2018-09-27,86060010,0,0,0,0,0,0,0.0,28,25200,25200.0,0.0,{},0
2018-09-27,86099000,240,240,239,1,0,0,239.0,4,3600,3600.0,0.0,"{""3600"": 239}",0
2018-09-27,86102000,240,240,239,1,0,0,239.0,20,18000,18000.0,0.0,"{""3600"": 239}",0
2018-09-27,86117000,240,240,239,1,0,0,239.0,4,3600,3600.0,0.0,"{""3600"": 239}",0
2018-09-27,86125000,0,0,0,0,0,0,0.0,12,10800,10860.0,60.0,{},0
2018-09-27,86125050,0,0,0,0,0,0,0.0,4,3600,3600.0,0.0,{},0
2018-09-27,86160000,0,0,0,0,0,0,0.0,1,900,900.0,0.0,{},0
2018-09-27,86163000,240,240,239,1,0,0,239.0,4,3600,3600.0,0.0,"{""3600"": 239}",0
2018-09-27,86200900,59,59,8,1,50,50,8.0,16,14400,14400.0,0.0,"{""18000"": 11, ""46800"": 1, ""10800"": 15, ""14400"": 8, ""7200"": 11, ""3600"": 8, ""54000"": 2, ""72000"": 1, ""32400"": 1}",0
2018-09-27,86280500,0,0,0,0,0,0,0.0,4,3600,3600.0,0.0,{},0
2018-09-27,86298000,120,120,117,1,2,2,117.0,4,3600,3600.0,0.0,"{""3600"": 117, ""7200"": 2}",0
2018-09-27,86403000,240,240,239,1,0,0,239.0,4,3600,3600.0,0.0,"{""3600"": 239}",0
2018-09-27,86410800,240,240,239,1,0,0,239.0,4,3600,3600.0,0.0,"{""3600"": 239}",0
2018-09-27,86447000,239,239,237,1,1,1,237.0,4,3600,3600.0,0.0,"{""3600"": 237, ""7200"": 1}",0
2018-09-27,86448000,239,238,236,1,1,1,236.0,4,3600,3600.0,0.0,"{""3600"": 237, ""7200"": 1}",0
2018-09-27,86450000,241,241,240,1,0,0,239.0,1,900,900.0,0.0,"{""3600"": 238, ""60"": 1, ""3540"": 1}",1
2018-09-27,86471000,240,240,239,1,0,0,239.0,1,900,900.0,0.0,"{""3600"": 239}",0
2018-09-27,86472000,960,960,959,1,0,0,239.75,2,1800,1800.0,0.0,"{""900"": 959}",0
2018-09-27,86472600,0,0,0,0,0,0,0.0,1,900,900.0,0.0,{},0
2018-09-27,86479000,240,240,239,1,0,0,239.0,4,3600,3600.0,0.0,"{""3600"": 239}",0
2018-09-27,86488000,240,240,239,1,0,0,239.0,4,3600,3600.0,0.0,"{""3600"": 239}",0
2018-09-27,86493000,239,239,237,1,1,1,237.0,4,3600,3600.0,0.0,"{""3600"": 237, ""7200"": 1}",0
2018-09-27,86495500,23,23,22,1,0,0,22.0,4,3600,3600.0,0.0,"{""3600"": 22}",0
2018-09-27,86500000,0,0,0,0,0,0,0.0,2,1800,1800.0,0.0,{},0
2018-09-27,86504900,0,0,0,0,0,0,0.0,4,3600,3600.0,0.0,{},0
2018-09-27,86505500,240,240,239,1,0,0,239.0,4,3600,3600.0,0.0,"{""3600"": 239}",0
2018-09-27,86510000,240,237,236,1,0,0,236.0,1,900,900.0,0.0,"{""3600"": 239}",0
