origin,feature,value
2026-07-22T09:00:00-03:00,castro:val_niveljusante:level,157.52
2026-07-22T09:00:00-03:00,castro:val_niveljusante:change1,-0.03999999999999204
2026-07-22T09:00:00-03:00,castro:val_niveljusante:slope3,0.16666666666666666
2026-07-22T09:00:00-03:00,castro:val_niveljusante:slope6,0.36333333333333445
2026-07-22T08:00:00-03:00,julho:Q:1000m3s,9.023
2026-07-22T08:00:00-03:00,julho:Q:delta1h,0.5129999999999999
2026-07-22T08:00:00-03:00,julho:Q:slope3h,0.7126666666666667
2026-07-22T08:00:00-03:00,julho:Q:slope6h,0.6629999999999999
2026-07-22T08:00:00-03:00,julho:I:1000m3s,8.83
2026-07-22T08:00:00-03:00,julho:I:delta1h,0.2560000000000002
2026-07-22T08:00:00-03:00,julho:I:slope3h,0.48199999999999993
2026-07-22T08:00:00-03:00,julho:I:slope6h,0.5206666666666666
2026-07-22T08:00:00-03:00,monte:Q:1000m3s,0.0
2026-07-22T08:00:00-03:00,monte:Q:delta1h,-9.907
2026-07-22T08:00:00-03:00,monte:Q:slope3h,-2.9113333333333333
2026-07-22T08:00:00-03:00,monte:Q:slope6h,-1.0386666666666666
2026-07-22T08:00:00-03:00,monte:I:1000m3s,0.0
2026-07-22T08:00:00-03:00,monte:I:delta1h,-9.999
2026-07-22T08:00:00-03:00,monte:I:slope3h,-2.9570000000000003
2026-07-22T08:00:00-03:00,monte:I:slope6h,-1.0476666666666665
2026-07-22T08:00:00-03:00,castro:Q:1000m3s,5.323
2026-07-22T08:00:00-03:00,castro:Q:delta1h,0.014000000000000234
2026-07-22T08:00:00-03:00,castro:Q:slope3h,0.11600000000000026
2026-07-22T08:00:00-03:00,castro:Q:slope6h,0.32483333333333336
2026-07-22T08:00:00-03:00,castro:I:1000m3s,5.338
2026-07-22T08:00:00-03:00,castro:I:delta1h,-0.11899999999999977
2026-07-22T08:00:00-03:00,castro:I:slope3h,-0.04666666666666656
2026-07-22T08:00:00-03:00,castro:I:slope6h,0.24583333333333335
2026-07-22T08:00:00-03:00,86500000:Q:1000m3s,0.02552
2026-07-22T08:00:00-03:00,86500000:Q:delta1h,0.0
2026-07-22T08:00:00-03:00,86500000:Q:slope3h,0.0
2026-07-22T08:00:00-03:00,86500000:Q:slope6h,8.333333333333573e-06
2026-07-22T08:00:00-03:00,Baixo Antas:P3/100mm,0.0017846820809230683
2026-07-22T08:00:00-03:00,Baixo Antas:P6/100mm,0.0032832369942181394
2026-07-22T08:00:00-03:00,Baixo Antas:P12/100mm,0.13667485549132852
2026-07-22T08:00:00-03:00,Baixo Antas:P24/100mm,0.70293063583815
2026-07-22T08:00:00-03:00,Baixo Antas:P48/100mm,1.1111734104046207
2026-07-22T08:00:00-03:00,Carreiro:P3/100mm,0.0002776911076440532
2026-07-22T08:00:00-03:00,Carreiro:P6/100mm,0.0019165366614662767
2026-07-22T08:00:00-03:00,Carreiro:P12/100mm,0.20820374414976547
2026-07-22T08:00:00-03:00,Carreiro:P24/100mm,0.9859453978159118
2026-07-22T08:00:00-03:00,Carreiro:P48/100mm,1.3295741029641162
2026-07-22T08:00:00-03:00,Prata-Turvo:P3/100mm,0.000978678038378641
2026-07-22T08:00:00-03:00,Prata-Turvo:P6/100mm,0.010187633262258968
2026-07-22T08:00:00-03:00,Prata-Turvo:P12/100mm,0.23535607675905978
2026-07-22T08:00:00-03:00,Prata-Turvo:P24/100mm,0.8274562899786733
2026-07-22T08:00:00-03:00,Prata-Turvo:P48/100mm,1.0670469083155574
2026-07-22T08:00:00-03:00,Alto Antas:P3/100mm,0.03486490412550778
2026-07-22T08:00:00-03:00,Alto Antas:P6/100mm,0.09091574665891819
2026-07-22T08:00:00-03:00,Alto Antas:P12/100mm,0.4336783846600794
2026-07-22T08:00:00-03:00,Alto Antas:P24/100mm,0.9170540383497936
2026-07-22T08:00:00-03:00,Alto Antas:P48/100mm,1.2508785589773357
2026-07-22T08:00:00-03:00,Tainhas:P3/100mm,0.051754098360655795
2026-07-22T08:00:00-03:00,Tainhas:P6/100mm,0.1441530054644785
2026-07-22T08:00:00-03:00,Tainhas:P12/100mm,0.5572841530054685
2026-07-22T08:00:00-03:00,Tainhas:P24/100mm,1.0821857923497304
2026-07-22T08:00:00-03:00,Tainhas:P48/100mm,1.4267377049180416
2026-07-22T08:00:00-03:00,julho:val_nivelmontante:level,108.03
2026-07-22T08:00:00-03:00,julho:val_nivelmontante:change1,-0.12000000000000455
2026-07-22T08:00:00-03:00,julho:val_nivelmontante:slope3,-0.0266666666666661
2026-07-22T08:00:00-03:00,julho:val_nivelmontante:slope6,0.17333333333333437
2026-07-22T08:00:00-03:00,julho:val_niveljusante:level,83.22
2026-07-22T08:00:00-03:00,julho:val_niveljusante:change1,0.8199999999999932
2026-07-22T08:00:00-03:00,julho:val_niveljusante:slope3,0.8599999999999994
2026-07-22T08:00:00-03:00,julho:val_niveljusante:slope6,0.8233333333333329
2026-07-22T08:00:00-03:00,monte:val_nivelmontante:level,153.36
2026-07-22T08:00:00-03:00,monte:val_nivelmontante:change1,0.15000000000000568
2026-07-22T08:00:00-03:00,monte:val_nivelmontante:slope3,0.11333333333333447
2026-07-22T08:00:00-03:00,monte:val_nivelmontante:slope6,0.15000000000000094
2026-07-22T08:00:00-03:00,monte:val_niveljusante:level,119.14
2026-07-22T08:00:00-03:00,monte:val_niveljusante:change1,0.3200000000000074
2026-07-22T08:00:00-03:00,monte:val_niveljusante:slope3,0.5566666666666672
2026-07-22T08:00:00-03:00,monte:val_niveljusante:slope6,0.5933333333333337
2026-07-22T08:00:00-03:00,castro:val_nivelmontante:level,245.92
2026-07-22T08:00:00-03:00,castro:val_nivelmontante:change1,0.009999999999990905
2026-07-22T08:00:00-03:00,castro:val_nivelmontante:slope3,0.11666666666666477
2026-07-22T08:00:00-03:00,castro:val_nivelmontante:slope6,0.2566666666666653
2026-07-22T08:00:00-03:00,castro:val_niveljusante:level,157.56
2026-07-22T08:00:00-03:00,castro:val_niveljusante:change1,0.19999999999998863
2026-07-22T08:00:00-03:00,castro:val_niveljusante:slope3,0.2533333333333303
2026-07-22T08:00:00-03:00,castro:val_niveljusante:slope6,0.4466666666666678
2026-07-22T11:00:00-03:00,julho:Q:1000m3s,9.396
2026-07-22T11:00:00-03:00,julho:Q:delta1h,-0.05599999999999916
2026-07-22T11:00:00-03:00,julho:Q:slope3h,0.1243333333333337
2026-07-22T11:00:00-03:00,julho:Q:slope6h,0.41850000000000015
2026-07-22T11:00:00-03:00,julho:I:1000m3s,9.348
2026-07-22T11:00:00-03:00,julho:I:delta1h,-0.0389999999999997
2026-07-22T11:00:00-03:00,julho:I:slope3h,0.17266666666666688
2026-07-22T11:00:00-03:00,julho:I:slope6h,0.3273333333333334
2026-07-22T11:00:00-03:00,monte:Q:1000m3s,9.907
2026-07-22T11:00:00-03:00,monte:Q:delta1h,9.907
2026-07-22T11:00:00-03:00,monte:Q:slope3h,3.3023333333333333
2026-07-22T11:00:00-03:00,monte:Q:slope6h,0.1955
2026-07-22T11:00:00-03:00,monte:I:1000m3s,9.878
2026-07-22T11:00:00-03:00,monte:I:delta1h,-0.0909999999999993
2026-07-22T11:00:00-03:00,monte:I:slope3h,3.292666666666667
2026-07-22T11:00:00-03:00,monte:I:slope6h,0.16783333333333328
2026-07-22T11:00:00-03:00,castro:Q:1000m3s,4.94
2026-07-22T11:00:00-03:00,castro:Q:delta1h,-0.1689999999999996
2026-07-22T11:00:00-03:00,castro:Q:slope3h,-0.12766666666666668
2026-07-22T11:00:00-03:00,castro:Q:slope6h,-0.005833333333333209
2026-07-22T11:00:00-03:00,castro:I:1000m3s,4.763
2026-07-22T11:00:00-03:00,castro:I:delta1h,-0.1980000000000004
2026-07-22T11:00:00-03:00,castro:I:slope3h,-0.19166666666666674
2026-07-22T11:00:00-03:00,castro:I:slope6h,-0.11916666666666664
2026-07-22T11:00:00-03:00,86500000:Q:1000m3s,0.02547
2026-07-22T11:00:00-03:00,86500000:Q:delta1h,0.0
2026-07-22T11:00:00-03:00,86500000:Q:slope3h,-1.6666666666667145e-05
2026-07-22T11:00:00-03:00,86500000:Q:slope6h,-8.333333333333573e-06
2026-07-22T11:00:00-03:00,Baixo Antas:P3/100mm,0.0025549132947960606
2026-07-22T11:00:00-03:00,Baixo Antas:P6/100mm,0.0043395953757191285
2026-07-22T11:00:00-03:00,Baixo Antas:P12/100mm,0.03778612716762665
2026-07-22T11:00:00-03:00,Baixo Antas:P24/100mm,0.5126228323699406
2026-07-22T11:00:00-03:00,Baixo Antas:P48/100mm,0.9303323699421909
2026-07-22T11:00:00-03:00,Carreiro:P3/100mm,0.00014976599063952132
2026-07-22T11:00:00-03:00,Carreiro:P6/100mm,0.00042745709828357454
2026-07-22T11:00:00-03:00,Carreiro:P12/100mm,0.08090343213728479
2026-07-22T11:00:00-03:00,Carreiro:P24/100mm,0.7950780031201239
2026-07-22T11:00:00-03:00,Carreiro:P48/100mm,1.2225995319812775
2026-07-22T11:00:00-03:00,Prata-Turvo:P3/100mm,0.000978678038378641
2026-07-22T11:00:00-03:00,Prata-Turvo:P6/100mm,0.001957356076757282
2026-07-22T11:00:00-03:00,Prata-Turvo:P12/100mm,0.130162046908313
2026-07-22T11:00:00-03:00,Prata-Turvo:P24/100mm,0.7828379530916797
2026-07-22T11:00:00-03:00,Prata-Turvo:P48/100mm,1.0533176972281357
2026-07-22T11:00:00-03:00,Alto Antas:P3/100mm,0.004442765833817645
2026-07-22T11:00:00-03:00,Alto Antas:P6/100mm,0.03930766995932543
2026-07-22T11:00:00-03:00,Alto Antas:P12/100mm,0.24068448576408943
2026-07-22T11:00:00-03:00,Alto Antas:P24/100mm,0.8561990122022043
2026-07-22T11:00:00-03:00,Alto Antas:P48/100mm,1.1532789076118524
2026-07-22T11:00:00-03:00,Tainhas:P3/100mm,0.00557377049180349
2026-07-22T11:00:00-03:00,Tainhas:P6/100mm,0.05732786885245928
2026-07-22T11:00:00-03:00,Tainhas:P12/100mm,0.34769398907103677
2026-07-22T11:00:00-03:00,Tainhas:P24/100mm,1.0626994535519148
2026-07-22T11:00:00-03:00,Tainhas:P48/100mm,1.274502732240447
2026-07-22T11:00:00-03:00,julho:val_nivelmontante:level,108.04
