year,origin,plant,variable,back_hours,query_naive,source_time_naive,age_seconds,value_m3s,usable,zero,negative,Q_zero_positive_components,Q_balance_residual_gt1,source_file,source_record_index
2021,2021-05-01T00:00:00-03:00,JIUHQJ,Q,0,2021-04-30T23:00:00,2021-04-30 23:00:00,0.0,28.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,39550
2021,2021-05-01T00:00:00-03:00,JIUHQJ,Q,1,2021-04-30T22:00:00,2021-04-30 22:00:00,0.0,28.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,39549
2021,2021-05-01T00:00:00-03:00,JIUHQJ,Q,2,2021-04-30T21:00:00,2021-04-30 21:00:00,0.0,28.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,39548
2021,2021-05-01T00:00:00-03:00,JIUHQJ,Q,4,2021-04-30T19:00:00,2021-04-30 19:00:00,0.0,28.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,39546
2021,2021-05-01T00:00:00-03:00,JIUHQJ,Q,8,2021-04-30T15:00:00,2021-04-30 15:00:00,0.0,28.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,39542
2021,2021-05-01T00:00:00-03:00,JIUHQJ,I,0,2021-04-30T23:00:00,2021-04-30 23:00:00,0.0,12.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,39550
2021,2021-05-01T00:00:00-03:00,JIUHMC,Q,0,2021-04-30T23:00:00,2021-04-30 23:00:00,0.0,19.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,43869
2021,2021-05-01T00:00:00-03:00,JIUHMC,Q,1,2021-04-30T22:00:00,2021-04-30 22:00:00,0.0,19.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,43868
2021,2021-05-01T00:00:00-03:00,JIUHMC,Q,2,2021-04-30T21:00:00,2021-04-30 21:00:00,0.0,19.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,43867
2021,2021-05-01T00:00:00-03:00,JIUHMC,Q,4,2021-04-30T19:00:00,2021-04-30 19:00:00,0.0,19.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,43865
2021,2021-05-01T00:00:00-03:00,JIUHMC,Q,8,2021-04-30T15:00:00,2021-04-30 15:00:00,0.0,19.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,43861
2021,2021-05-01T00:00:00-03:00,JIUHMC,I,0,2021-04-30T23:00:00,2021-04-30 23:00:00,0.0,19.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,43869
2021,2021-05-01T00:00:00-03:00,JIUHCA,Q,0,2021-04-30T23:00:00,2021-04-30 23:00:00,0.0,18.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,40269
2021,2021-05-01T00:00:00-03:00,JIUHCA,Q,1,2021-04-30T22:00:00,2021-04-30 22:00:00,0.0,18.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,40268
2021,2021-05-01T00:00:00-03:00,JIUHCA,Q,2,2021-04-30T21:00:00,2021-04-30 21:00:00,0.0,18.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,40267
2021,2021-05-01T00:00:00-03:00,JIUHCA,Q,4,2021-04-30T19:00:00,2021-04-30 19:00:00,0.0,18.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,40265
2021,2021-05-01T00:00:00-03:00,JIUHCA,Q,8,2021-04-30T15:00:00,2021-04-30 15:00:00,0.0,18.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,40261
2021,2021-05-01T00:00:00-03:00,JIUHCA,I,0,2021-04-30T23:00:00,2021-04-30 23:00:00,0.0,33.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,40269
2021,2021-05-01T01:00:00-03:00,JIUHQJ,Q,0,2021-05-01T00:00:00,2021-04-30 23:59:00,60.0,28.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,39551
2021,2021-05-01T01:00:00-03:00,JIUHQJ,Q,1,2021-04-30T23:00:00,2021-04-30 23:00:00,0.0,28.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,39550
2021,2021-05-01T01:00:00-03:00,JIUHQJ,Q,2,2021-04-30T22:00:00,2021-04-30 22:00:00,0.0,28.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,39549
2021,2021-05-01T01:00:00-03:00,JIUHQJ,Q,4,2021-04-30T20:00:00,2021-04-30 20:00:00,0.0,28.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,39547
2021,2021-05-01T01:00:00-03:00,JIUHQJ,Q,8,2021-04-30T16:00:00,2021-04-30 16:00:00,0.0,28.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,39543
2021,2021-05-01T01:00:00-03:00,JIUHQJ,I,0,2021-05-01T00:00:00,2021-04-30 23:59:00,60.0,28.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,39551
2021,2021-05-01T01:00:00-03:00,JIUHMC,Q,0,2021-05-01T00:00:00,2021-04-30 23:59:00,60.0,19.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,43870
2021,2021-05-01T01:00:00-03:00,JIUHMC,Q,1,2021-04-30T23:00:00,2021-04-30 23:00:00,0.0,19.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,43869
2021,2021-05-01T01:00:00-03:00,JIUHMC,Q,2,2021-04-30T22:00:00,2021-04-30 22:00:00,0.0,19.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,43868
2021,2021-05-01T01:00:00-03:00,JIUHMC,Q,4,2021-04-30T20:00:00,2021-04-30 20:00:00,0.0,19.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,43866
2021,2021-05-01T01:00:00-03:00,JIUHMC,Q,8,2021-04-30T16:00:00,2021-04-30 16:00:00,0.0,19.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,43862
2021,2021-05-01T01:00:00-03:00,JIUHMC,I,0,2021-05-01T00:00:00,2021-04-30 23:59:00,60.0,19.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,43870
2021,2021-05-01T01:00:00-03:00,JIUHCA,Q,0,2021-05-01T00:00:00,2021-04-30 23:59:00,60.0,18.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,40270
2021,2021-05-01T01:00:00-03:00,JIUHCA,Q,1,2021-04-30T23:00:00,2021-04-30 23:00:00,0.0,18.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,40269
2021,2021-05-01T01:00:00-03:00,JIUHCA,Q,2,2021-04-30T22:00:00,2021-04-30 22:00:00,0.0,18.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,40268
2021,2021-05-01T01:00:00-03:00,JIUHCA,Q,4,2021-04-30T20:00:00,2021-04-30 20:00:00,0.0,18.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,40266
2021,2021-05-01T01:00:00-03:00,JIUHCA,Q,8,2021-04-30T16:00:00,2021-04-30 16:00:00,0.0,18.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,40262
2021,2021-05-01T01:00:00-03:00,JIUHCA,I,0,2021-05-01T00:00:00,2021-04-30 23:59:00,60.0,3.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,40270
2021,2021-05-01T02:00:00-03:00,JIUHQJ,Q,0,2021-05-01T01:00:00,2021-05-01 01:00:00,0.0,28.0,True,False,False,False,False,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,40090
