id_subsistema,nom_subsistema,tip_reservatorio,nom_bacia,id_reservatorio,nom_reservatorio,cod_usina,din_instante,val_nivelmontante,val_niveljusante,val_volumeutil,val_vazaoafluente,val_vazaodefluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaotransferida,val_vazaovertidanaoturbinavel,source_file,source_sha256,source_record_index,source_csv_line
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 01:00:00,103.07,69.02,7.0,11.0,28.0,0.0,0.0,28.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40090,40091
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 02:00:00,103.06,69.02,6.0,11.0,28.0,0.0,0.0,28.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40091,40092
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 03:00:00,103.06,69.01,6.0,28.0,28.0,0.0,0.0,28.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40092,40093
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 04:00:00,103.05,69.02,5.0,11.0,28.0,0.0,0.0,28.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40093,40094
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 05:00:00,103.04,69.01,4.0,11.0,28.0,0.0,0.0,28.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40094,40095
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 06:00:00,103.04,69.01,4.0,28.0,28.0,0.0,0.0,28.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40095,40096
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 07:00:00,103.03,69.02,3.0,11.0,28.0,0.0,0.0,28.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40096,40097
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 08:00:00,103.03,69.02,3.0,28.0,28.0,0.0,0.0,28.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40097,40098
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 09:00:00,103.02,69.03,2.0,11.0,27.0,0.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40098,40099
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 10:00:00,103.01,69.02,1.0,11.0,27.0,0.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40099,40100
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 11:00:00,103.01,69.04,1.0,27.0,27.0,0.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40100,40101
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 12:00:00,103.0,69.02,0.0,11.0,27.0,0.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40101,40102
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 13:00:00,103.0,69.02,0.0,27.0,27.0,0.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40102,40103
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 14:00:00,103.0,69.02,0.0,27.0,27.0,0.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40103,40104
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 15:00:00,103.0,69.02,0.0,27.0,27.0,0.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40104,40105
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 16:00:00,103.0,69.03,0.0,27.0,27.0,0.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40105,40106
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 17:00:00,103.0,69.03,0.0,27.0,27.0,0.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40106,40107
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 18:00:00,103.0,69.03,0.0,27.0,27.0,0.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40107,40108
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 19:00:00,103.0,69.03,0.0,27.0,27.0,0.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40108,40109
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 20:00:00,103.0,69.02,0.0,27.0,27.0,0.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40109,40110
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 21:00:00,103.0,69.02,0.0,27.0,27.0,0.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40110,40111
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 22:00:00,103.0,69.02,0.0,27.0,27.0,0.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40111,40112
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 23:00:00,103.0,69.02,0.0,27.0,27.0,0.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40112,40113
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-01 23:59:00,103.0,69.01,0.0,27.0,27.0,0.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40113,40114
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-02 01:00:00,103.0,69.01,0.0,27.0,27.0,0.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40114,40115
