id_subsistema,nom_subsistema,tip_reservatorio,nom_bacia,id_reservatorio,nom_reservatorio,cod_usina,din_instante,val_nivelmontante,val_niveljusante,val_volumeutil,val_vazaoafluente,val_vazaodefluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaotransferida,val_vazaovertidanaoturbinavel,source_file,source_sha256,source_record_index,source_csv_line,q_zero,i_zero,q_negative,i_negative,q_zero_positive_components,balance_residual_gt1,component_sum_m3s,balance_residual_m3s
S,Sul,Fio dagua,JACUI,JIUHCA,CASTRO ALVES,97,2021-04-24 21:00:00,239.77,147.2,77.0,0.0,71.0,52.0,0.0,19.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-04.csv,2561160a5763a50dd48981de176cc0a89f61cc0f03e376a795605f74420577a2,40124,40125,False,True,False,False,False,False,71.0,0.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2021-05-26 17:00:00,103.01,70.26,1.0,0.0,153.0,125.0,0.0,27.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2021-05.csv,18c35fd798b06b6d6b038bbe92b6bb1d23d3cdbf0020f79dfe723b3c655b5683,40706,40707,False,True,False,False,False,False,152.0,1.0
