id_subsistema,nom_subsistema,tip_reservatorio,nom_bacia,id_reservatorio,nom_reservatorio,cod_usina,din_instante,val_nivelmontante,val_niveljusante,val_volumeutil,val_vazaoafluente,val_vazaodefluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaotransferida,val_vazaovertidanaoturbinavel,source_file,source_sha256,source_record_index,source_csv_line
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2022-06-01 01:00:00,105.41,73.29,254.19,1016.0,1081.0,339.0,710.0,32.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2022-06.csv,1ce4ed3b7d7514d1e8adf6e42ba2a1d5f203753fce6fae2f3d82de7da7e3b415,38868,38869
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2022-06-01 02:00:00,105.38,73.26,250.21,1008.0,1056.0,339.0,685.0,32.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2022-06.csv,1ce4ed3b7d7514d1e8adf6e42ba2a1d5f203753fce6fae2f3d82de7da7e3b415,38869,38870
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2022-06-01 03:00:00,105.36,73.16,247.56,1007.0,1039.0,339.0,668.0,32.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2022-06.csv,1ce4ed3b7d7514d1e8adf6e42ba2a1d5f203753fce6fae2f3d82de7da7e3b415,38870,38871
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2022-06-01 04:00:00,105.33,73.15,243.58,966.0,1014.0,339.0,644.0,32.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2022-06.csv,1ce4ed3b7d7514d1e8adf6e42ba2a1d5f203753fce6fae2f3d82de7da7e3b415,38871,38872
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2022-06-01 05:00:00,105.3,73.09,239.6,941.0,989.0,339.0,619.0,32.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2022-06.csv,1ce4ed3b7d7514d1e8adf6e42ba2a1d5f203753fce6fae2f3d82de7da7e3b415,38872,38873
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2022-06-01 06:00:00,105.28,73.02,236.94,941.0,973.0,338.0,603.0,32.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2022-06.csv,1ce4ed3b7d7514d1e8adf6e42ba2a1d5f203753fce6fae2f3d82de7da7e3b415,38873,38874
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2022-06-01 07:00:00,105.25,73.0,232.96,902.0,950.0,338.0,580.0,32.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2022-06.csv,1ce4ed3b7d7514d1e8adf6e42ba2a1d5f203753fce6fae2f3d82de7da7e3b415,38874,38875
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2022-06-01 08:00:00,105.23,72.94,230.31,902.0,934.0,338.0,564.0,32.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2022-06.csv,1ce4ed3b7d7514d1e8adf6e42ba2a1d5f203753fce6fae2f3d82de7da7e3b415,38875,38876
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2022-06-01 09:00:00,105.2,72.89,226.33,862.0,910.0,338.0,541.0,31.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2022-06.csv,1ce4ed3b7d7514d1e8adf6e42ba2a1d5f203753fce6fae2f3d82de7da7e3b415,38876,38877
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99,2022-06-01 10:00:00,105.18,72.87,223.67,863.0,896.0,338.0,526.0,31.0,0.0,,outputs/ons-reserva-2021-2022-20260922/raw/ons-2022-06.csv,1ce4ed3b7d7514d1e8adf6e42ba2a1d5f203753fce6fae2f3d82de7da7e3b415,38877,38878
