CodEstacao,timestamp_source_naive,timestamp_utc_assuming_minus03,timezone_status,datum_status,NivelFinal,level_m,CQ_NivelFinal,duplicate_conflict,source_file
86510000,2020-07-08T12:15:00,2020-07-08T15:15:00+00:00,ASSUMED_UTC_MINUS03_NOT_VERIFIED,UNVERIFIED,2155.00,21.55,Dado suspeito,False,raw/ana-86510000-2020-07-01--2020-07-20.xml
86510000,2020-07-08T12:30:00,2020-07-08T15:30:00+00:00,ASSUMED_UTC_MINUS03_NOT_VERIFIED,UNVERIFIED,2156.00,21.56,Dado suspeito,False,raw/ana-86510000-2020-07-01--2020-07-20.xml
86510000,2020-07-08T12:45:00,2020-07-08T15:45:00+00:00,ASSUMED_UTC_MINUS03_NOT_VERIFIED,UNVERIFIED,2158.00,21.58,Dado suspeito,False,raw/ana-86510000-2020-07-01--2020-07-20.xml
86510000,2020-07-08T13:00:00,2020-07-08T16:00:00+00:00,ASSUMED_UTC_MINUS03_NOT_VERIFIED,UNVERIFIED,2166.00,21.66,Dado suspeito,False,raw/ana-86510000-2020-07-01--2020-07-20.xml
86510000,2020-07-08T13:15:00,2020-07-08T16:15:00+00:00,ASSUMED_UTC_MINUS03_NOT_VERIFIED,UNVERIFIED,2158.00,21.58,Dado suspeito,False,raw/ana-86510000-2020-07-01--2020-07-20.xml
86510000,2020-07-08T13:30:00,2020-07-08T16:30:00+00:00,ASSUMED_UTC_MINUS03_NOT_VERIFIED,UNVERIFIED,2158.00,21.58,Dado suspeito,False,raw/ana-86510000-2020-07-01--2020-07-20.xml
86510000,2020-07-08T13:45:00,2020-07-08T16:45:00+00:00,ASSUMED_UTC_MINUS03_NOT_VERIFIED,UNVERIFIED,2168.00,21.68,Dado suspeito,False,raw/ana-86510000-2020-07-01--2020-07-20.xml
86510000,2020-07-08T14:00:00,2020-07-08T17:00:00+00:00,ASSUMED_UTC_MINUS03_NOT_VERIFIED,UNVERIFIED,2179.00,21.79,Dado suspeito,False,raw/ana-86510000-2020-07-01--2020-07-20.xml
86510000,2020-07-08T14:15:00,2020-07-08T17:15:00+00:00,ASSUMED_UTC_MINUS03_NOT_VERIFIED,UNVERIFIED,2163.00,21.63,Dado suspeito,False,raw/ana-86510000-2020-07-01--2020-07-20.xml
86510000,2020-07-08T14:30:00,2020-07-08T17:30:00+00:00,ASSUMED_UTC_MINUS03_NOT_VERIFIED,UNVERIFIED,2173.00,21.73,Dado suspeito,False,raw/ana-86510000-2020-07-01--2020-07-20.xml
86510000,2020-07-08T14:45:00,2020-07-08T17:45:00+00:00,ASSUMED_UTC_MINUS03_NOT_VERIFIED,UNVERIFIED,2166.00,21.66,Dado suspeito,False,raw/ana-86510000-2020-07-01--2020-07-20.xml
86510000,2020-07-08T15:00:00,2020-07-08T18:00:00+00:00,ASSUMED_UTC_MINUS03_NOT_VERIFIED,UNVERIFIED,2184.00,21.84,Dado suspeito,False,raw/ana-86510000-2020-07-01--2020-07-20.xml
86510000,2020-07-08T15:15:00,2020-07-08T18:15:00+00:00,ASSUMED_UTC_MINUS03_NOT_VERIFIED,UNVERIFIED,2177.00,21.77,Dado suspeito,False,raw/ana-86510000-2020-07-01--2020-07-20.xml
