phase,horizon_h,observed_targets,paired_control,paired_observed,hits_control,hits_observed,hits_change,mae_control_m,mae_observed_m,mae_change_m,max_control_m,max_observed_m
validation,1,28,28,28,28,28,0,0.06698666063501091,0.0666807029630848,-0.00030595767192610757,0.24399202585988178,0.25365721478517145
validation,2,28,28,28,28,28,0,0.12240288156070624,0.11897886238198042,-0.0034240191787258123,0.37016967736383677,0.36191043129735867
validation,3,28,28,28,26,26,0,0.1734154418580713,0.16960676474370254,-0.0038086771143687748,0.6382705101223252,0.6140799441250824
validation,4,28,28,28,26,26,0,0.18438993269042986,0.16646123882897323,-0.017928693861456624,0.6155785945577197,0.560207741268413
validation,5,28,28,28,25,25,0,0.20294487861821744,0.2291228510791504,0.026177972460932952,0.600808195785274,0.7553061347974745
validation,6,28,28,28,24,24,0,0.25942692878071005,0.2587119452642057,-0.0007149835165043417,1.3088111913836835,1.0962896884715265
validation,7,28,28,28,17,18,1,0.4222488851267305,0.4275016599210431,0.005252774794312631,2.5233079725154104,2.6556568259868305
validation,8,28,28,28,19,20,1,0.5140177771047117,0.4882291267479996,-0.02578865035671213,2.405567734701031,2.5050304061770072
validation,9,28,28,28,17,17,0,0.56569120138472,0.6095633629892163,0.04387216160449636,1.9117183030287972,2.1405087524778477
validation,10,28,28,28,10,11,1,0.757323046515073,0.7637956998438623,0.006472653328789324,1.661939671983518,1.6643311821088886
validation,11,28,28,28,8,9,1,0.9169020947978552,0.913230549267538,-0.003671545530317233,2.353719411330097,2.3488613754696814
validation,12,28,28,28,8,7,-1,0.9251487237371314,0.9084925009708122,-0.016656222766319173,2.607249943972997,2.619470094800553
test,1,237,236,236,230,230,0,0.07748786980507098,0.07747194053705365,-1.5929268017328413e-05,1.2759905218379402,1.284834339803509
test,2,237,236,236,225,225,0,0.14299787564797103,0.14574519761403643,0.0027473219660653914,2.4621058920769237,2.4854087637465963
test,3,237,236,236,206,206,0,0.24424877303019962,0.2397801871519601,-0.004468585878239534,3.53956990275997,3.5268719363183774
test,4,237,236,236,192,189,-3,0.34884999557862045,0.3477376475215351,-0.0011123480570853772,4.128444821919075,4.159274231826119
test,5,237,236,236,170,174,4,0.45901856359143667,0.44950094391357975,-0.009517619677856914,4.864267949721896,4.732017992487203
test,6,237,236,236,147,149,2,0.6009760872581876,0.5992745509944473,-0.0017015362637403664,5.643662248615202,5.717300772050423
test,7,237,236,236,134,132,-2,0.7132448160362133,0.7350302813017384,0.02178546526552516,5.308074207598951,5.611443817837554
test,8,237,236,236,131,128,-3,0.8055176624311056,0.8437648586743666,0.038247196243261006,6.0014693821975165,6.185898482285559
test,9,237,236,236,113,113,0,0.9362797421377601,0.9692832556460395,0.03300351350827935,5.943609420224272,6.0003742492804815
test,10,237,236,236,95,93,-2,1.0726840909031337,1.0678142840693023,-0.004869806833831314,6.431356582168159,6.464545216847842
test,11,237,236,236,84,85,1,1.2105664636396571,1.1782923476697535,-0.032274115969903594,6.882900501793481,6.566430652044184
test,12,237,236,236,86,83,-3,1.3407649101133783,1.3618131697950429,0.02104825968166457,7.921525750498024,7.5899965838495795
