window,column,finite,missing
2018-08-30,0,164,4
2018-08-30,1,0,168
2018-08-30,2,163,5
2018-08-30,3,162,6
2018-08-30,4,160,8
2018-08-30,5,160,8
2018-08-30,6,167,1
2018-08-30,7,167,1
2018-08-30,8,166,2
2018-08-30,9,166,2
2018-08-30,10,166,2
2018-08-30,11,167,1
2018-08-30,12,0,168
2018-08-30,13,0,168
2018-08-30,14,0,168
2018-08-30,15,0,168
2018-08-30,16,0,168
2018-08-30,17,0,168
2018-08-30,18,0,168
2018-08-30,19,0,168
2018-08-30,20,0,168
2018-08-30,21,0,168
2018-08-30,22,0,168
2018-08-30,23,0,168
2018-08-30,24,168,0
2018-08-30,25,168,0
2018-08-30,26,168,0
2018-08-30,27,168,0
2018-08-30,28,168,0
2018-08-30,29,168,0
2018-08-30,30,168,0
2018-08-30,31,168,0
2018-08-30,32,168,0
2018-08-30,33,168,0
2018-08-30,34,168,0
2018-08-30,35,168,0
2018-08-30,36,168,0
2018-08-30,37,168,0
2018-08-30,38,168,0
2018-08-30,39,168,0
2018-08-30,40,168,0
2018-08-30,41,168,0
2018-08-30,42,168,0
2018-08-30,43,168,0
2018-08-30,44,168,0
2018-08-30,45,0,168
2018-08-30,46,168,0
2018-08-30,47,129,39
2018-08-30,48,168,0
2018-08-30,49,129,39
2018-08-30,50,168,0
2018-08-30,51,129,39
2018-08-30,52,168,0
2018-08-30,53,129,39
2018-08-30,54,168,0
2018-08-30,55,129,39
2018-08-30,56,168,0
2018-08-30,57,126,42
2018-08-30,58,123,45
2018-08-30,59,117,51
2018-08-30,60,168,0
2018-08-30,61,168,0
2018-08-30,62,168,0
2018-08-30,63,168,0
2018-08-30,64,168,0
2018-08-30,65,168,0
2018-08-30,66,168,0
2018-08-30,67,168,0
2018-08-30,68,168,0
2018-08-30,69,168,0
2018-08-30,70,168,0
2018-08-30,71,168,0
2018-08-30,72,168,0
2018-08-30,73,168,0
2018-08-30,74,168,0
2018-08-30,75,0,168
2018-08-30,76,168,0
2018-08-30,77,0,168
2018-08-30,78,168,0
2018-08-30,79,0,168
2018-08-30,80,168,0
2018-08-30,81,0,168
2018-08-30,82,168,0
2018-08-30,83,0,168
2018-08-30,84,168,0
2018-08-30,85,0,168
2018-08-30,86,168,0
2018-08-30,87,0,168
2018-08-30,88,0,168
2018-08-30,89,0,168
2018-08-30,90,4,164
