window,station,origin_assumed_brt,query_assumed_brt,source_assumed_brt,age_seconds,usable,value_m
2018-08-30,86472000,2018-08-30T00:00:00-03:00,2018-08-29T23:30:00-03:00,2018-08-29T23:30:00-03:00,0.0,True,4.34
2018-08-30,86472000,2018-08-30T01:00:00-03:00,2018-08-30T00:30:00-03:00,2018-08-30T00:30:00-03:00,0.0,True,4.33
2018-08-30,86472000,2018-08-30T02:00:00-03:00,2018-08-30T01:30:00-03:00,2018-08-30T01:30:00-03:00,0.0,True,4.32
2018-08-30,86472000,2018-08-30T03:00:00-03:00,2018-08-30T02:30:00-03:00,2018-08-30T02:30:00-03:00,0.0,True,4.31
2018-08-30,86472000,2018-08-30T04:00:00-03:00,2018-08-30T03:30:00-03:00,2018-08-30T03:30:00-03:00,0.0,True,4.31
2018-08-30,86472000,2018-08-30T05:00:00-03:00,2018-08-30T04:30:00-03:00,2018-08-30T04:30:00-03:00,0.0,True,4.31
2018-08-30,86472000,2018-08-30T06:00:00-03:00,2018-08-30T05:30:00-03:00,2018-08-30T05:30:00-03:00,0.0,True,4.32
2018-08-30,86472000,2018-08-30T07:00:00-03:00,2018-08-30T06:30:00-03:00,2018-08-30T06:30:00-03:00,0.0,True,4.32
2018-08-30,86472000,2018-08-30T08:00:00-03:00,2018-08-30T07:30:00-03:00,2018-08-30T07:30:00-03:00,0.0,True,4.32
2018-08-30,86472000,2018-08-30T09:00:00-03:00,2018-08-30T08:30:00-03:00,2018-08-30T08:30:00-03:00,0.0,True,4.33
2018-08-30,86472000,2018-08-30T10:00:00-03:00,2018-08-30T09:30:00-03:00,2018-08-30T09:30:00-03:00,0.0,True,4.33
2018-08-30,86472000,2018-08-30T11:00:00-03:00,2018-08-30T10:30:00-03:00,2018-08-30T10:30:00-03:00,0.0,True,4.25
2018-08-30,86472000,2018-08-30T12:00:00-03:00,2018-08-30T11:30:00-03:00,2018-08-30T11:30:00-03:00,0.0,True,3.82
2018-08-30,86472000,2018-08-30T13:00:00-03:00,2018-08-30T12:30:00-03:00,2018-08-30T12:30:00-03:00,0.0,True,3.61
2018-08-30,86472000,2018-08-30T14:00:00-03:00,2018-08-30T13:30:00-03:00,2018-08-30T13:30:00-03:00,0.0,True,3.55
2018-08-30,86472000,2018-08-30T15:00:00-03:00,2018-08-30T14:30:00-03:00,2018-08-30T14:30:00-03:00,0.0,True,3.59
2018-08-30,86472000,2018-08-30T16:00:00-03:00,2018-08-30T15:30:00-03:00,2018-08-30T15:30:00-03:00,0.0,True,4.04
2018-08-30,86472000,2018-08-30T17:00:00-03:00,2018-08-30T16:30:00-03:00,2018-08-30T16:30:00-03:00,0.0,True,4.27
2018-08-30,86472000,2018-08-30T18:00:00-03:00,2018-08-30T17:30:00-03:00,2018-08-30T17:30:00-03:00,0.0,True,4.33
2018-08-30,86472000,2018-08-30T19:00:00-03:00,2018-08-30T18:30:00-03:00,2018-08-30T18:30:00-03:00,0.0,True,4.35
2018-08-30,86472000,2018-08-30T20:00:00-03:00,2018-08-30T19:30:00-03:00,2018-08-30T19:30:00-03:00,0.0,True,4.36
2018-08-30,86472000,2018-08-30T21:00:00-03:00,2018-08-30T20:30:00-03:00,2018-08-30T20:30:00-03:00,0.0,True,4.37
2018-08-30,86472000,2018-08-30T22:00:00-03:00,2018-08-30T21:30:00-03:00,2018-08-30T21:30:00-03:00,0.0,True,4.39
2018-08-30,86472000,2018-08-30T23:00:00-03:00,2018-08-30T22:30:00-03:00,2018-08-30T22:30:00-03:00,0.0,True,4.32
