window,group,hours,origins,finite_precipitation,coverage_min,coverage_max,coverage_mean
2018-08-30,Baixo Antas,1,168,0,0.3627167630057803,0.4436416184971098,0.4258575901458849
2018-08-30,Baixo Antas,3,168,129,0.4573699421965318,0.671965317919075,0.619046185429856
2018-08-30,Baixo Antas,6,168,129,0.4786849710982659,0.7290462427745663,0.6652144118726487
2018-08-30,Baixo Antas,12,168,129,0.48934248554913296,0.7575867052023121,0.6844664648132858
2018-08-30,Baixo Antas,24,168,129,0.4946712427745665,0.7718569364161849,0.6864283707220845
2018-08-30,Baixo Antas,48,168,129,0.49733562138728327,0.7773663294797688,0.6723278440109184
2018-08-30,Carreiro,1,168,168,0.7710608424336973,0.8693447737909517,0.8667075254438746
2018-08-30,Carreiro,3,168,168,0.7910816432657306,0.8763650546021842,0.873764950598024
2018-08-30,Carreiro,6,168,168,0.8354784191367655,0.8781201248049924,0.8755293068865613
2018-08-30,Carreiro,12,168,168,0.8576768070722829,0.8789976599063964,0.8768525741029644
2018-08-30,Carreiro,24,168,168,0.8687760010400416,0.8794364274570983,0.8776024255255924
2018-08-30,Carreiro,48,168,168,0.8743255980239211,0.8796558112324493,0.8779773512369066
2018-08-30,Prata-Turvo,1,168,0,0.4989339019189765,0.4989339019189765,0.49893390191897663
2018-08-30,Prata-Turvo,3,168,0,0.4989339019189765,0.4989339019189765,0.49893390191897663
2018-08-30,Prata-Turvo,6,168,0,0.4989339019189765,0.4989339019189765,0.49893390191897663
2018-08-30,Prata-Turvo,12,168,0,0.4989339019189765,0.4989339019189765,0.49893390191897663
2018-08-30,Prata-Turvo,24,168,0,0.4989339019189765,0.4989339019189765,0.49893390191897663
2018-08-30,Prata-Turvo,48,168,0,0.4989339019189765,0.4989339019189765,0.49893390191897663
2018-08-30,Alto Antas,1,168,4,0.26263800116211505,0.5724869262056944,0.41690963863755864
2018-08-30,Alto Antas,3,168,0,0.26263800116211505,0.4906546581444897,0.4259125715945879
2018-08-30,Alto Antas,6,168,0,0.26263800116211505,0.47019659112918855,0.42681442129437486
2018-08-30,Alto Antas,12,168,0,0.2844276583381755,0.4599675576215379,0.4252999536537452
2018-08-30,Alto Antas,24,168,0,0.2953224869262058,0.46078466976564014,0.4206875933842451
2018-08-30,Alto Antas,48,168,0,0.3001041061398412,0.4582274113887276,0.4104603972980825
2018-08-30,Tainhas,1,168,0,0.15846994535519127,0.15846994535519127,0.15846994535519124
2018-08-30,Tainhas,3,168,0,0.15846994535519127,0.15846994535519127,0.15846994535519124
2018-08-30,Tainhas,6,168,0,0.15846994535519127,0.15846994535519127,0.15846994535519124
2018-08-30,Tainhas,12,168,0,0.15846994535519127,0.15846994535519127,0.15846994535519124
2018-08-30,Tainhas,24,168,0,0.15846994535519127,0.15846994535519127,0.15846994535519124
2018-08-30,Tainhas,48,168,0,0.15846994535519127,0.15846994535519127,0.15846994535519124
2018-09-30,Baixo Antas,1,168,0,0.32803468208092484,0.44841040462427745,0.44071961877236443
2018-09-30,Baixo Antas,3,168,168,0.5948940269749516,0.6735549132947976,0.6685599022846132
2018-09-30,Baixo Antas,6,168,168,0.6905105973025047,0.7298410404624276,0.7255199731626751
2018-09-30,Baixo Antas,12,168,168,0.7354287090558767,0.7579841040462427,0.7542867321543262
2018-09-30,Baixo Antas,24,168,168,0.7607779383429671,0.7720556358381503,0.7690715246238188
2018-09-30,Baixo Antas,48,168,168,0.7718268304431599,0.779091401734104,0.7762969939902744
2018-09-30,Carreiro,1,168,168,0.8100624024960998,0.8100624024960998,0.8100624024960997
2018-09-30,Carreiro,3,168,168,0.8170826833073324,0.8170826833073324,0.8170826833073325
2018-09-30,Carreiro,6,168,168,0.8188377535101405,0.8188377535101405,0.8188377535101404
2018-09-30,Carreiro,12,168,168,0.8197152886115446,0.8197152886115446,0.8197152886115446
2018-09-30,Carreiro,24,168,168,0.8201540561622465,0.8201540561622465,0.8201540561622468
2018-09-30,Carreiro,48,168,168,0.8187483749349975,0.8203734399375975,0.8202041623331601
2018-09-30,Prata-Turvo,1,168,0,0.4616204690831556,0.4989339019189765,0.4984896943852168
2018-09-30,Prata-Turvo,3,168,0,0.47405828002842926,0.4989339019189765,0.4984896943852168
2018-09-30,Prata-Turvo,6,168,0,0.4864960909737029,0.4989339019189765,0.49848969438521673
2018-09-30,Prata-Turvo,12,168,0,0.4927149964463397,0.4989339019189765,0.49848969438521673
2018-09-30,Prata-Turvo,24,168,0,0.4958244491826581,0.4989339019189765,0.4984896943852168
2018-09-30,Prata-Turvo,48,168,0,0.49737917555081734,0.4989339019189765,0.4984896943852169
2018-09-30,Alto Antas,1,168,2,0.31159209761766415,0.5724869262056944,0.3525765404941757
2018-09-30,Alto Antas,3,168,0,0.3250532636064304,0.4906546581444897,0.3663472579618716
2018-09-30,Alto Antas,6,168,0,0.3289027697075344,0.47019659112918855,0.37066325295370917
2018-09-30,Alto Antas,12,168,0,0.33063383691652143,0.4599675576215379,0.373972413025834
2018-09-30,Alto Antas,24,168,0,0.3314993705210149,0.46078466976564014,0.3785631205440729
2018-09-30,Alto Antas,48,168,0,0.3319563480534573,0.45526159693976376,0.38735819069178135
2018-09-30,Tainhas,1,168,0,0.15846994535519127,0.15846994535519127,0.15846994535519124
2018-09-30,Tainhas,3,168,0,0.15846994535519127,0.15846994535519127,0.15846994535519124
2018-09-30,Tainhas,6,168,0,0.15846994535519127,0.15846994535519127,0.15846994535519124
2018-09-30,Tainhas,12,168,0,0.15846994535519127,0.15846994535519127,0.15846994535519124
2018-09-30,Tainhas,24,168,0,0.15846994535519127,0.15846994535519127,0.15846994535519124
2018-09-30,Tainhas,48,168,0,0.15846994535519127,0.15846994535519127,0.15846994535519124
