source,last_time,delay_minutes,value
86060010,2026-09-21T08:00:00-03:00,330.0,13.8
86099000,2026-09-21T11:00:00-03:00,150.0,2.74
86102000,2026-09-21T10:00:00-03:00,210.0,7.51
86117000,2026-09-21T12:00:00-03:00,90.0,1.46
86125000,2026-09-21T11:59:00-03:00,91.0,0.8412999999999999
86125050,2026-09-21T13:00:00-03:00,30.0,1.01
86160000,2026-09-21T12:45:00-03:00,45.0,5.67
86163000,2026-09-21T12:00:00-03:00,90.0,5.52
86200900,2026-09-21T12:00:00-03:00,90.0,667.03
86280500,2026-09-21T13:00:00-03:00,30.0,5.8063
86298000,2026-09-21T13:00:00-03:00,30.0,5.71
86403000,2026-09-21T13:00:00-03:00,30.0,8.52
86410800,2026-09-21T12:00:00-03:00,90.0,0.96
86447000,2026-09-21T07:00:00-03:00,390.0,2.2
86448000,2026-09-21T13:00:00-03:00,30.0,150.74
86450000,2026-09-21T13:15:00-03:00,15.0,11.78
86471000,2026-09-21T13:15:00-03:00,15.0,3.4
86472000,2026-09-21T13:30:00-03:00,0.0,11.35
86472600,2026-09-21T12:45:00-03:00,45.0,6.86
86479000,2026-09-21T12:00:00-03:00,90.0,0.2
86488000,2026-09-21T12:00:00-03:00,90.0,0.62
86493000,2026-09-21T12:00:00-03:00,90.0,370.66
86495500,2026-09-21T12:00:00-03:00,90.0,330.46
86500000,2026-09-21T13:30:00-03:00,0.0,4.894
86504900,2026-09-21T12:00:00-03:00,90.0,6.16
86505500,2026-09-21T12:00:00-03:00,90.0,1.15
86510000,2026-09-21T13:15:00-03:00,15.0,7.57
julho,2026-09-21T13:00:00-03:00,30.0,4212.67
monte,2026-09-21T13:00:00-03:00,30.0,3812.04
castro,2026-09-21T13:00:00-03:00,30.0,2576.85
