mae_m,rmse_m,bias_m,p90_abs_m,max_abs_m,n,model,lead_h,phase,score
0.019626982208770592,0.029982272806371023,-0.0028917772563455996,0.04349173118196377,0.21498007593944113,1359,linear_log,0.5,test,0.026842529067639113
0.07885835770957657,0.13226783844080606,-0.012445940323168566,0.19231932859995582,0.3809646395817756,13,linear_log,0.5,today,0.026842529067639113
0.01671780842257916,0.030186906932067513,-6.359650865840274e-05,0.03600154356652397,0.32904523741155955,1359,arvores,0.5,test,0.019624419225087945
0.08542552057939669,0.14334639784580072,-0.04662604818691877,0.18237587277932568,0.42106818728038764,13,arvores,0.5,today,0.019624419225087945
0.05421190602937494,0.07979958120642436,-0.009407006583268568,0.11873705886767814,0.3884669599824182,1357,linear_log,1.5,test,0.22851815864731506
0.26377268743430626,0.41656495818827466,-0.10498883666230847,0.7791495162941072,1.0277897116603434,12,linear_log,1.5,today,0.22851815864731506
0.04039259638110208,0.07009529042375787,0.006869504772390372,0.09355417369151363,0.536064432787708,1357,arvores,1.5,test,0.16760523620409915
0.2876258742947782,0.45338844030345476,-0.18086125586409588,0.7512097627982586,1.1216193483471129,12,arvores,1.5,today,0.16760523620409915
0.08292294428578713,0.12311799520885133,-0.005686996577395651,0.1856101442607295,0.6850526756286239,1355,linear_log,2.5,test,0.2194456046016014
0.49325843018552634,0.7643128431735161,-0.33553365198214347,1.5835150799751112,1.598780564792584,11,linear_log,2.5,today,0.2194456046016014
0.06028014199181121,0.10109495658056343,0.002899506798078548,0.13849804700874221,0.7290454238229493,1355,arvores,2.5,test,0.1481870559395803
0.5311396421758807,0.8516775713698911,-0.49581181663486973,1.7688992474574814,1.8096039478781254,11,arvores,2.5,today,0.1481870559395803
0.11260882453855035,0.16834062124882812,-0.027865604175711118,0.24307845156947572,1.2397208109192484,1353,linear_log,3.5,test,0.23834952953859995
0.8746206597553051,1.26295853383197,-0.7692899488464667,2.1828755811552867,2.352968172996899,10,linear_log,3.5,today,0.23834952953859995
0.0802657315931734,0.13839946616120913,0.008132319875513145,0.17821642826054213,1.0172824659170612,1353,arvores,3.5,test,0.19623616907216462
0.9324947429969945,1.3202930456052098,-0.92251838532245,2.2771184092362113,2.429332556458058,10,arvores,3.5,today,0.19623616907216462
0.1380383224528223,0.210543172753399,-0.015952316470269026,0.3081122937768843,1.5422354434267032,1352,linear_log,4.5,test,0.3060423742750383
1.3488094223821971,1.784452531679695,-1.3383709738365346,2.750870176172134,2.9656562608047716,9,linear_log,4.5,today,0.3060423742750383
0.0987790059494907,0.1720027736783289,0.006131507165314224,0.22654452014861617,1.190783484874288,1352,arvores,4.5,test,0.2191088093827267
1.3063711274668464,1.728986840440214,-1.301856676445967,2.749207553312483,2.843327332896232,9,arvores,4.5,today,0.2191088093827267
0.17183610259511434,0.2582592680210269,0.0026253239365678907,0.39286623746367244,1.6340241192005216,1351,linear_log,5.5,test,0.33266070162133393
1.6892601982554543,2.1463541212652197,-1.6853309148069038,3.3368793326535133,3.3865218866418134,8,linear_log,5.5,today,0.33266070162133393
0.13494368959893233,0.23273683918142063,-0.011709652776295989,0.302435028505073,1.8698604776352639,1351,arvores,5.5,test,0.26226072153541613
1.5986619922158065,2.045541117606025,-1.5986619922158065,3.0190852548482345,3.2921051750614327,8,arvores,5.5,today,0.26226072153541613
0.016631876143080523,0.029835126789191847,-9.91964993165636e-05,0.036616513485771135,0.3266629758198061,1359,arvores_previsao_chuva,0.5,test,0.022798374100663855
0.08507046436562576,0.14439260036541388,-0.04781280433723029,0.18661791625574137,0.4250294870629636,13,arvores_previsao_chuva,0.5,today,0.022798374100663855
0.040018164327958204,0.06917623335379196,0.006949155282207896,0.09194739590213707,0.5381875154628473,1357,arvores_previsao_chuva,1.5,test,0.16843704105535018
0.29147249427420857,0.45631676069811167,-0.17446707465249245,0.751192038454275,1.1237295974277846,12,arvores_previsao_chuva,1.5,today,0.16843704105535018
0.06095883588190366,0.10187965747845273,0.0028694388866665316,0.14242936237506224,0.7289368188448488,1355,arvores_previsao_chuva,2.5,test,0.17376129366072568
0.5289043119294484,0.8386934086221441,-0.45928909645920246,1.7648011712315483,1.7687901696955484,11,arvores_previsao_chuva,2.5,today,0.17376129366072568
0.0810338125711402,0.14006646316399515,0.008297303187915089,0.1779204010080816,1.078120094744575,1353,arvores_previsao_chuva,3.5,test,0.20406898793014044
0.9002431086687125,1.2815392086287447,-0.8818297622573287,2.1944466330238965,2.3723130170624973,10,arvores_previsao_chuva,3.5,today,0.20406898793014044
0.09892076442771072,0.1708241161965298,0.005352860839210064,0.2222898515283017,1.1978097877840295,1352,arvores_previsao_chuva,4.5,test,0.20201771829478302
1.3060031957500011,1.7492447291786224,-1.2954377503874828,2.726260408548136,2.9299132258835012,9,arvores_previsao_chuva,4.5,today,0.20201771829478302
0.13238872425975917,0.2245764998214308,-0.009299999599260126,0.29896301201956765,1.6002746598899442,1351,arvores_previsao_chuva,5.5,test,0.283332213401817
1.5355019230190725,1.9573873770172496,-1.5200809760383325,2.9301825450979715,3.1230094984990817,8,arvores_previsao_chuva,5.5,today,0.283332213401817
