phase,horizon_h,contrast,reference,candidate,reference_hits,candidate_hits,change_hits,reference_mae_m,candidate_mae_m,change_mae_m,reference_bias_m,candidate_bias_m,change_bias_m,reference_p98_abs_m,candidate_p98_abs_m,change_p98_abs_m,reference_max_abs_m,candidate_max_abs_m,change_max_abs_m
validation,1,add2023_with120,observed_control,augmented,28,28,0,0.0666807029630848,0.07586753928089005,0.009186836317805244,0.020062143129802985,0.04817294736848624,0.028110804238683257,0.21438872115969643,0.23597821968722388,0.02158949852752745,0.25365721478517145,0.2844677981726562,0.03081058338748477
validation,1,add2023_with33,core_original,core_augmented,28,28,0,0.07053470926401026,0.06020004405401199,-0.010334665209998269,0.014362662357881004,0.01468755194077739,0.00032488958289638575,0.17481136237806227,0.1542124004730363,-0.02059896190502597,0.18425926240222523,0.16246581788822922,-0.021793444513996008
validation,1,reduce120to33_original,observed_control,core_original,28,28,0,0.0666807029630848,0.07053470926401026,0.0038540063009254583,0.020062143129802985,0.014362662357881004,-0.005699480771921981,0.21438872115969643,0.17481136237806227,-0.03957735878163415,0.25365721478517145,0.18425926240222523,-0.06939795238294622
validation,1,reduce120to33_augmented,augmented,core_augmented,28,28,0,0.07586753928089005,0.06020004405401199,-0.015667495226878055,0.04817294736848624,0.01468755194077739,-0.033485395427708856,0.23597821968722388,0.1542124004730363,-0.08176581921418757,0.2844677981726562,0.16246581788822922,-0.12200198028442699
validation,1,interaction_addition_difference_33_minus120,add2023_with120,add2023_with33,0,0,0,0.009186836317805244,-0.010334665209998269,-0.019521501527803513,0.028110804238683257,0.00032488958289638575,-0.02778591465578687,0.02158949852752745,-0.02059896190502597,-0.04218846043255342,0.03081058338748477,-0.021793444513996008,-0.05260402790148078
validation,2,add2023_with120,observed_control,augmented,28,28,0,0.11897886238198042,0.12951907349574096,0.010540211113760536,0.02382246183854456,0.011678629413639983,-0.012143832424904577,0.3544459802504053,0.3835144772981856,0.029068497047780306,0.36191043129735867,0.44768831489714067,0.085777883599782
validation,2,add2023_with33,core_original,core_augmented,27,28,1,0.16316878136293617,0.12438253781048954,-0.03878624355244663,0.012259775734056693,0.0269201152959549,0.014660339561898208,0.5455550975367626,0.35380923567686295,-0.1917458618598996,0.6144893711934012,0.3905449828425498,-0.2239443883508514
validation,2,reduce120to33_original,observed_control,core_original,28,27,-1,0.11897886238198042,0.16316878136293617,0.04418991898095574,0.02382246183854456,0.012259775734056693,-0.011562686104487867,0.3544459802504053,0.5455550975367626,0.19110911728635727,0.36191043129735867,0.6144893711934012,0.2525789398960425
validation,2,reduce120to33_augmented,augmented,core_augmented,28,28,0,0.12951907349574096,0.12438253781048954,-0.005136535685251423,0.011678629413639983,0.0269201152959549,0.015241485882314918,0.3835144772981856,0.35380923567686295,-0.029705241621322653,0.44768831489714067,0.3905449828425498,-0.05714333205459088
validation,2,interaction_addition_difference_33_minus120,add2023_with120,add2023_with33,0,1,1,0.010540211113760536,-0.03878624355244663,-0.049326454666207165,-0.012143832424904577,0.014660339561898208,0.026804171986802787,0.029068497047780306,-0.1917458618598996,-0.22081435890767992,0.085777883599782,-0.2239443883508514,-0.3097222719506334
validation,3,add2023_with120,observed_control,augmented,26,25,-1,0.16960676474370254,0.20403266818776372,0.034425903444061184,0.0480847892416398,0.11297069730980801,0.06488590806816821,0.5556545652840782,0.5821260406297245,0.02647147534564631,0.6140799441250824,0.5932292719987533,-0.020850672126329073
validation,3,add2023_with33,core_original,core_augmented,24,27,3,0.21344794759956157,0.19104831910612788,-0.022399628493433688,0.08358062133262248,0.08570414595577251,0.002123524623150033,0.5789384330759704,0.4386813461486111,-0.14025708692735928,0.6036826012244667,0.5030409911690628,-0.10064161005540395
validation,3,reduce120to33_original,observed_control,core_original,26,24,-2,0.16960676474370254,0.21344794759956157,0.04384118285585903,0.0480847892416398,0.08358062133262248,0.03549583209098268,0.5556545652840782,0.5789384330759704,0.023283867791892177,0.6140799441250824,0.6036826012244667,-0.01039734290061567
validation,3,reduce120to33_augmented,augmented,core_augmented,25,27,2,0.20403266818776372,0.19104831910612788,-0.012984349081635843,0.11297069730980801,0.08570414595577251,-0.027266551354035495,0.5821260406297245,0.4386813461486111,-0.1434446944811134,0.5932292719987533,0.5030409911690628,-0.09018828082969055
