phase,profile,horizon_h,subset,reference,observed_targets,pairs,failures,old_hits,new_hits,delta_hits,old_mae_m,new_mae_m,old_max_m,new_max_m
test,A,1,all,mixed_profile_candidate,1944,1939,5,1933,1934,1,0.04783750593944735,0.04682848369768733,1.141419228155974,1.1735919883856756
test,A,1,all,profile_A_control,1944,1939,5,1933,1934,1,0.0371222429682849,0.04682848369768733,1.2985394062094997,1.1735919883856756
test,A,1,level_ge_7m,mixed_profile_candidate,237,236,1,231,231,0,0.07625871051660717,0.07746670270381346,1.141419228155974,1.1735919883856756
test,A,1,level_ge_7m,profile_A_control,237,236,1,230,231,1,0.08365381495683401,0.07746670270381346,1.2985394062094997,1.1735919883856756
test,A,2,all,mixed_profile_candidate,1943,1936,7,1895,1895,0,0.0875271938439811,0.08885471694119201,2.35798379080882,2.3601731142121523
test,A,2,all,profile_A_control,1943,1936,7,1915,1895,-20,0.06470988559156808,0.08885471694119201,2.430986906354253,2.3601731142121523
test,A,2,level_ge_7m,mixed_profile_candidate,237,236,1,225,226,1,0.13368154358694637,0.13718425810800955,2.35798379080882,2.3601731142121523
test,A,2,level_ge_7m,profile_A_control,237,236,1,225,226,1,0.1420297534699279,0.13718425810800955,2.430986906354253,2.3601731142121523
test,A,3,all,mixed_profile_candidate,1942,1933,9,1869,1871,2,0.11088536147545171,0.10863064652555775,3.5417724438313964,3.7326181945682153
test,A,3,all,profile_A_control,1942,1933,9,1896,1871,-25,0.08858410963828463,0.10863064652555775,3.8502978392165037,3.7326181945682153
test,A,3,level_ge_7m,mixed_profile_candidate,237,236,1,211,208,-3,0.23103349561199366,0.237610957832948,3.5417724438313964,3.7326181945682153
test,A,3,level_ge_7m,profile_A_control,237,236,1,210,208,-2,0.2532196871530062,0.237610957832948,3.8502978392165037,3.7326181945682153
test,A,4,all,mixed_profile_candidate,1941,1931,10,1864,1862,-2,0.13045457157932483,0.1306500358386008,4.7455033562984505,4.708370505657758
test,A,4,all,profile_A_control,1941,1931,10,1878,1862,-16,0.11497979365427792,0.1306500358386008,4.579107233006882,4.708370505657758
test,A,4,level_ge_7m,mixed_profile_candidate,237,236,1,199,196,-3,0.36092812417098286,0.3527863290440472,4.7455033562984505,4.708370505657758
test,A,4,level_ge_7m,profile_A_control,237,236,1,199,196,-3,0.34447883082737046,0.3527863290440472,4.579107233006882,4.708370505657758
test,A,5,all,mixed_profile_candidate,1940,1929,11,1845,1848,3,0.1592206798094355,0.1574867330126752,5.4406707406415205,5.253259327535564
test,A,5,all,profile_A_control,1940,1929,11,1856,1848,-8,0.1529170486007049,0.1574867330126752,5.585721334594157,5.253259327535564
test,A,5,level_ge_7m,mixed_profile_candidate,237,236,1,178,180,2,0.4876970563733857,0.4735713514714057,5.4406707406415205,5.253259327535564
test,A,5,level_ge_7m,profile_A_control,237,236,1,182,180,-2,0.48868542525858694,0.4735713514714057,5.585721334594157,5.253259327535564
test,A,6,all,mixed_profile_candidate,1939,1927,12,1780,1773,-7,0.2079324272093252,0.2121000902497975,6.299646491687942,6.307829811694162
test,A,6,all,profile_A_control,1939,1927,12,1772,1773,1,0.20405372470450728,0.2121000902497975,6.383213756919677,6.307829811694162
test,A,6,level_ge_7m,mixed_profile_candidate,237,236,1,170,166,-4,0.6021107824295977,0.6065347946854548,6.299646491687942,6.307829811694162
test,A,6,level_ge_7m,profile_A_control,237,236,1,162,166,4,0.6129362573306584,0.6065347946854548,6.383213756919677,6.307829811694162
test,A,7,all,mixed_profile_candidate,1938,1925,13,1690,1704,14,0.25477754180124057,0.25307393409981144,5.194583557487675,5.2001690652478025
test,A,7,all,profile_A_control,1938,1925,13,1704,1704,0,0.2521091968617542,0.25307393409981144,5.0700479704763755,5.2001690652478025
test,A,7,level_ge_7m,mixed_profile_candidate,237,236,1,130,139,9,0.6714841295708656,0.6538967087332631,5.194583557487675,5.2001690652478025
