phase,horizon_h,rows,target_below7,target_ge7_lt9,target_ge9,target_exactly7,target_exactly9,middle_abs_delta_ge1,middle_abs_delta_lt1,old_weights_sum,new_weights_sum,expected_increment,relative_total_weight_increase,middle_old_weight_sum,middle_new_weight_sum,indices_sha256,response_sha256,old_weights_sha256,new_weights_sha256
validation,8,3519,3357,62,100,0,1,19,43,4581,4705,124,0.027068325693080115,100,224,cfc17247f68179b831b9ba2df1964b60c97cda5379b1650a93e09003244e4a19,d5327883a85314e9e1569e5f5306bb957f5359987009b567587fb0fe7d130e4b,e1233967570067a5cdf4281d9f86bb9783d7fa512aa3e5fb82395ae46b236c96,e29e8b874e2521dc3e6a9279bc6a9954f5356b8e52142f875fd448af80a2e81f
test,8,9278,9088,87,103,0,1,32,55,11184,11358,174,0.01555793991416309,151,325,94f7e93ee73886c69e3cfbb72fa68ad02e47455ef87506b4abbde1dbf4e64571,08f68d919b250bfb7be7fb977a26fa6ae7df9c9a75e293aef55eb59d4982ee7f,81515453ed78bba2668037c36505f074e3838a63271bb6c9c3dda1caf46f1caa,d1675a250bd3271b6ac0cd354de30b9b9bb9c39be6ce614272e853abeebb5a47
validation,9,3517,3355,63,99,0,1,21,42,4677,4803,126,0.026940346375881975,105,231,616bee3f348339c29a095cff783e4cab648d5ce7e904662e999a7ca2cff07181,f6e639bebe89bb96f4998beb1c02e76e69cc0ea92a0a79458cd4c22b4f472faa,3b1734f55e7e9e6668197285915cf3afb5f2eb26fafbce6a5b1a527456592ea7,91f2289d5121b5145247bfb2c7271097a3e43c0dd377c1aed51af094c2abd91b
test,9,9277,9087,88,102,0,1,34,54,11377,11553,176,0.015469807506372507,156,332,14d31a80736e7cb5b7296b093108187daf66da83784513083aea7e11e0d98c43,ba1a0f54c078afde97ee01e2e901488c56923591cb88248ee096996b74de24ff,410ccecfc6de28ef403c8a011a1a059675b3ac1731d99cdb7c396da13b9061d3,889b1467b66b261527b3bdb23f2cdfba154aaf234d3226bfd984af045dde4ce6
validation,10,3516,3353,63,100,0,1,25,38,4766,4892,126,0.02643726395300042,113,239,f57eae423e0f36a892e65aadbac8d6e71b02515f994a853536eb1f7d23cffeb2,0034a3fe65ebdbfb76a482a83fd1c80fec9dc5748cc32ac56e3ffabb6440167d,21c631aade426e0732d9945864d86e7b2981c415665763b8e4f73a5564a7afba,148859492662ab978f82bf79d6ce4dda1fc533fcac6160c6a4150a9337bf4792
test,10,9274,9083,88,103,0,1,39,49,11526,11702,176,0.015269824744056915,166,342,fa1d4e059e46e979b00b0c94bf04aeea378ce32b5508b3d2b75bdad3d2271e86,f583b8dedd993269d78331d995762dbeb9e7261f068c09e4621331a01a9fdb4a,89251cb226fe3be399e07cbf02a1583943e3b31e39bf16bbfa86c8cad5f6cae1,07c86871c164e9cefd0fd4fbbc4c4bab7791ab0fa30909f96397e51cb620e086
validation,11,3516,3351,64,101,0,1,28,36,4838,4966,128,0.02645721372467962,120,248,1ef564a3e656a25edd5cf69613240349d7f022eb86aac1646fdcaa99555bd3f9,987668ed18fccf8f98d3d1ef8177c40069480007baa2bc9f8c5e99d48ff07749,fbc651043c74c8a4d85500773773c18bb295c28db156977353805630c8bdbfb7,dd93ceb1226d2a07de4b399775619eb4430aefa9779f230fdde81f42b8f86ad5
test,11,9275,9082,89,104,0,1,43,46,11637,11815,178,0.015296038497894647,175,353,8ac0416ed4e673df0951876c52f71b65a6c4b0f0dc5deaf7feee2eeb00dba440,418356ff91988819ffe59fffbdd8f8e3ee2dec4fc1d7702ccdbce397ca03f84e,d5971ba2f30eb88a9484ea1917ac0eddb2b2017735ca228036d18b3fdd7d443d,f668b21e11d27c7eaee90fc346c1aa84735668badb7c2b1a2c56cb6a24f00ec9
validation,12,3513,3347,64,102,0,1,33,31,4909,5037,128,0.02607455693623956,130,258,9250da744a4604e0a6f8519ba375892d3af2d3fb8b8b124343cacc190c411391,f322e3a7132249c31b138bc5486c5a4897f82681cddaa293e55fa77d9a8817e9,fbf61f15af21790cb9f38486e3845b2b7efcb3606384231899a387680a43273b,0b97607362c6389007f68704d89f928e87d5d5a50e032764d1ee33887c88fa6b
test,12,9269,9075,89,105,0,1,49,40,11749,11927,178,0.015150225551110733,187,365,64ba70ef97807fa9890983e6564fe47639c422f95ec9f9eeb69da188f5e71c2c,3135cfed98ac4243d2e77caae34459d0ae2e68c8f28f7cc6121d638ff8f376d3,ebde0541ad4a5fbbbd9e64f22c9c92115e7ea7a344a7d31161d4191e5b08fc41,275a04e7318fac117de19e259283a375be01c85a1fd7f80e36edf05b2f8e8c22
