plant,variable,previous_timestamp,timestamp,previous_value_m,value_m,delta_m,elapsed_hours,rate_m_per_hour,previous_source_file,previous_source_line,source_file,source_line,I_raw,Q_raw,context_zero_or_negative
JIUHCA,val_niveljusante,2025-10-27 08:00:00,2025-10-27 09:00:00,147.68,145.62,-2.0600000000000023,1.0,-2.0600000000000023,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_10-ceran.csv,1377,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_10-ceran.csv,1378,78.0,78.0,False
JIUHCA,val_niveljusante,2025-10-29 21:00:00,2025-10-29 22:00:00,147.87,146.8,-1.0699999999999932,1.0,-1.0699999999999932,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_10-ceran.csv,1438,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_10-ceran.csv,1439,172.0,186.0,False
JIUHCA,val_niveljusante,2025-11-27 09:00:00,2025-11-27 10:00:00,146.05,147.05,1.0,1.0,1.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_11-ceran.csv,1354,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_11-ceran.csv,1355,70.0,40.0,False
JIUHCA,val_niveljusante,2025-12-19 05:00:00,2025-12-19 06:00:00,147.0,148.0,1.0,1.0,1.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_12-ceran.csv,1181,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2025_12-ceran.csv,1182,63.0,63.0,False
JIUHCA,val_niveljusante,2026-01-05 10:00:00,2026-01-05 11:00:00,147.3,148.47,1.1699999999999875,1.0,1.1699999999999875,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_01-ceran.csv,851,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_01-ceran.csv,852,85.0,174.0,False
JIUHCA,val_niveljusante,2026-01-22 11:00:00,2026-01-22 12:00:00,145.99,147.08,1.0900000000000034,1.0,1.0900000000000034,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_01-ceran.csv,1260,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_01-ceran.csv,1261,80.0,51.0,False
JIUHCA,val_niveljusante,2026-02-18 14:00:00,2026-02-18 15:00:00,147.12,148.15,1.0300000000000011,1.0,1.0300000000000011,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_02-ceran.csv,1095,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_02-ceran.csv,1096,98.0,83.0,False
JIUHCA,val_niveljusante,2026-02-18 15:00:00,2026-02-18 16:00:00,148.15,147.15,-1.0,1.0,-1.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_02-ceran.csv,1096,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_02-ceran.csv,1097,82.0,82.0,False
JIUHCA,val_niveljusante,2026-02-25 01:00:00,2026-02-25 02:00:00,145.75,146.75,1.0,1.0,1.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_02-ceran.csv,1250,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_02-ceran.csv,1251,43.0,72.0,False
JIUHCA,val_niveljusante,2026-03-02 09:00:00,2026-03-02 10:00:00,147.24,146.24,-1.0,1.0,-1.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_03-ceran.csv,778,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_03-ceran.csv,779,33.0,19.0,False
JIUHCA,val_niveljusante,2026-03-12 20:00:00,2026-03-12 21:00:00,147.92,146.82,-1.0999999999999943,1.0,-1.0999999999999943,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_03-ceran.csv,1029,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_03-ceran.csv,1030,27.0,71.0,False
JIUHCA,val_niveljusante,2026-04-15 23:00:00,2026-04-15 23:59:00,147.92,146.77,-1.1499999999999773,0.9833333333333333,-1.1694915254237057,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_04-ceran.csv,1080,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_04-ceran.csv,1081,28.0,72.0,False
JIUHCA,val_niveljusante,2026-04-28 01:00:00,2026-04-28 02:00:00,146.64,147.76,1.1200000000000045,1.0,1.1200000000000045,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_04-ceran.csv,1370,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_04-ceran.csv,1371,18.0,18.0,False
JIUHCA,val_niveljusante,2026-05-05 15:00:00,2026-05-05 16:00:00,149.39,148.31,-1.079999999999984,1.0,-1.079999999999984,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_05-ceran.csv,856,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_05-ceran.csv,857,225.0,195.0,False
JIUHCA,val_niveljusante,2026-06-15 18:00:00,2026-06-15 19:00:00,147.33,146.33,-1.0,1.0,-1.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_06-ceran.csv,1075,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_06-ceran.csv,1076,57.0,72.0,False
JIUHCA,val_niveljusante,2026-06-16 23:00:00,2026-06-16 23:59:00,147.77,146.68,-1.0900000000000034,0.9833333333333333,-1.10847457627119,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_06-ceran.csv,1104,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_06-ceran.csv,1105,40.0,69.0,False
JIUHCA,val_niveljusante,2026-06-24 01:00:00,2026-06-24 02:00:00,148.18,147.16,-1.0200000000000102,1.0,-1.0200000000000102,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_06-ceran.csv,1274,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_06-ceran.csv,1275,83.0,83.0,False
JIUHCA,val_niveljusante,2026-06-24 02:00:00,2026-06-24 03:00:00,147.16,148.16,1.0,1.0,1.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_06-ceran.csv,1275,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_06-ceran.csv,1276,83.0,83.0,False
JIUHCA,val_niveljusante,2026-07-08 06:00:00,2026-07-08 07:00:00,149.08,148.08,-1.0,1.0,-1.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,919,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,920,177.0,177.0,False
JIUHCA,val_niveljusante,2026-07-14 04:00:00,2026-07-14 05:00:00,148.88,147.87,-1.009999999999991,1.0,-1.009999999999991,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1061,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_07-ceran.csv,1062,72.0,176.0,False
