plant,timestamp_original,variable,ceran_m,ons_m,difference_m,ons_file,ons_line,ceran_file
JIUHCA,21/09/2026 11:00:00,val_nivelmontante,242.21,242.21,0.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,983,outputs/mucum-hourly-20260921T180020-0300/raw/ceran-castro-fresh.html
JIUHCA,21/09/2026 11:00:00,val_niveljusante,150.78,150.78,0.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,983,outputs/mucum-hourly-20260921T180020-0300/raw/ceran-castro-fresh.html
JIUHCA,21/09/2026 10:00:00,val_nivelmontante,241.11,241.11,0.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,982,outputs/mucum-hourly-20260921T180020-0300/raw/ceran-castro-fresh.html
JIUHCA,21/09/2026 10:00:00,val_niveljusante,151.07,151.07,0.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,982,outputs/mucum-hourly-20260921T180020-0300/raw/ceran-castro-fresh.html
JIUHCA,21/09/2026 09:00:00,val_nivelmontante,240.53,240.53,0.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,981,outputs/mucum-hourly-20260921T180020-0300/raw/ceran-castro-fresh.html
JIUHCA,21/09/2026 09:00:00,val_niveljusante,149.69,149.69,0.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,981,outputs/mucum-hourly-20260921T180020-0300/raw/ceran-castro-fresh.html
JIUHCA,21/09/2026 08:00:00,val_nivelmontante,240.31,240.31,0.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,980,outputs/mucum-hourly-20260921T180020-0300/raw/ceran-castro-fresh.html
JIUHCA,21/09/2026 08:00:00,val_niveljusante,148.56,148.56,0.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,980,outputs/mucum-hourly-20260921T180020-0300/raw/ceran-castro-fresh.html
JIUHCA,21/09/2026 07:00:00,val_nivelmontante,240.29,240.29,0.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,979,outputs/mucum-hourly-20260921T180020-0300/raw/ceran-castro-fresh.html
JIUHCA,21/09/2026 07:00:00,val_niveljusante,148.5,148.5,0.0,outputs/mucum-propagacao-2026-09-21/raw/DADOS_HIDROLOGICOS_HO_2026_09-ceran.csv,979,outputs/mucum-hourly-20260921T180020-0300/raw/ceran-castro-fresh.html
