nominal_lead_h,actual_lead_h,training_rows,cutoff_utc,cutoff_exclusive,actual_last_training_target,anchor_m,anchor_training_min,anchor_training_max,target_training_min,target_training_max,delta_training_min,delta_training_max,predicted_delta_m,forecast_m,inputs_below_training_min,inputs_above_training_max,missing_inputs_seen_in_training,missing_inputs_unseen_in_training,finite_inputs_without_training_support
1,0.9645093425,10899,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.33,0.81,15.31,0.81,15.31,-0.5800000000000001,1.5500000000000007,0.5482676029997045,18.878267602999703,2,21,0,0,0
2,1.9645093425,10894,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.33,0.81,15.31,0.81,15.31,-0.9200000000000008,2.4300000000000006,0.7586505036423752,19.088650503642373,2,21,0,0,0
3,2.9645093425,10888,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.33,0.81,15.31,0.81,15.31,-1.1700000000000008,3.2700000000000005,0.9578035294845222,19.28780352948452,2,21,0,0,0
4,3.9645093425,10884,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.33,0.81,15.31,0.81,15.31,-1.4299999999999997,4.09,1.1120130384825266,19.442013038482525,2,21,0,0,0
5,4.9645093424999995,10882,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.33,0.81,15.31,0.81,15.31,-1.709999999999999,4.86,0.8982536723850814,19.22825367238508,2,21,0,0,0
6,5.9645093424999995,10883,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.33,0.81,15.31,0.81,15.31,-2.0,5.56,0.7213318465720668,19.051331846572065,2,21,0,0,0
7,6.9645093424999995,10881,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.33,0.81,15.31,0.81,15.31,-2.2799999999999994,6.22,0.35940834792507914,18.689408347925077,2,21,0,0,0
8,7.9645093424999995,10880,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.33,0.81,15.31,0.81,15.31,-2.59,6.86,0.3141664296803093,18.644166429680308,2,21,0,0,0
9,8.9645093425,10878,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.33,0.81,15.31,0.81,15.31,-2.8900000000000006,7.249999999999999,0.25118828623858036,18.58118828623858,2,21,0,0,0
10,9.964509342500001,10877,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.33,0.81,15.31,0.81,15.31,-3.1899999999999995,7.569999999999999,-0.17843829144711876,18.15156170855288,2,21,0,0,0
11,10.964509342500001,10874,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.33,0.81,15.31,0.81,15.31,-3.5,7.87,-0.17588261658601212,18.154117383413986,2,21,0,0,0
12,11.964509342500001,10872,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.33,0.81,15.31,0.81,15.31,-3.7699999999999996,8.18,-0.36922929346743416,17.960770706532564,2,21,0,0,0
13,12.964509342500001,10872,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.33,0.81,15.31,0.81,15.31,-4.02,8.48,-0.6832616198130985,17.6467383801869,2,21,0,0,0
14,13.964509342500001,10872,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.33,0.81,15.31,0.81,15.31,-4.27,8.77,-0.8510543422486307,17.478945657751368,2,21,0,0,0
