nominal_lead_h,column,name,current,training_rows,finite_training_rows,missing_training_rows,minimum,maximum,status
4,108,Tainhas:C3,1.0,10884,10884,0,0.3882058287795993,1.0,within_univariate_range
4,109,Tainhas:P6,30.799999999999972,10884,10884,0,0.0,35.217486338798174,within_univariate_range
4,110,Tainhas:C6,1.0,10884,10884,0,0.56841985428051,1.0,within_univariate_range
4,111,Tainhas:P12,47.77759562841455,10884,10884,0,0.0,47.16010928961751,above_training_max
4,112,Tainhas:C12,1.0,10884,10884,0,0.6325136612021858,1.0,within_univariate_range
4,113,Tainhas:P24,151.4076502732228,10884,10882,2,0.0,72.22295081967238,above_training_max
4,114,Tainhas:C24,1.0,10884,10884,0,0.41327982695810567,1.0,within_univariate_range
4,115,Tainhas:P48,169.85464480874214,10884,10874,10,0.0,92.33934426229328,above_training_max
4,116,Tainhas:C48,1.0,10884,10884,0,0.20663991347905283,1.0,within_univariate_range
4,117,Tainhas:P3lag3,3.870491803278826,10884,10879,5,0.0,34.51420765027345,within_univariate_range
4,118,Tainhas:P3lag6,0.9836065573767137,10884,10879,5,0.0,33.35901639344284,within_univariate_range
4,119,Tainhas:P3lag12,34.76557377049147,10884,10879,5,0.0,34.51420765027345,above_training_max
4,120,gfs_seamless:Baixo Antas:forecastP3,0.0,10884,10884,0,0.0,55.0,within_univariate_range
4,121,gfs_seamless:Baixo Antas:forecastP6,0.0,10884,10884,0,0.0,70.6,within_univariate_range
4,122,gfs_seamless:Baixo Antas:forecastP9,0.0,10884,10884,0,0.0,85.3,within_univariate_range
4,123,gfs_seamless:Baixo Antas:forecastP12,0.0,10884,10884,0,0.0,100.19999999999999,within_univariate_range
4,124,gfs_seamless:Carreiro:forecastP3,0.0,10884,10884,0,0.0,42.900000000000006,within_univariate_range
4,125,gfs_seamless:Carreiro:forecastP6,0.0,10884,10884,0,0.0,55.7,within_univariate_range
4,126,gfs_seamless:Carreiro:forecastP9,0.0,10884,10884,0,0.0,71.6,within_univariate_range
4,127,gfs_seamless:Carreiro:forecastP12,0.0,10884,10884,0,0.0,88.8,within_univariate_range
4,128,gfs_seamless:Prata-Turvo:forecastP3,0.0,10884,10884,0,0.0,41.6,within_univariate_range
4,129,gfs_seamless:Prata-Turvo:forecastP6,0.0,10884,10884,0,0.0,56.8,within_univariate_range
4,130,gfs_seamless:Prata-Turvo:forecastP9,0.0,10884,10884,0,0.0,71.1,within_univariate_range
4,131,gfs_seamless:Prata-Turvo:forecastP12,0.0,10884,10884,0,0.0,76.89999999999999,within_univariate_range
4,132,gfs_seamless:Alto Antas:forecastP3,0.0,10884,10884,0,0.0,61.7,within_univariate_range
4,133,gfs_seamless:Alto Antas:forecastP6,0.0,10884,10884,0,0.0,74.9,within_univariate_range
4,134,gfs_seamless:Alto Antas:forecastP9,0.0,10884,10884,0,0.0,84.1,within_univariate_range
