observed_cluster_id,independence_certified,nominal_lead_h,subset,family,observed_targets,forecast_failures_with_truth,coverage,n,hits,accuracy_percent,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m,unique_target_times,observed_flood_clusters,confidence_interval,uncertainty_status
594b4ac32b57fab12c848086,False,1,level_ge_7m,julho_levels,35,0,1.0,35,35,100.0,0.08231966045375351,0.00412515934859662,0.1661119410623595,0.20236416866662635,0.21741130743566117,35,0,,Independent-event validation unavailable; hourly pairs are dependent.
594b4ac32b57fab12c848086,False,1,level_ge_7m,past_error_median,35,0,1.0,35,35,100.0,0.09405200582987029,0.02554498273356019,0.1698579006530064,0.20930724893782227,0.23014011635531872,35,0,,Independent-event validation unavailable; hourly pairs are dependent.
594b4ac32b57fab12c848086,False,2,level_ge_7m,julho_levels,35,0,1.0,35,35,100.0,0.11887842866293398,0.003995100962748285,0.23560559188795982,0.29379639742510916,0.30793499698976046,35,0,,Independent-event validation unavailable; hourly pairs are dependent.
594b4ac32b57fab12c848086,False,2,level_ge_7m,past_error_median,35,0,1.0,35,35,100.0,0.13460274475814585,0.04189821774583198,0.26769057791926804,0.33697992934612486,0.3756147632127078,35,0,,Independent-event validation unavailable; hourly pairs are dependent.
594b4ac32b57fab12c848086,False,3,level_ge_7m,julho_levels,35,0,1.0,35,34,97.14285714285714,0.15437150160885668,2.583488430342332e-05,0.2717296929452923,0.35848097870128887,0.5074117616746747,35,0,,Independent-event validation unavailable; hourly pairs are dependent.
594b4ac32b57fab12c848086,False,3,level_ge_7m,past_error_median,35,0,1.0,35,34,97.14285714285714,0.19072028685892867,0.06618756883696246,0.3538872273035854,0.4926361818240343,0.5663693709731845,35,0,,Independent-event validation unavailable; hourly pairs are dependent.
594b4ac32b57fab12c848086,False,4,level_ge_7m,julho_levels,35,0,1.0,35,35,100.0,0.18446425750077422,-0.0023125048037938864,0.2940842399568737,0.4591505757337843,0.4686447484964482,35,0,,Independent-event validation unavailable; hourly pairs are dependent.
594b4ac32b57fab12c848086,False,4,level_ge_7m,past_error_median,35,0,1.0,35,33,94.28571428571429,0.23462568377504936,0.10637805077175504,0.4641091349977025,0.5224877576819561,0.5635281792353171,35,0,,Independent-event validation unavailable; hourly pairs are dependent.
594b4ac32b57fab12c848086,False,5,level_ge_7m,julho_levels,35,0,1.0,35,35,100.0,0.21052192023124985,-0.00913131991315641,0.37618815155404206,0.45299642339376917,0.4797322979840146,35,0,,Independent-event validation unavailable; hourly pairs are dependent.
594b4ac32b57fab12c848086,False,5,level_ge_7m,past_error_median,35,0,1.0,35,31,88.57142857142857,0.2731549977622198,0.1189435056900444,0.4908244952144959,0.5234364043509584,0.5272921557393433,35,0,,Independent-event validation unavailable; hourly pairs are dependent.
594b4ac32b57fab12c848086,False,6,level_ge_7m,julho_levels,35,0,1.0,35,35,100.0,0.23141226499480091,-0.018379641500752164,0.4067367726099267,0.4495258192607796,0.44963100957772184,35,0,,Independent-event validation unavailable; hourly pairs are dependent.
594b4ac32b57fab12c848086,False,6,level_ge_7m,past_error_median,35,0,1.0,35,29,82.85714285714286,0.33502906040808805,0.1277316285757197,0.5417895537767081,0.5884791688954344,0.6227466578776601,35,0,,Independent-event validation unavailable; hourly pairs are dependent.
594b4ac32b57fab12c848086,False,7,level_ge_7m,julho_levels,35,0,1.0,35,34,97.14285714285714,0.24743995841162852,-0.032861965641909054,0.4701328311062085,0.49354834927937236,0.5062743907755074,35,0,,Independent-event validation unavailable; hourly pairs are dependent.
