period,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
2021,4,missing24,level_ge_7m,normalized_original,740,0,11,11,0,11,1.0,1.0,0.19194655872508773,-0.14649772753841653,0.45191554307444654,0.4950007472629885
2021,4,missing24,level_ge_7m,normalized_plus2020,740,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.2681874729667626,-0.09509992845322333,0.6351265035024849,0.6545336007216651
2021,5,full_schedule,all,raw_original,739,0,739,739,0,698,0.9445196211096076,0.9445196211096076,0.19759122551934888,0.0836932795221943,0.6989447763375953,1.3439867254330542
2021,5,full_schedule,all,raw_plus2020,739,0,739,739,0,697,0.9431664411366711,0.9431664411366711,0.14048851794877895,0.03390821408695307,0.6507457683037887,0.9475490547718379
2021,5,full_schedule,all,normalized_original,739,0,739,739,0,692,0.9364005412719891,0.9364005412719891,0.20780815955072823,0.09451958836893197,0.7017359694097857,1.3668913627607582
2021,5,full_schedule,all,normalized_plus2020,739,0,739,739,0,697,0.9431664411366711,0.9431664411366711,0.1580662108809568,0.016557255195443706,0.7015310788898638,0.916097275367389
2021,5,full_schedule,level_ge_7m,raw_original,739,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.342960289333011,-0.342960289333011,0.7297652342488102,0.748924075238186
2021,5,full_schedule,level_ge_7m,raw_plus2020,739,0,11,11,0,11,1.0,1.0,0.19529815963183628,-0.05566463155712966,0.37114475887098825,0.3746147107116977
2021,5,full_schedule,level_ge_7m,normalized_original,739,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.36052484750258706,-0.36052484750258706,0.7777881290942852,0.7926558611211441
2021,5,full_schedule,level_ge_7m,normalized_plus2020,739,0,11,11,0,11,1.0,1.0,0.22057945846827104,-0.05865515229233129,0.45852678939633235,0.4684026293070458
2021,5,complete24,all,raw_original,0,0,0,0,0,0,,,,,,
2021,5,complete24,all,raw_plus2020,0,0,0,0,0,0,,,,,,
2021,5,complete24,all,normalized_original,0,0,0,0,0,0,,,,,,
2021,5,complete24,all,normalized_plus2020,0,0,0,0,0,0,,,,,,
2021,5,complete24,level_ge_7m,raw_original,0,0,0,0,0,0,,,,,,
2021,5,complete24,level_ge_7m,raw_plus2020,0,0,0,0,0,0,,,,,,
2021,5,complete24,level_ge_7m,normalized_original,0,0,0,0,0,0,,,,,,
2021,5,complete24,level_ge_7m,normalized_plus2020,0,0,0,0,0,0,,,,,,
2021,5,missing24,all,raw_original,739,0,739,739,0,698,0.9445196211096076,0.9445196211096076,0.19759122551934888,0.0836932795221943,0.6989447763375953,1.3439867254330542
2021,5,missing24,all,raw_plus2020,739,0,739,739,0,697,0.9431664411366711,0.9431664411366711,0.14048851794877895,0.03390821408695307,0.6507457683037887,0.9475490547718379
2021,5,missing24,all,normalized_original,739,0,739,739,0,692,0.9364005412719891,0.9364005412719891,0.20780815955072823,0.09451958836893197,0.7017359694097857,1.3668913627607582
2021,5,missing24,all,normalized_plus2020,739,0,739,739,0,697,0.9431664411366711,0.9431664411366711,0.1580662108809568,0.016557255195443706,0.7015310788898638,0.916097275367389
2021,5,missing24,level_ge_7m,raw_original,739,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.342960289333011,-0.342960289333011,0.7297652342488102,0.748924075238186
2021,5,missing24,level_ge_7m,raw_plus2020,739,0,11,11,0,11,1.0,1.0,0.19529815963183628,-0.05566463155712966,0.37114475887098825,0.3746147107116977
2021,5,missing24,level_ge_7m,normalized_original,739,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.36052484750258706,-0.36052484750258706,0.7777881290942852,0.7926558611211441
2021,5,missing24,level_ge_7m,normalized_plus2020,739,0,11,11,0,11,1.0,1.0,0.22057945846827104,-0.05865515229233129,0.45852678939633235,0.4684026293070458
2021,6,full_schedule,all,raw_original,738,0,738,738,0,670,0.907859078590786,0.907859078590786,0.2781717689523117,0.18854065698105368,0.6596527584537191,1.0246188908290073
2021,6,full_schedule,all,raw_plus2020,738,0,738,738,0,684,0.926829268292683,0.926829268292683,0.17050491091407957,0.07168369620702254,0.7074631319850455,1.0071693843931842
2021,6,full_schedule,all,normalized_original,738,0,738,738,0,640,0.8672086720867209,0.8672086720867209,0.31938310236176193,0.24247935075162524,0.6955730257320537,1.0267839655011182
2021,6,full_schedule,all,normalized_plus2020,738,0,738,738,0,693,0.9390243902439024,0.9390243902439024,0.1458086037540999,-0.021707724863090996,0.6980668389399224,1.0460179362189206
2021,6,full_schedule,level_ge_7m,raw_original,738,0,11,11,0,8,0.7272727272727273,0.7272727272727273,0.3474363456431569,-0.3456660162360741,0.7424507653193309,0.7555407290239282
2021,6,full_schedule,level_ge_7m,raw_plus2020,738,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.23491198161598945,-0.12736884636109444,0.6119422041810888,0.6274279853034797
2021,6,full_schedule,level_ge_7m,normalized_original,738,0,11,11,0,8,0.7272727272727273,0.7272727272727273,0.3108835937814262,-0.29019519193028637,0.7049249054996127,0.7148948267553221
2021,6,full_schedule,level_ge_7m,normalized_plus2020,738,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.24800198397380058,-0.13980374261038395,0.6053993674115582,0.6210923754392468
2021,6,complete24,all,raw_original,0,0,0,0,0,0,,,,,,
2021,6,complete24,all,raw_plus2020,0,0,0,0,0,0,,,,,,
2021,6,complete24,all,normalized_original,0,0,0,0,0,0,,,,,,
2021,6,complete24,all,normalized_plus2020,0,0,0,0,0,0,,,,,,
2021,6,complete24,level_ge_7m,raw_original,0,0,0,0,0,0,,,,,,
