period,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,1,full_schedule,all,raw_original,6551,34,6517,6479,38,6478,0.9998456551937027,0.9940156513733313,0.022013911700025222,0.004282256256655598,0.11681982649743483,0.5943960587357431
validation,1,full_schedule,all,raw_plus2020,6551,34,6517,6479,38,6478,0.9998456551937027,0.9940156513733313,0.021325470203991347,-0.0017612280623678016,0.10562311323878076,0.5597202429980985
validation,1,full_schedule,all,normalized_original,6551,34,6517,6479,38,6478,0.9998456551937027,0.9940156513733313,0.02201364866188811,0.00428199321851848,0.11681982649743483,0.5943960587357431
validation,1,full_schedule,all,normalized_plus2020,6551,34,6517,6479,38,6478,0.9998456551937027,0.9940156513733313,0.021325309191858408,-0.0017613890745007434,0.10562311323878076,0.5597202429980985
validation,1,full_schedule,level_ge_7m,raw_original,6551,34,28,28,0,28,1.0,1.0,0.0666807029630848,0.020062143129802985,0.21438872115969643,0.25365721478517145
validation,1,full_schedule,level_ge_7m,raw_plus2020,6551,34,28,28,0,28,1.0,1.0,0.06333335504352917,0.007879169068211749,0.19488989712253313,0.24943821848564696
validation,1,full_schedule,level_ge_7m,normalized_original,6551,34,28,28,0,28,1.0,1.0,0.0666807029630848,0.020062143129802985,0.21438872115969643,0.25365721478517145
validation,1,full_schedule,level_ge_7m,normalized_plus2020,6551,34,28,28,0,28,1.0,1.0,0.06333335504352917,0.007879169068211749,0.19488989712253313,0.24943821848564696
validation,1,complete24,all,raw_original,5912,21,5891,5891,0,5890,0.9998302495331862,0.9998302495331862,0.01850954847976383,0.0010709660990267794,0.09500859502592271,0.5943960587357431
validation,1,complete24,all,raw_plus2020,5912,21,5891,5891,0,5891,1.0,1.0,0.01977903450196499,-0.0010824346536127455,0.0955944256509765,0.4359619156036265
