phase,family,horizon_h,original_n,added_n,n,leaf_nodes,loss,latest_training_target,cutoff_exclusive
validation,original,1,4362,0,4362,7,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,1,4362,447,4809,7,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,1,10841,0,10841,7,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,1,10841,447,11288,7,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,2,4360,0,4360,15,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,2,4360,445,4805,15,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,2,10837,0,10837,15,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,2,10837,445,11282,15,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,3,4358,0,4358,15,absolute_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,3,4358,443,4801,15,absolute_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,3,10834,0,10834,15,absolute_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,3,10834,443,11277,15,absolute_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,4,4356,0,4356,15,absolute_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,4,4356,441,4797,15,absolute_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,4,10830,0,10830,15,absolute_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,4,10830,441,11271,15,absolute_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,5,4355,0,4355,15,absolute_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,5,4355,439,4794,15,absolute_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,5,10828,0,10828,15,absolute_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,5,10828,439,11267,15,absolute_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,6,4354,0,4354,15,absolute_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,6,4354,437,4791,15,absolute_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,6,10826,0,10826,15,absolute_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,6,10826,437,11263,15,absolute_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,7,4353,0,4353,15,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,7,4353,435,4788,15,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,7,10824,0,10824,15,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,7,10824,435,11259,15,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,8,4352,0,4352,15,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,8,4352,433,4785,15,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,8,10822,0,10822,15,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,8,10822,433,11255,15,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,9,4351,0,4351,15,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,9,4351,431,4782,15,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,9,10821,0,10821,15,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,9,10821,431,11252,15,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,10,4350,0,4350,7,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,10,4350,429,4779,7,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,10,10818,0,10818,7,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,10,10818,429,11247,7,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,11,4349,0,4349,7,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,11,4349,427,4776,7,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,11,10817,0,10817,7,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,11,10817,427,11244,7,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,12,4348,0,4348,7,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,12,4348,426,4774,7,squared_error,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,12,10814,0,10814,7,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,12,10814,426,11240,7,squared_error,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
