phase,family,horizon_h,predictions,maximum_difference_m
validation,original,1,6511,0.0
validation,plus2020,1,6511,0.0
test,original,1,1944,0.0
test,plus2020,1,1944,0.0
validation,original,2,6510,0.0
validation,plus2020,2,6510,0.0
test,original,2,1943,0.0
test,plus2020,2,1943,0.0
validation,original,3,6509,0.0
validation,plus2020,3,6509,0.0
test,original,3,1942,0.0
test,plus2020,3,1942,0.0
validation,original,4,6508,0.0
validation,plus2020,4,6508,0.0
test,original,4,1941,0.0
test,plus2020,4,1941,0.0
validation,original,5,6507,0.0
validation,plus2020,5,6507,0.0
test,original,5,1940,0.0
test,plus2020,5,1940,0.0
validation,original,6,6506,0.0
validation,plus2020,6,6506,0.0
test,original,6,1939,0.0
test,plus2020,6,1939,0.0
validation,original,7,6505,0.0
validation,plus2020,7,6505,0.0
test,original,7,1938,0.0
test,plus2020,7,1938,0.0
validation,original,8,6504,0.0
validation,plus2020,8,6504,0.0
test,original,8,1937,0.0
test,plus2020,8,1937,0.0
validation,original,9,6503,0.0
validation,plus2020,9,6503,0.0
test,original,9,1936,0.0
test,plus2020,9,1936,0.0
validation,original,10,6502,0.0
validation,plus2020,10,6502,0.0
test,original,10,1935,0.0
test,plus2020,10,1935,0.0
validation,original,11,6501,0.0
validation,plus2020,11,6501,0.0
test,original,11,1934,0.0
test,plus2020,11,1934,0.0
validation,original,12,6500,0.0
validation,plus2020,12,6500,0.0
test,original,12,1933,0.0
test,plus2020,12,1933,0.0
