scope,start,end_inclusive,quarter_hours,with_approved_level,classes
full,2025-04-06T03:45:00-03:00,2025-04-06T04:30:00-03:00,4,0,"{""no_exact_record"": 4}"
full,2025-04-26T09:45:00-03:00,2025-04-26T10:15:00-03:00,3,0,"{""q_empty"": 3}"
full,2025-06-17T18:15:00-03:00,2025-06-17T18:15:00-03:00,1,0,"{""q_qc_rejected"": 1}"
full,2025-09-14T21:45:00-03:00,2025-09-14T22:30:00-03:00,4,0,"{""no_exact_record"": 4}"
full,2025-09-28T19:45:00-03:00,2025-09-28T20:30:00-03:00,4,0,"{""no_exact_record"": 4}"
full,2025-10-15T17:45:00-03:00,2025-10-15T22:00:00-03:00,18,0,"{""q_empty"": 18}"
full,2025-11-02T00:00:00-03:00,2025-11-02T00:45:00-03:00,4,0,"{""no_exact_record"": 4}"
full,2025-11-05T22:45:00-03:00,2025-11-05T23:30:00-03:00,4,0,"{""no_exact_record"": 4}"
full,2025-11-12T20:45:00-03:00,2025-11-12T21:30:00-03:00,4,0,"{""no_exact_record"": 4}"
full,2025-11-13T11:45:00-03:00,2025-11-13T12:15:00-03:00,3,0,"{""q_empty"": 3}"
full,2025-12-09T12:45:00-03:00,2025-12-09T13:30:00-03:00,4,0,"{""q_empty"": 4}"
full,2025-12-31T20:45:00-03:00,2025-12-31T21:30:00-03:00,4,0,"{""no_exact_record"": 4}"
full,2026-01-01T00:00:00-03:00,2026-01-01T06:45:00-03:00,28,0,"{""no_exact_record"": 28}"
full,2026-01-01T07:15:00-03:00,2026-01-01T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-01-01T17:15:00-03:00,2026-01-02T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-01-02T07:15:00-03:00,2026-01-02T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-01-02T17:15:00-03:00,2026-01-03T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-01-03T07:15:00-03:00,2026-01-03T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-01-03T17:15:00-03:00,2026-01-04T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-01-04T07:15:00-03:00,2026-01-04T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-01-04T17:15:00-03:00,2026-01-05T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-01-05T07:15:00-03:00,2026-01-05T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-01-05T17:15:00-03:00,2026-01-06T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-01-06T07:15:00-03:00,2026-01-06T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-01-06T17:15:00-03:00,2026-01-07T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-01-07T07:15:00-03:00,2026-01-07T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-01-07T17:15:00-03:00,2026-01-08T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-01-08T07:15:00-03:00,2026-01-08T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-01-08T17:15:00-03:00,2026-01-09T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-01-09T07:15:00-03:00,2026-01-09T16:45:00-03:00,39,0,"{""no_exact_record"": 38, ""q_empty"": 1}"
full,2026-01-27T19:45:00-03:00,2026-01-27T19:45:00-03:00,1,0,"{""q_qc_rejected"": 1}"
full,2026-01-28T19:30:00-03:00,2026-01-28T19:30:00-03:00,1,0,"{""q_qc_rejected"": 1}"
full,2026-02-06T19:45:00-03:00,2026-02-06T19:45:00-03:00,1,0,"{""q_qc_rejected"": 1}"
full,2026-02-12T20:45:00-03:00,2026-02-12T21:30:00-03:00,4,0,"{""no_exact_record"": 4}"
full,2026-03-08T19:15:00-03:00,2026-03-08T19:15:00-03:00,1,0,"{""q_qc_rejected"": 1}"
full,2026-03-23T16:00:00-03:00,2026-03-23T16:00:00-03:00,1,0,"{""q_qc_rejected"": 1}"
full,2026-03-30T18:30:00-03:00,2026-03-30T18:30:00-03:00,1,0,"{""q_qc_rejected"": 1}"
full,2026-04-08T19:15:00-03:00,2026-04-08T19:15:00-03:00,1,0,"{""q_qc_rejected"": 1}"
full,2026-04-09T18:45:00-03:00,2026-04-09T18:45:00-03:00,1,0,"{""q_qc_rejected"": 1}"
full,2026-05-05T08:45:00-03:00,2026-05-05T09:00:00-03:00,2,0,"{""q_empty"": 2}"
full,2026-05-22T12:30:00-03:00,2026-05-22T12:30:00-03:00,1,0,"{""q_qc_rejected"": 1}"
full,2026-06-28T05:45:00-03:00,2026-06-28T06:45:00-03:00,5,0,"{""no_exact_record"": 5}"
full,2026-06-28T07:15:00-03:00,2026-06-28T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-06-28T17:15:00-03:00,2026-06-29T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-06-29T07:15:00-03:00,2026-06-29T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-06-29T17:15:00-03:00,2026-06-30T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-06-30T07:15:00-03:00,2026-06-30T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-06-30T17:15:00-03:00,2026-07-01T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-07-01T07:15:00-03:00,2026-07-01T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-07-01T17:15:00-03:00,2026-07-02T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-07-02T07:15:00-03:00,2026-07-02T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-07-02T17:15:00-03:00,2026-07-03T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-07-03T07:15:00-03:00,2026-07-03T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-07-03T17:15:00-03:00,2026-07-04T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-07-04T07:15:00-03:00,2026-07-04T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-07-04T17:15:00-03:00,2026-07-05T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-07-05T07:15:00-03:00,2026-07-05T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-07-05T17:15:00-03:00,2026-07-06T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-07-06T07:15:00-03:00,2026-07-06T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-07-06T17:15:00-03:00,2026-07-07T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
full,2026-07-07T07:15:00-03:00,2026-07-07T16:45:00-03:00,39,0,"{""no_exact_record"": 39}"
full,2026-07-07T17:15:00-03:00,2026-07-08T06:45:00-03:00,55,0,"{""no_exact_record"": 55}"
