at,epoch,scope,classification,level_approved_m,raw_level_cm,raw_level_qc,raw_flow,raw_flow_qc,source_path,record_start_line,approved_q_in_other_preserved_xml
2025-11-12T21:30:00-03:00,1762993800.0,other,no_exact_record,,,,,,,,0
2025-11-13T11:45:00-03:00,1763045100.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,83771,0
2025-11-13T12:00:00-03:00,1763046000.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,83753,0
2025-11-13T12:15:00-03:00,1763046900.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,83735,0
2025-12-09T12:45:00-03:00,1765295100.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,38771,0
2025-12-09T13:00:00-03:00,1765296000.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,38753,0
2025-12-09T13:15:00-03:00,1765296900.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,38735,0
2025-12-09T13:30:00-03:00,1765297800.0,other,q_empty,,,,,,outputs/mucum-propagacao-2026-09-21/raw/ana-86500000-2025.xml,38717,0
2025-12-31T20:45:00-03:00,1767224700.0,other,no_exact_record,,,,,,,,0
2025-12-31T21:00:00-03:00,1767225600.0,other,no_exact_record,,,,,,,,0
2025-12-31T21:15:00-03:00,1767226500.0,other,no_exact_record,,,,,,,,0
2025-12-31T21:30:00-03:00,1767227400.0,other,no_exact_record,,,,,,,,0
2026-01-01T00:00:00-03:00,1767236400.0,other,no_exact_record,,,,,,,,0
2026-01-01T00:15:00-03:00,1767237300.0,other,no_exact_record,,,,,,,,0
2026-01-01T00:30:00-03:00,1767238200.0,other,no_exact_record,,,,,,,,0
2026-01-01T00:45:00-03:00,1767239100.0,other,no_exact_record,,,,,,,,0
2026-01-01T01:00:00-03:00,1767240000.0,other,no_exact_record,,,,,,,,0
2026-01-01T01:15:00-03:00,1767240900.0,other,no_exact_record,,,,,,,,0
2026-01-01T01:30:00-03:00,1767241800.0,other,no_exact_record,,,,,,,,0
2026-01-01T01:45:00-03:00,1767242700.0,other,no_exact_record,,,,,,,,0
2026-01-01T02:00:00-03:00,1767243600.0,other,no_exact_record,,,,,,,,0
2026-01-01T02:15:00-03:00,1767244500.0,other,no_exact_record,,,,,,,,0
2026-01-01T02:30:00-03:00,1767245400.0,other,no_exact_record,,,,,,,,0
2026-01-01T02:45:00-03:00,1767246300.0,other,no_exact_record,,,,,,,,0
2026-01-01T03:00:00-03:00,1767247200.0,other,no_exact_record,,,,,,,,0
2026-01-01T03:15:00-03:00,1767248100.0,other,no_exact_record,,,,,,,,0
2026-01-01T03:30:00-03:00,1767249000.0,other,no_exact_record,,,,,,,,0
2026-01-01T03:45:00-03:00,1767249900.0,other,no_exact_record,,,,,,,,0
2026-01-01T04:00:00-03:00,1767250800.0,other,no_exact_record,,,,,,,,0
2026-01-01T04:15:00-03:00,1767251700.0,other,no_exact_record,,,,,,,,0
2026-01-01T04:30:00-03:00,1767252600.0,other,no_exact_record,,,,,,,,0
2026-01-01T04:45:00-03:00,1767253500.0,other,no_exact_record,,,,,,,,0
2026-01-01T05:00:00-03:00,1767254400.0,other,no_exact_record,,,,,,,,0
2026-01-01T05:15:00-03:00,1767255300.0,other,no_exact_record,,,,,,,,0
2026-01-01T05:30:00-03:00,1767256200.0,other,no_exact_record,,,,,,,,0
2026-01-01T05:45:00-03:00,1767257100.0,other,no_exact_record,,,,,,,,0
2026-01-01T06:00:00-03:00,1767258000.0,other,no_exact_record,,,,,,,,0
2026-01-01T06:15:00-03:00,1767258900.0,other,no_exact_record,,,,,,,,0
2026-01-01T06:30:00-03:00,1767259800.0,other,no_exact_record,,,,,,,,0
