source_at,affected_target_pairs,affected_origins,reasons,classification,level_approved_m,source_path,record_start_line
2026-07-03T04:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T04:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T05:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T05:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T06:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T06:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T07:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T08:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T08:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T09:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T09:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T10:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T10:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T11:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T11:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T12:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T12:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T13:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T13:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T14:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T14:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T15:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T15:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T16:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T16:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T17:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T18:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T18:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T19:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T19:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T20:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T20:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T21:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T21:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T22:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T22:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-03T23:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-03T23:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T00:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T00:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T01:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T01:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T02:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T02:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T03:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T03:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T04:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T04:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T05:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T05:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T06:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T06:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T07:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T08:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T08:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T09:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T09:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T10:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T10:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T11:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T11:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T12:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T12:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T13:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T13:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T14:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T14:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T15:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T15:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T16:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T16:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T17:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
2026-07-04T18:00:00-03:00,269,25,anchor_history_missing|forecast_history_missing,no_exact_record,,,
2026-07-04T18:30:00-03:00,9,1,known_base_missing,no_exact_record,,,
