tau_hours,family,horizon_h,group_kind,group,subset,scheduled_rows,observed_n,paired_n,failures,hits,hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
6,reference,2,trend,falling,level_ge_7m,110,110,109,1,85,0.7798165137614679,0.29331035275036516,0.25822042924185235,0.8130149077421638,0.9829043686341254
6,reference,2,trend,rising,all,457,456,456,0,386,0.8464912280701754,0.26134281217219224,-0.13921882990904524,0.9352895791726679,2.1591250166535616
6,reference,2,trend,rising,level_ge_7m,92,92,92,0,64,0.6956521739130435,0.44450837675660465,-0.02243567236135362,1.9956580202536278,2.1591250166535616
6,reference,2,trend,stable,all,627,627,627,0,590,0.9409888357256778,0.15556927956846317,-0.050405221608345645,0.7609016714893976,1.0150174275443038
6,reference,2,trend,stable,level_ge_7m,33,33,33,0,28,0.8484848484848485,0.22793766158885248,0.19578407486362037,0.8259178334244786,0.8296148626493931
6,reference,2,trend,unknown,all,32,16,9,7,7,0.7777777777777778,0.3854432812421997,0.15902300158979396,0.7250809733441353,0.7536139643320681
6,reference,2,trend,unknown,level_ge_7m,2,2,1,1,0,0.0,0.7536139643320681,0.7536139643320681,0.7536139643320681,0.7536139643320681
6,reference,3,event,594b4ac32b57fab12c848086,level_ge_7m,35,35,35,0,34,0.9714285714285714,0.153531007619832,-0.03115181011973327,0.3887654479653386,0.517125566077139
6,reference,3,event,a801ac814e2dfee4fc14bea5,level_ge_7m,135,135,133,2,64,0.48120300751879697,0.6314155338581657,0.26470473036479164,2.0982238976294263,2.8988829116145745
6,reference,3,event,f803fdacd0779dfe9e87b834,level_ge_7m,49,49,49,0,36,0.7346938775510204,0.33901145219942497,0.2311752495302429,0.6772633469838925,0.7492847927265354
6,reference,3,event,dcbe85f6ad3172a997c77a58,level_ge_7m,18,18,18,0,17,0.9444444444444444,0.23381618403976093,-0.13742180941470364,0.5429752044254395,0.5785445139741281
6,reference,3,event,unassigned,level_ge_7m,0,0,0,0,0,,,,,
6,reference,3,trend,falling,all,850,843,842,1,709,0.8420427553444181,0.2623419296684908,0.10613003759876,0.9647872693766909,1.149596227496386
6,reference,3,trend,falling,level_ge_7m,106,106,105,1,72,0.6857142857142857,0.38695748405499253,0.3472568810020966,1.0128630650699244,1.1070954869333303
6,reference,3,trend,rising,all,456,455,455,0,365,0.8021978021978022,0.3094446192986671,-0.13864015487777662,1.2988916613970425,2.8988829116145745
6,reference,3,trend,rising,level_ge_7m,96,96,96,0,54,0.5625,0.605960816277392,-0.025610406175102563,2.268954876097779,2.8988829116145745
6,reference,3,trend,stable,all,627,626,626,0,569,0.9089456869009584,0.19665798857077582,-0.04909215827844427,0.9466704977912626,1.1630808127593109
6,reference,3,trend,stable,level_ge_7m,33,33,33,0,25,0.7575757575757576,0.325142693561376,0.25231564439530685,1.1076021743942577,1.112408027232071
6,reference,3,trend,unknown,all,32,18,9,9,6,0.6666666666666666,0.4117653979705654,0.15128435921674155,0.747847940943244,0.7684626602870213
6,reference,3,trend,unknown,level_ge_7m,2,2,1,1,0,0.0,0.6396206643884135,0.6396206643884135,0.6396206643884135,0.6396206643884135
6,reference,4,event,594b4ac32b57fab12c848086,level_ge_7m,35,35,35,0,35,1.0,0.18270548757284208,-0.04882648685913539,0.4760567172212784,0.47753287760211194
6,reference,4,event,a801ac814e2dfee4fc14bea5,level_ge_7m,135,135,133,2,58,0.43609022556390975,0.7879458109906621,0.30275308864538897,2.7476187057577026,3.329018638853949
