tau_hours,family,horizon_h,represented_clusters,equal_cluster_mae_m,equal_cluster_hit_fraction
6,reference,1,4,0.1561144173648338,0.9680451127819549
6,reference,2,4,0.25170382176906353,0.8845327604726101
6,reference,3,4,0.3394435444292959,0.7829424752357084
6,reference,4,4,0.4134045916597576,0.7087957990213629
6,reference,5,4,0.4765954951654881,0.7044247523570832
6,reference,6,4,0.536977604864506,0.6598699128774317
6,reference,7,4,0.5902737078344197,0.593671679197995
6,reference,8,4,0.6402054712539138,0.5686448263515933
6,reference,9,4,0.7105162637618819,0.5220491705454111
6,reference,10,4,0.7922630947011046,0.49175915980427254
6,reference,11,4,0.8870150871611391,0.4632086167800453
6,reference,12,4,0.9997612161511836,0.36912519393722404
6,julho_levels,1,4,0.15654700776180597,0.9642857142857143
6,julho_levels,2,4,0.2503810225744175,0.8484306003102995
6,julho_levels,3,4,0.33527998187351327,0.8001282969328083
6,julho_levels,4,4,0.40697352131904263,0.7227592791502565
6,julho_levels,5,4,0.4665994601138217,0.7151658909177705
6,julho_levels,6,4,0.5206676355360536,0.6546276405298962
6,julho_levels,7,4,0.5630830062581113,0.651438119107292
6,julho_levels,8,4,0.609901970276126,0.5769692087361261
6,julho_levels,9,4,0.6758697480575887,0.5625432629192028
6,julho_levels,10,4,0.7420667902481766,0.5550244659267216
6,julho_levels,11,4,0.8185701884252055,0.5309314954051796
6,julho_levels,12,4,0.9032329380605243,0.44517245494689106
2,reference,1,4,0.29040088417001275,0.8292158968850698
2,reference,2,4,0.42779259482873616,0.7002774794128178
2,reference,3,4,0.5130712116344892,0.6437253848907984
2,reference,4,4,0.5740200068764356,0.6033267693042129
2,reference,5,4,0.6206160959807547,0.5699755340732784
2,reference,6,4,0.6620538087206175,0.5674633011099177
2,reference,7,4,0.699636138406387,0.5176453037355293
2,reference,8,4,0.7358374827519257,0.5050244659267216
2,reference,9,4,0.7828078408741604,0.4958407924573338
2,reference,10,4,0.8509900941051802,0.4414578111946533
2,reference,11,4,0.9311069419308444,0.4147123761785416
2,reference,12,4,1.034830344760831,0.3620688626327724
2,julho_levels,1,4,0.29035370989388404,0.8259935553168636
2,julho_levels,2,4,0.4257042444348889,0.7040368779090583
2,julho_levels,3,4,0.5106112041568343,0.6381608783864423
2,julho_levels,4,4,0.568935437905551,0.6103085093686598
2,julho_levels,5,4,0.6124252749856298,0.5965061463181764
2,julho_levels,6,4,0.6482107158464937,0.5907715717866093
2,julho_levels,7,4,0.6732168406094846,0.5378923499224251
2,julho_levels,8,4,0.6985113838240199,0.5369584675975654
2,julho_levels,9,4,0.7475346453947724,0.5186120062059911
2,julho_levels,10,4,0.79964063201161,0.48495942236543743
2,julho_levels,11,4,0.8603967963597289,0.5027688268289772
2,julho_levels,12,4,0.9368374769652948,0.42248776703663926
12,reference,1,4,0.12897784348399777,0.9793233082706767
12,reference,2,4,0.21147583768651093,0.9385069817400644
12,reference,3,4,0.2842915603904994,0.8515783506385011
12,reference,4,4,0.3498820425687297,0.8222341568206231
12,reference,5,4,0.40501310733049944,0.7697517603532641
12,reference,6,4,0.4616236916727521,0.7222968134622271
12,reference,7,4,0.5139609956472407,0.6497284878863826
12,reference,8,4,0.5652164250714342,0.5959153836973387
12,reference,9,4,0.6441457397861214,0.5777956796753789
12,reference,10,4,0.7282835969386849,0.5628983172216255
12,reference,11,4,0.8297747499749352,0.4783208020050125
12,reference,12,4,0.947000447491103,0.415171858216971
12,julho_levels,1,4,0.1291620557360366,0.9793233082706767
12,julho_levels,2,4,0.21008247490991533,0.942266380236305
12,julho_levels,3,4,0.2789237198308365,0.8609768468791026
12,julho_levels,4,4,0.3408987604913835,0.8394199785177229
12,julho_levels,5,4,0.3939691799724559,0.7887426900584795
12,julho_levels,6,4,0.4450494201734723,0.7222222222222222
12,julho_levels,7,4,0.48591167127097323,0.679406850459482
12,julho_levels,8,4,0.533082894521399,0.6263665115168875
12,julho_levels,9,4,0.5997856657936095,0.6180540637307556
12,julho_levels,10,4,0.6752133227917798,0.61281179138322
12,julho_levels,11,4,0.7597116844367509,0.5459780403389427
12,julho_levels,12,4,0.8523608366144868,0.4741078887695429
