estacao,nome,latitude,longitude,inicio,fim,chuva_periodo_mm,qualidade,fonte
16912,CEMADEN - Flores da Cunha - G2-430820102A (744 m),-29.06492,-51.2902,2026-09-21T00:10:00-03:00,2026-09-21T12:00:00-03:00,122.8,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/16912.txt
16913,CEMADEN - Flores da Cunha - G2-430820103A (717 m),-29.0257,-51.1485,2026-09-21T00:10:00-03:00,2026-09-21T12:10:00-03:00,149.4,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/16913.txt
16917,CEMADEN - Bento Gonçalves - G2-Caminhos de Pedra - São pedro (513 m),-29.17598,-51.43224,2026-09-21T00:10:00-03:00,2026-09-21T12:20:00-03:00,134.8,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/16917.txt
16920,CEMADEN - Flores da Cunha - G2-430820101A (721 m),-28.99748,-51.21766,2026-09-21T00:00:00-03:00,2026-09-21T12:30:00-03:00,103.0,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/16920.txt
16921,CEMADEN - Antônio Prado - G2-430080202A (683 m),-28.8493,-51.2744,2026-09-21T00:10:00-03:00,2026-09-21T12:20:00-03:00,,inconsistente; excluida do resumo,https://sigmameteorologia.com/produtos/stations/2026-09-21/16921.txt
16922,CEMADEN - Antônio Prado - G2-430080203A (685 m),-28.86879,-51.24667,2026-09-21T00:10:00-03:00,2026-09-21T12:10:00-03:00,0.2,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/16922.txt
16926,CEMADEN - Bento Gonçalves - G2-Vale dos Vinhedos (539 m),-29.17524,-51.56168,2026-09-21T00:10:00-03:00,2026-09-21T12:10:00-03:00,,inconsistente; excluida do resumo,https://sigmameteorologia.com/produtos/stations/2026-09-21/16926.txt
16927,CEMADEN - Santa Tereza - G2-431725101A (244 m),-29.16629,-51.68494,2026-09-21T00:10:00-03:00,2026-09-21T12:20:00-03:00,162.8,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/16927.txt
16929,CEMADEN - Antônio Prado - G2-430080201A (688 m),-28.88297,-51.41755,2026-09-21T00:10:00-03:00,2026-09-21T12:10:00-03:00,,inconsistente; excluida do resumo,https://sigmameteorologia.com/produtos/stations/2026-09-21/16929.txt
16930,CEMADEN - Veranópolis - G2-432280602A (664 m),-28.9594,-51.48939,2026-09-21T00:10:00-03:00,2026-09-21T12:00:00-03:00,95.8,consistencia interna verificada; nao homologada,https://sigmameteorologia.com/produtos/stations/2026-09-21/16930.txt
