estacao,horario,nivel_regua_propria_m,variacao_ultima_hora_m
Santa Tereza,2026-09-21T11:45:00-03:00,6.33,0.42
Linha José Júlio,2026-09-21T11:30:00-03:00,6.92,0.02
Linha Colombo / Guaporé,2026-09-21T11:45:00-03:00,2.3,0.4
Passo Carreiro,2026-09-21T11:30:00-03:00,3.341,0.58
