station,field,records,nominal_15min_slots,numeric,approved,current_parser_compatible,numeric_without_qc,negative,first_approved,last_approved,qc_counts
86410800,VazaoFinal,806,3264,806,806,806,0,0,2024-03-29 00:00:00,2024-05-01 13:00:00,"{""Dado aprovado"": 806}"
86410800,ChuvaFinal,806,3264,806,806,806,0,0,2024-03-29 00:00:00,2024-05-01 13:00:00,"{""Dado aprovado"": 806}"
86410800,ChuvaAcumAdotada,806,3264,0,0,0,0,0,,,"{""MISSING_QC"": 806}"
86447000,NivelFinal,800,3264,800,800,800,0,0,2024-03-29 00:00:00,2024-05-01 12:00:00,"{""Dado aprovado"": 800}"
86447000,VazaoFinal,800,3264,705,705,705,0,0,2024-03-29 00:00:00,2024-05-01 12:00:00,"{""Dado aprovado"": 705, ""MISSING_QC"": 95}"
86447000,ChuvaFinal,800,3264,800,800,800,0,0,2024-03-29 00:00:00,2024-05-01 12:00:00,"{""Dado aprovado"": 800}"
86447000,ChuvaAcumAdotada,800,3264,0,0,0,0,0,,,"{""MISSING_QC"": 800}"
86448000,NivelFinal,802,3264,802,802,802,0,0,2024-03-29 00:00:00,2024-05-01 09:00:00,"{""Dado aprovado"": 802}"
86448000,VazaoFinal,802,3264,802,802,802,0,0,2024-03-29 00:00:00,2024-05-01 09:00:00,"{""Dado aprovado"": 802}"
86448000,ChuvaFinal,802,3264,802,802,802,0,0,2024-03-29 00:00:00,2024-05-01 09:00:00,"{""Dado aprovado"": 802}"
86448000,ChuvaAcumAdotada,802,3264,0,0,0,0,0,,,"{""MISSING_QC"": 802}"
86450000,NivelFinal,795,3264,795,795,795,0,0,2024-03-29 00:00:00,2024-05-01 12:00:00,"{""Dado aprovado"": 795}"
86450000,VazaoFinal,795,3264,371,371,371,0,0,2024-04-01 13:00:00,2024-05-01 12:00:00,"{""MISSING_QC"": 424, ""Dado aprovado"": 371}"
86450000,ChuvaFinal,795,3264,795,795,795,0,0,2024-03-29 00:00:00,2024-05-01 12:00:00,"{""Dado aprovado"": 795}"
86450000,ChuvaAcumAdotada,795,3264,0,0,0,0,0,,,"{""MISSING_QC"": 795}"
86471000,NivelFinal,720,3264,720,720,720,0,0,2024-03-29 00:00:00,2024-05-01 23:00:00,"{""Dado aprovado"": 720}"
86471000,VazaoFinal,720,3264,625,625,625,0,0,2024-03-29 00:00:00,2024-05-01 23:00:00,"{""Dado aprovado"": 625, ""MISSING_QC"": 95}"
86471000,ChuvaFinal,720,3264,720,720,720,0,0,2024-03-29 00:00:00,2024-05-01 23:00:00,"{""Dado aprovado"": 720}"
86471000,ChuvaAcumAdotada,720,3264,0,0,0,0,0,,,"{""MISSING_QC"": 720}"
86472000,NivelFinal,3264,3264,3180,3175,3175,0,0,2024-03-29 00:00:00,2024-05-01 23:45:00,"{""Dado aprovado"": 3175, ""Dado suspeito"": 5, ""MISSING_QC"": 84}"
86472000,VazaoFinal,3264,3264,3180,3175,3175,0,0,2024-03-29 00:00:00,2024-05-01 23:45:00,"{""Dado aprovado"": 3175, ""Dado suspeito"": 5, ""MISSING_QC"": 84}"
86472000,ChuvaFinal,3264,3264,3264,3264,3264,0,0,2024-03-29 00:00:00,2024-05-01 23:45:00,"{""Dado aprovado"": 3264}"
86472000,ChuvaAcumAdotada,3264,3264,3264,3264,3264,0,0,2024-03-29 00:00:00,2024-05-01 23:45:00,"{""Dado aprovado"": 3264}"
86472600,NivelFinal,3260,3264,3234,3232,3232,0,0,2024-03-29 00:00:00,2024-05-01 23:45:00,"{""Dado aprovado"": 3232, ""MISSING_QC"": 26, ""Dado suspeito"": 2}"
86472600,VazaoFinal,3260,3264,0,0,0,0,0,,,"{""MISSING_QC"": 3260}"
86472600,ChuvaFinal,3260,3264,3254,3254,3254,0,0,2024-03-29 00:00:00,2024-05-01 23:45:00,"{""Dado aprovado"": 3254, ""MISSING_QC"": 6}"
86472600,ChuvaAcumAdotada,3260,3264,3254,3254,3254,0,0,2024-03-29 00:00:00,2024-05-01 23:45:00,"{""Dado aprovado"": 3254, ""MISSING_QC"": 6}"
86479000,NivelFinal,658,3264,658,658,658,0,0,2024-03-29 00:00:00,2024-04-29 17:00:00,"{""Dado aprovado"": 658}"
86479000,VazaoFinal,658,3264,648,648,648,0,0,2024-03-29 00:00:00,2024-04-29 17:00:00,"{""Dado aprovado"": 648, ""MISSING_QC"": 10}"
86479000,ChuvaFinal,658,3264,658,658,658,0,0,2024-03-29 00:00:00,2024-04-29 17:00:00,"{""Dado aprovado"": 658}"
86479000,ChuvaAcumAdotada,658,3264,0,0,0,0,0,,,"{""MISSING_QC"": 658}"
86488000,NivelFinal,815,3264,815,815,815,0,0,2024-03-29 00:00:00,2024-05-01 23:00:00,"{""Dado aprovado"": 815}"
86488000,VazaoFinal,815,3264,808,808,808,0,0,2024-03-29 00:00:00,2024-05-01 23:00:00,"{""Dado aprovado"": 808, ""MISSING_QC"": 7}"
86488000,ChuvaFinal,815,3264,815,815,815,0,0,2024-03-29 00:00:00,2024-05-01 23:00:00,"{""Dado aprovado"": 815}"
86488000,ChuvaAcumAdotada,815,3264,0,0,0,0,0,,,"{""MISSING_QC"": 815}"
86493000,NivelFinal,0,3264,0,0,0,0,0,,,{}
86493000,VazaoFinal,0,3264,0,0,0,0,0,,,{}
86493000,ChuvaFinal,0,3264,0,0,0,0,0,,,{}
86493000,ChuvaAcumAdotada,0,3264,0,0,0,0,0,,,{}
86495500,NivelFinal,785,3264,785,785,785,0,0,2024-03-29 00:00:00,2024-05-01 23:00:00,"{""Dado aprovado"": 785}"
86495500,VazaoFinal,785,3264,0,0,0,0,0,,,"{""MISSING_QC"": 785}"
86495500,ChuvaFinal,785,3264,0,0,0,0,0,,,"{""Dado aprovado"": 785}"
86495500,ChuvaAcumAdotada,785,3264,0,0,0,0,0,,,"{""MISSING_QC"": 785}"
86500000,NivelFinal,0,3264,0,0,0,0,0,,,{}
86500000,VazaoFinal,0,3264,0,0,0,0,0,,,{}
86500000,ChuvaFinal,0,3264,0,0,0,0,0,,,{}
86500000,ChuvaAcumAdotada,0,3264,0,0,0,0,0,,,{}
86504900,NivelFinal,0,3264,0,0,0,0,0,,,{}
86504900,VazaoFinal,0,3264,0,0,0,0,0,,,{}
