tau_hours,origin,target_time,recomputed_m,saved_m,abs_difference_m
6,2026-07-22T09:00:00-03:00,2026-07-22T21:00:00-03:00,8.751684352869809,8.751684352869807,1.7763568394002505e-15
6,2026-07-22T11:00:00-03:00,2026-07-22T12:00:00-03:00,19.160696413184535,19.160696413184535,0.0
6,2026-07-22T11:00:00-03:00,2026-07-22T13:00:00-03:00,19.772014480524728,19.772014480524728,0.0
6,2026-07-22T11:00:00-03:00,2026-07-22T14:00:00-03:00,20.41780597221653,20.41780597221653,0.0
6,2026-07-22T11:00:00-03:00,2026-07-22T15:00:00-03:00,21.242218295587662,21.242218295587662,0.0
6,2026-07-22T11:00:00-03:00,2026-07-22T16:00:00-03:00,21.943917919827715,21.943917919827715,0.0
6,2026-07-22T11:00:00-03:00,2026-07-22T17:00:00-03:00,22.60660652670227,22.60660652670227,0.0
6,2026-07-22T11:00:00-03:00,2026-07-22T18:00:00-03:00,23.045091188035887,23.045091188035887,0.0
6,2026-07-22T11:00:00-03:00,2026-07-22T19:00:00-03:00,23.720344913970436,23.720344913970436,0.0
6,2026-07-22T11:00:00-03:00,2026-07-22T20:00:00-03:00,24.39667360276884,24.396673602768846,7.105427357601002e-15
6,2026-07-22T11:00:00-03:00,2026-07-22T21:00:00-03:00,24.91500759200787,24.91500759200787,0.0
6,2026-07-22T11:00:00-03:00,2026-07-22T22:00:00-03:00,25.212477938219866,25.212477938219866,0.0
6,2026-07-22T11:00:00-03:00,2026-07-22T23:00:00-03:00,25.49415895814758,25.49415895814758,0.0
6,2026-08-13T09:00:00-03:00,2026-08-13T10:00:00-03:00,8.784942320149979,8.784942320149979,0.0
6,2026-08-13T09:00:00-03:00,2026-08-13T11:00:00-03:00,8.99206319561982,8.99206319561982,0.0
6,2026-08-13T09:00:00-03:00,2026-08-13T12:00:00-03:00,9.170371340349437,9.170371340349437,0.0
6,2026-08-13T09:00:00-03:00,2026-08-13T13:00:00-03:00,9.333462701049843,9.333462701049843,0.0
6,2026-08-13T09:00:00-03:00,2026-08-13T14:00:00-03:00,9.459925585037022,9.459925585037022,0.0
6,2026-08-13T09:00:00-03:00,2026-08-13T15:00:00-03:00,9.539445347007076,9.539445347007076,0.0
6,2026-08-13T09:00:00-03:00,2026-08-13T16:00:00-03:00,9.59583564978569,9.59583564978569,0.0
6,2026-08-13T09:00:00-03:00,2026-08-13T17:00:00-03:00,9.618648907294737,9.618648907294737,0.0
6,2026-08-13T09:00:00-03:00,2026-08-13T18:00:00-03:00,9.61709749690493,9.61709749690493,0.0
6,2026-08-13T09:00:00-03:00,2026-08-13T19:00:00-03:00,9.624351456528412,9.624351456528412,0.0
6,2026-08-13T09:00:00-03:00,2026-08-13T20:00:00-03:00,9.663025512177912,9.663025512177912,0.0
6,2026-08-13T09:00:00-03:00,2026-08-13T21:00:00-03:00,9.728695686048907,9.728695686048908,1.7763568394002505e-15
2,2026-07-01T00:00:00-03:00,2026-07-01T01:00:00-03:00,4.3164818754606715,4.316481875460671,8.881784197001252e-16
2,2026-07-01T00:00:00-03:00,2026-07-01T02:00:00-03:00,4.1703104964201785,4.170310496420178,8.881784197001252e-16
