source,last_time,delay_minutes,value
86060010,2026-09-21T08:00:00-03:00,1080.0,13.8
86099000,2026-09-22T01:00:00-03:00,60.0,4.25
86102000,2026-09-21T10:00:00-03:00,960.0,7.51
86117000,2026-09-22T01:00:00-03:00,60.0,2.03
86125000,2026-09-21T11:59:00-03:00,841.0,0.8412999999999999
86125050,2026-09-22T01:00:00-03:00,60.0,1.49
86160000,2026-09-22T00:45:00-03:00,75.0,4.31
86163000,2026-09-22T01:00:00-03:00,60.0,1.28
86200900,2026-09-21T12:00:00-03:00,840.0,667.03
86280500,2026-09-22T01:00:00-03:00,60.0,4.5563
86298000,2026-09-21T19:00:00-03:00,420.0,12.71
86403000,2026-09-22T01:00:00-03:00,60.0,8.17
86410800,2026-09-22T01:00:00-03:00,60.0,0.09
86447000,2026-09-22T01:00:00-03:00,60.0,4.74
86448000,2026-09-21T19:00:00-03:00,420.0,153.55
86450000,2026-09-21T23:15:00-03:00,165.0,20.67
86471000,2026-09-22T01:30:00-03:00,30.0,4.35
86472000,2026-09-22T01:30:00-03:00,30.0,20.11
86472600,2026-09-22T00:45:00-03:00,75.0,16.96
86479000,2026-09-22T01:00:00-03:00,60.0,0.26
86488000,2026-09-22T01:00:00-03:00,60.0,1.99
86493000,2026-09-22T01:00:00-03:00,60.0,371.71
86495500,2026-09-22T01:00:00-03:00,60.0,330.27
86500000,2026-09-22T01:30:00-03:00,30.0,4.045
86504900,2026-09-22T01:00:00-03:00,60.0,5.59
86505500,2026-09-22T01:00:00-03:00,60.0,1.15
86510000,2026-09-22T01:30:00-03:00,30.0,18.33
julho,2026-09-22T01:00:00-03:00,60.0,11242.04
monte,2026-09-22T01:00:00-03:00,60.0,10322.57
castro,2026-09-22T01:00:00-03:00,60.0,6764.45
