phase,horizon_h,subset,population,scheduled_rows,observed_targets,n,failures,control_hits,candidate_hits,change_hits,control_mae_m,candidate_mae_m,change_mae_m,control_bias_m,candidate_bias_m,change_bias_m,control_p98_abs_m,candidate_p98_abs_m,change_p98_abs_m,control_max_abs_m,candidate_max_abs_m,change_max_abs_m
validation,1,all,full_schedule,6551,6517,6479,38,6478.0,6479.0,1.0,0.022013911700025222,0.020426965791801102,-0.0015869459082241202,0.004282256256655598,0.0014064381469469742,-0.0028758181097086237,0.11681982649743483,0.10436809641690421,-0.012451730080530618,0.5943960587357431,0.43229341635690366,-0.16210264237883942
validation,1,all,complete24,5912,5891,5891,0,5890.0,5891.0,1.0,0.01850954847976383,0.019415024958465168,0.0009054764787013378,0.0010709660990267794,0.0013782267284999374,0.000307260629473158,0.09500859502592271,0.09966976575243834,0.004661170726515632,0.5943960587357431,0.4060614417688928,-0.18833461696685028
validation,1,all,missing24,639,626,588,38,588.0,588.0,0.0,0.057123101717984216,0.030565304991090197,-0.02655779672689402,0.036455232988953847,0.0016890800960481535,-0.034766152892905695,0.18038087655427343,0.19774913854454068,0.017368261990267253,0.40240299407220514,0.43229341635690366,0.029890422284698515
validation,1,level_ge_7m,full_schedule,6551,28,28,0,28.0,28.0,0.0,0.0666807029630848,0.06622220494337094,-0.0004584980197138572,0.020062143129802985,0.020854267352134328,0.0007921242223313425,0.21438872115969643,0.21828552378241034,0.003896802622713913,0.25365721478517145,0.2656572630837264,0.012000048298554944
validation,1,level_ge_7m,complete24,5912,28,28,0,28.0,28.0,0.0,0.0666807029630848,0.06622220494337094,-0.0004584980197138572,0.020062143129802985,0.020854267352134328,0.0007921242223313425,0.21438872115969643,0.21828552378241034,0.003896802622713913,0.25365721478517145,0.2656572630837264,0.012000048298554944
validation,1,level_ge_7m,missing24,639,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,
validation,2,all,full_schedule,6550,6516,6477,39,6466.0,6467.0,1.0,0.03193842446827068,0.03532531979585151,0.0033868953275808314,0.003102399367981166,0.006165097686830071,0.0030626983188489047,0.16324216087463073,0.2522382035437931,0.08899604266916239,1.3024086910998092,0.8957550216598307,-0.4066536694399785
validation,2,all,complete24,5912,5885,5885,0,5878.0,5879.0,1.0,0.0297706209205942,0.03345282235029562,0.00368220142970142,0.002997507842193795,0.006438116276021572,0.0034406084338277766,0.14641257146592979,0.24760071644691473,0.10118814498098494,1.3024086910998092,0.8957550216598307,-0.4066536694399785
validation,2,all,missing24,638,631,592,39,588.0,588.0,0.0,0.05348829588393969,0.05393958916594676,0.0004512932820070689,0.004145113268755961,0.00345105309664089,-0.0006940601721150707,0.3307599152699826,0.37481061301330215,0.044050697743319545,0.6502628363690341,0.7106290660723489,0.06036622970331473
validation,2,level_ge_7m,full_schedule,6550,28,28,0,28.0,27.0,-1.0,0.11897886238198042,0.15047848209722506,0.031499619715244634,0.02382246183854456,0.05072112853968447,0.026898666701139908,0.3544459802504053,0.4950558733008689,0.14060989305046362,0.36191043129735867,0.5059284225585534,0.14401799126119474
validation,2,level_ge_7m,complete24,5912,28,28,0,28.0,27.0,-1.0,0.11897886238198042,0.15047848209722506,0.031499619715244634,0.02382246183854456,0.05072112853968447,0.026898666701139908,0.3544459802504053,0.4950558733008689,0.14060989305046362,0.36191043129735867,0.5059284225585534,0.14401799126119474
validation,2,level_ge_7m,missing24,638,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,
validation,3,all,full_schedule,6549,6515,6476,39,6444.0,6434.0,-10.0,0.04525957105840351,0.05098763219913742,0.00572806114073391,0.007695788363354644,0.013257157371340702,0.005561369007986057,0.2640266271323174,0.4445328653197099,0.18050623818739253,1.537354044244438,1.6844759604476813,0.14712191620324333
validation,3,all,complete24,5912,5886,5886,0,5861.0,5855.0,-6.0,0.03993262475489892,0.0480485005080198,0.00811587575312088,0.004508093784665101,0.013743703257970844,0.009235609473305744,0.22687183754540666,0.43806294482511726,0.2111911072797106,1.537354044244438,1.6844759604476813,0.14712191620324333
validation,3,all,missing24,637,629,590,39,583.0,579.0,-4.0,0.09840263197777305,0.08030920700238876,-0.018093424975384284,0.03949709393990832,0.008403243661671176,-0.031093850278237148,0.4597995446900129,0.49434918936927086,0.034549644679257974,0.9561634130213972,0.9752519186815731,0.019088505660175947
validation,3,level_ge_7m,full_schedule,6549,28,28,0,26.0,26.0,0.0,0.16960676474370254,0.18649509879742424,0.0168883340537217,0.0480847892416398,0.09327449320580151,0.045189703964161713,0.5556545652840782,0.5391562189806665,-0.016498346303411737,0.6140799441250824,0.5694744629928099,-0.04460548113227247
validation,3,level_ge_7m,complete24,5912,28,28,0,26.0,26.0,0.0,0.16960676474370254,0.18649509879742424,0.0168883340537217,0.0480847892416398,0.09327449320580151,0.045189703964161713,0.5556545652840782,0.5391562189806665,-0.016498346303411737,0.6140799441250824,0.5694744629928099,-0.04460548113227247
validation,3,level_ge_7m,missing24,637,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,
validation,4,all,full_schedule,6548,6514,6474,40,6431.0,6409.0,-22.0,0.06104765754702062,0.06394314315587533,0.002895485608854713,0.014452144778230811,0.01306264939049053,-0.0013894953877402819,0.34029778549374,0.4436331948441468,0.1033354093504068,1.8219056508267162,1.9430461198207336,0.12114046899401743
validation,4,all,complete24,5912,5880,5880,0,5859.0,5835.0,-24.0,0.051990217427198344,0.06001634331875269,0.008026125891554346,0.007082108235585423,0.013981360288764151,0.006899252053178729,0.26578377883297893,0.42842988924125547,0.16264611040827653,1.8219056508267162,1.9430461198207336,0.12114046899401743
validation,4,all,missing24,636,634,594,40,572.0,574.0,2.0,0.15070716580384713,0.10281449507890775,-0.047892670724939385,0.08740806206906392,0.003968339488388023,-0.08343972258067589,0.5385478587692857,0.6076002865307557,0.06905242776147003,0.7748820108780885,1.1498650534625856,0.3749830425844971
validation,4,level_ge_7m,full_schedule,6548,28,28,0,26.0,25.0,-1.0,0.16646123882897323,0.1800532250028324,0.013591986173859177,0.001845246880732779,0.04923378669118793,0.04738853981045515,0.532564298850716,0.5935538761761074,0.06098957732539145,0.560207741268413,0.624557285287052,0.06434954401863902
validation,4,level_ge_7m,complete24,5912,28,28,0,26.0,25.0,-1.0,0.16646123882897323,0.1800532250028324,0.013591986173859177,0.001845246880732779,0.04923378669118793,0.04738853981045515,0.532564298850716,0.5935538761761074,0.06098957732539145,0.560207741268413,0.624557285287052,0.06434954401863902
validation,4,level_ge_7m,missing24,636,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,
validation,5,all,full_schedule,6547,6513,6473,40,6382.0,6280.0,-102.0,0.07820434668385372,0.08886864668859251,0.010664300004738794,0.014678548804149129,0.025987293268114,0.011308744463964873,0.4203568296547843,0.6897729219374521,0.2694160922826678,1.9219038154095536,2.313948335813892,0.39204452040433857
validation,5,all,complete24,5912,5883,5883,0,5837.0,5715.0,-122.0,0.06794901057723474,0.08470377279568188,0.016754762218447142,0.0077014233809033755,0.026815434673198708,0.019114011292295334,0.3476726057691846,0.6866386047433582,0.3389659989741737,1.9219038154095536,2.313948335813892,0.39204452040433857
validation,5,all,missing24,635,630,590,40,545.0,565.0,20.0,0.180462215014768,0.13039738077671637,-0.050064834238051636,0.08424876721932674,0.017729740918769405,-0.06651902630055734,0.7453921331758218,0.7055702669045062,-0.039821866271315565,1.2266591094999009,1.1472773841544774,-0.07938172534542343
validation,5,level_ge_7m,full_schedule,6547,28,28,0,25.0,25.0,0.0,0.2291228510791504,0.24266485543879884,0.013542004359648446,0.009423592718073819,0.09575374535691099,0.08633015263883717,0.7287224414582616,0.7697494979272805,0.04102705646901894,0.7553061347974745,0.9036180399439244,0.14831190514644987
validation,5,level_ge_7m,complete24,5912,28,28,0,25.0,25.0,0.0,0.2291228510791504,0.24266485543879884,0.013542004359648446,0.009423592718073819,0.09575374535691099,0.08633015263883717,0.7287224414582616,0.7697494979272805,0.04102705646901894,0.7553061347974745,0.9036180399439244,0.14831190514644987
validation,5,level_ge_7m,missing24,635,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,
