window,origin_literal,horizon_h,target_literal,base_m,actual_m,complete_hourly_features,current_contract_base_m
2018-08-30,2018-08-30T00:00:00,1,2018-08-30T01:00:00,,3.02,False,
2018-08-30,2018-08-30T00:00:00,2,2018-08-30T02:00:00,,3.01,False,
2018-08-30,2018-08-30T00:00:00,3,2018-08-30T03:00:00,,3.01,False,
2018-08-30,2018-08-30T00:00:00,4,2018-08-30T04:00:00,,2.99,False,
2018-08-30,2018-08-30T00:00:00,5,2018-08-30T05:00:00,,2.97,False,
2018-08-30,2018-08-30T00:00:00,6,2018-08-30T06:00:00,,2.97,False,
2018-08-30,2018-08-30T00:00:00,7,2018-08-30T07:00:00,,2.96,False,
2018-08-30,2018-08-30T00:00:00,8,2018-08-30T08:00:00,,2.96,False,
2018-08-30,2018-08-30T00:00:00,9,2018-08-30T09:00:00,,2.96,False,
2018-08-30,2018-08-30T00:00:00,10,2018-08-30T10:00:00,,2.96,False,
2018-08-30,2018-08-30T00:00:00,11,2018-08-30T11:00:00,,2.97,False,
2018-08-30,2018-08-30T00:00:00,12,2018-08-30T12:00:00,,2.97,False,
2018-08-30,2018-08-30T01:00:00,1,2018-08-30T02:00:00,3.02,3.01,False,
2018-08-30,2018-08-30T01:00:00,2,2018-08-30T03:00:00,3.02,3.01,False,
2018-08-30,2018-08-30T01:00:00,3,2018-08-30T04:00:00,3.02,2.99,False,
2018-08-30,2018-08-30T01:00:00,4,2018-08-30T05:00:00,3.02,2.97,False,
2018-08-30,2018-08-30T01:00:00,5,2018-08-30T06:00:00,3.02,2.97,False,
2018-08-30,2018-08-30T01:00:00,6,2018-08-30T07:00:00,3.02,2.96,False,
2018-08-30,2018-08-30T01:00:00,7,2018-08-30T08:00:00,3.02,2.96,False,
2018-08-30,2018-08-30T01:00:00,8,2018-08-30T09:00:00,3.02,2.96,False,
2018-08-30,2018-08-30T01:00:00,9,2018-08-30T10:00:00,3.02,2.96,False,
2018-08-30,2018-08-30T01:00:00,10,2018-08-30T11:00:00,3.02,2.97,False,
2018-08-30,2018-08-30T01:00:00,11,2018-08-30T12:00:00,3.02,2.97,False,
2018-08-30,2018-08-30T01:00:00,12,2018-08-30T13:00:00,3.02,2.96,False,
2018-08-30,2018-08-30T02:00:00,1,2018-08-30T03:00:00,3.02,3.01,False,
2018-08-30,2018-08-30T02:00:00,2,2018-08-30T04:00:00,3.02,2.99,False,
2018-08-30,2018-08-30T02:00:00,3,2018-08-30T05:00:00,3.02,2.97,False,
2018-08-30,2018-08-30T02:00:00,4,2018-08-30T06:00:00,3.02,2.97,False,
2018-08-30,2018-08-30T02:00:00,5,2018-08-30T07:00:00,3.02,2.96,False,
2018-08-30,2018-08-30T02:00:00,6,2018-08-30T08:00:00,3.02,2.96,False,
2018-08-30,2018-08-30T02:00:00,7,2018-08-30T09:00:00,3.02,2.96,False,
2018-08-30,2018-08-30T02:00:00,8,2018-08-30T10:00:00,3.02,2.96,False,
2018-08-30,2018-08-30T02:00:00,9,2018-08-30T11:00:00,3.02,2.97,False,
2018-08-30,2018-08-30T02:00:00,10,2018-08-30T12:00:00,3.02,2.97,False,
2018-08-30,2018-08-30T02:00:00,11,2018-08-30T13:00:00,3.02,2.96,False,
2018-08-30,2018-08-30T02:00:00,12,2018-08-30T14:00:00,3.02,2.9,False,
2018-08-30,2018-08-30T03:00:00,1,2018-08-30T04:00:00,3.01,2.99,False,
2018-08-30,2018-08-30T03:00:00,2,2018-08-30T05:00:00,3.01,2.97,False,
2018-08-30,2018-08-30T03:00:00,3,2018-08-30T06:00:00,3.01,2.97,False,
2018-08-30,2018-08-30T03:00:00,4,2018-08-30T07:00:00,3.01,2.96,False,
2018-08-30,2018-08-30T03:00:00,5,2018-08-30T08:00:00,3.01,2.96,False,
2018-08-30,2018-08-30T03:00:00,6,2018-08-30T09:00:00,3.01,2.96,False,
2018-08-30,2018-08-30T03:00:00,7,2018-08-30T10:00:00,3.01,2.96,False,
2018-08-30,2018-08-30T03:00:00,8,2018-08-30T11:00:00,3.01,2.97,False,
2018-08-30,2018-08-30T03:00:00,9,2018-08-30T12:00:00,3.01,2.97,False,
2018-08-30,2018-08-30T03:00:00,10,2018-08-30T13:00:00,3.01,2.96,False,
2018-08-30,2018-08-30T03:00:00,11,2018-08-30T14:00:00,3.01,2.9,False,
2018-08-30,2018-08-30T03:00:00,12,2018-08-30T15:00:00,3.01,2.76,False,
2018-08-30,2018-08-30T04:00:00,1,2018-08-30T05:00:00,3.01,2.97,False,
2018-08-30,2018-08-30T04:00:00,2,2018-08-30T06:00:00,3.01,2.97,False,
2018-08-30,2018-08-30T04:00:00,3,2018-08-30T07:00:00,3.01,2.96,False,
2018-08-30,2018-08-30T04:00:00,4,2018-08-30T08:00:00,3.01,2.96,False,
2018-08-30,2018-08-30T04:00:00,5,2018-08-30T09:00:00,3.01,2.96,False,
2018-08-30,2018-08-30T04:00:00,6,2018-08-30T10:00:00,3.01,2.96,False,
2018-08-30,2018-08-30T04:00:00,7,2018-08-30T11:00:00,3.01,2.97,False,
2018-08-30,2018-08-30T04:00:00,8,2018-08-30T12:00:00,3.01,2.97,False,
2018-08-30,2018-08-30T04:00:00,9,2018-08-30T13:00:00,3.01,2.96,False,
2018-08-30,2018-08-30T04:00:00,10,2018-08-30T14:00:00,3.01,2.9,False,
2018-08-30,2018-08-30T04:00:00,11,2018-08-30T15:00:00,3.01,2.76,False,
2018-08-30,2018-08-30T04:00:00,12,2018-08-30T16:00:00,3.01,2.62,False,
2018-08-30,2018-08-30T05:00:00,1,2018-08-30T06:00:00,2.99,2.97,False,
2018-08-30,2018-08-30T05:00:00,2,2018-08-30T07:00:00,2.99,2.96,False,
