window,origin_literal,anchor_literal,level_m,dH0.5_m_per_h,dH1_m_per_h,dH2_m_per_h,dH4_m_per_h,dH8_m_per_h,current_contract_base_m,current_contract_last_literal,current_contract_age_minutes
2018-08-30,2018-08-30T00:00:00,2018-08-29T23:00:00,,,,,,,,,
2018-08-30,2018-08-30T01:00:00,2018-08-30T00:00:00,3.02,,,,,,,2018-08-30T00:00:00,45.0
2018-08-30,2018-08-30T02:00:00,2018-08-30T01:00:00,3.02,,0.0,,,,,2018-08-30T01:00:00,45.0
2018-08-30,2018-08-30T03:00:00,2018-08-30T02:00:00,3.01,,-0.010000000000000231,-0.0050000000000001155,,,,2018-08-30T02:00:00,45.0
2018-08-30,2018-08-30T04:00:00,2018-08-30T03:00:00,3.01,,0.0,-0.0050000000000001155,,,,2018-08-30T03:00:00,45.0
2018-08-30,2018-08-30T05:00:00,2018-08-30T04:00:00,2.99,,-0.019999999999999574,-0.009999999999999787,-0.007499999999999951,,,2018-08-30T04:00:00,45.0
2018-08-30,2018-08-30T06:00:00,2018-08-30T05:00:00,2.97,,-0.020000000000000018,-0.019999999999999796,-0.012499999999999956,,,2018-08-30T05:00:00,45.0
2018-08-30,2018-08-30T07:00:00,2018-08-30T06:00:00,2.97,,0.0,-0.010000000000000009,-0.009999999999999898,,,2018-08-30T06:00:00,45.0
2018-08-30,2018-08-30T08:00:00,2018-08-30T07:00:00,2.96,,-0.010000000000000231,-0.0050000000000001155,-0.012499999999999956,,,2018-08-30T07:00:00,45.0
2018-08-30,2018-08-30T09:00:00,2018-08-30T08:00:00,2.96,,0.0,-0.0050000000000001155,-0.007500000000000062,-0.007500000000000007,,2018-08-30T08:00:00,45.0
2018-08-30,2018-08-30T10:00:00,2018-08-30T09:00:00,2.96,,0.0,0.0,-0.0025000000000000577,-0.007500000000000007,,2018-08-30T09:00:00,45.0
2018-08-30,2018-08-30T11:00:00,2018-08-30T10:00:00,2.96,,0.0,0.0,-0.0025000000000000577,-0.006249999999999978,,2018-08-30T10:00:00,45.0
2018-08-30,2018-08-30T12:00:00,2018-08-30T11:00:00,2.97,,0.010000000000000231,0.0050000000000001155,0.0025000000000000577,-0.004999999999999949,,2018-08-30T11:00:00,45.0
2018-08-30,2018-08-30T13:00:00,2018-08-30T12:00:00,2.97,,0.0,0.0050000000000001155,0.0025000000000000577,-0.0025000000000000022,,2018-08-30T12:00:00,45.0
2018-08-30,2018-08-30T14:00:00,2018-08-30T13:00:00,2.96,,-0.010000000000000231,-0.0050000000000001155,0.0,-0.0012500000000000289,,2018-08-30T13:00:00,45.0
2018-08-30,2018-08-30T15:00:00,2018-08-30T14:00:00,2.9,,-0.06000000000000005,-0.03500000000000014,-0.015000000000000013,-0.008750000000000036,,2018-08-30T14:00:00,45.0
2018-08-30,2018-08-30T16:00:00,2018-08-30T15:00:00,2.76,,-0.14000000000000012,-0.10000000000000009,-0.0525000000000001,-0.025000000000000022,,2018-08-30T15:00:00,45.0
2018-08-30,2018-08-30T17:00:00,2018-08-30T16:00:00,2.62,,-0.13999999999999968,-0.1399999999999999,-0.08750000000000002,-0.04249999999999998,,2018-08-30T16:00:00,45.0
2018-08-30,2018-08-30T18:00:00,2018-08-30T17:00:00,2.5,,-0.1200000000000001,-0.1299999999999999,-0.11499999999999999,-0.057499999999999996,,2018-08-30T17:00:00,45.0
2018-08-30,2018-08-30T19:00:00,2018-08-30T18:00:00,2.44,,-0.06000000000000005,-0.09000000000000008,-0.11499999999999999,-0.065,,2018-08-30T18:00:00,45.0
2018-08-30,2018-08-30T20:00:00,2018-08-30T19:00:00,2.52,,0.08000000000000007,0.010000000000000009,-0.05999999999999994,-0.05625000000000002,,2018-08-30T19:00:00,45.0
2018-08-30,2018-08-30T21:00:00,2018-08-30T20:00:00,2.71,,0.18999999999999995,0.135,0.022499999999999964,-0.03250000000000003,,2018-08-30T20:00:00,45.0
2018-08-30,2018-08-30T22:00:00,2018-08-30T21:00:00,2.87,,0.16000000000000014,0.17500000000000004,0.09250000000000003,-0.011249999999999982,,2018-08-30T21:00:00,45.0
2018-08-30,2018-08-30T23:00:00,2018-08-30T22:00:00,2.96,,0.08999999999999986,0.125,0.13,0.007500000000000007,,2018-08-30T22:00:00,45.0
2018-08-30,2018-08-31T00:00:00,2018-08-30T23:00:00,3.0,,0.040000000000000036,0.06499999999999995,0.12,0.030000000000000027,,2018-08-30T23:00:00,45.0
2018-08-30,2018-08-31T01:00:00,2018-08-31T00:00:00,3.01,,0.009999999999999787,0.02499999999999991,0.07499999999999996,0.04874999999999996,,2018-08-31T00:00:00,45.0
2018-08-30,2018-08-31T02:00:00,2018-08-31T01:00:00,3.01,,0.0,0.004999999999999893,0.03499999999999992,0.06374999999999997,,2018-08-31T01:00:00,45.0
2018-08-30,2018-08-31T03:00:00,2018-08-31T02:00:00,3.0,,-0.009999999999999787,-0.004999999999999893,0.010000000000000009,0.07,,2018-08-31T02:00:00,45.0
2018-08-30,2018-08-31T04:00:00,2018-08-31T03:00:00,2.98,,-0.020000000000000018,-0.014999999999999902,-0.0050000000000000044,0.057499999999999996,,2018-08-31T03:00:00,45.0
2018-08-30,2018-08-31T05:00:00,2018-08-31T04:00:00,2.94,,-0.040000000000000036,-0.030000000000000027,-0.01749999999999996,0.028749999999999998,,2018-08-31T04:00:00,45.0
