window,horizon_h,subset,scheduled_rows,boundary_exclusions,missing_truth,observed_targets,anchor_target_pairs,missing_anchor_on_observed_target,complete_hourly_pairs,complete_six_field_pairs,current_contract_pairs
2018-08-30,1,all,167,1,4,163,160,3,144,0,0
2018-08-30,1,level_ge_7m,167,1,4,63,61,2,53,0,0
2018-08-30,2,all,166,2,4,162,158,4,142,0,0
2018-08-30,2,level_ge_7m,166,2,4,63,60,3,52,0,0
2018-08-30,3,all,165,3,4,161,156,5,140,0,0
2018-08-30,3,level_ge_7m,165,3,4,63,59,4,51,0,0
2018-08-30,4,all,164,4,4,160,155,5,139,0,0
2018-08-30,4,level_ge_7m,164,4,4,63,59,4,51,0,0
2018-08-30,5,all,163,5,4,159,154,5,138,0,0
2018-08-30,5,level_ge_7m,163,5,4,63,59,4,51,0,0
2018-08-30,6,all,162,6,4,158,153,5,137,0,0
2018-08-30,6,level_ge_7m,162,6,4,63,59,4,51,0,0
2018-08-30,7,all,161,7,4,157,152,5,136,0,0
2018-08-30,7,level_ge_7m,161,7,4,63,59,4,51,0,0
2018-08-30,8,all,160,8,4,156,151,5,135,0,0
2018-08-30,8,level_ge_7m,160,8,4,63,59,4,51,0,0
2018-08-30,9,all,159,9,4,155,150,5,134,0,0
2018-08-30,9,level_ge_7m,159,9,4,63,59,4,51,0,0
2018-08-30,10,all,158,10,4,154,149,5,133,0,0
2018-08-30,10,level_ge_7m,158,10,4,63,59,4,51,0,0
2018-08-30,11,all,157,11,4,153,148,5,132,0,0
2018-08-30,11,level_ge_7m,157,11,4,63,59,4,51,0,0
2018-08-30,12,all,156,12,4,152,147,5,131,0,0
2018-08-30,12,level_ge_7m,156,12,4,63,59,4,51,0,0
2018-09-30,1,all,167,1,3,164,160,4,140,0,0
2018-09-30,1,level_ge_7m,167,1,3,41,40,1,36,0,0
2018-09-30,2,all,166,2,3,163,159,4,140,0,0
2018-09-30,2,level_ge_7m,166,2,3,41,40,1,36,0,0
2018-09-30,3,all,165,3,3,162,158,4,139,0,0
2018-09-30,3,level_ge_7m,165,3,3,41,40,1,36,0,0
2018-09-30,4,all,164,4,3,161,157,4,138,0,0
2018-09-30,4,level_ge_7m,164,4,3,41,40,1,35,0,0
2018-09-30,5,all,163,5,3,160,156,4,137,0,0
2018-09-30,5,level_ge_7m,163,5,3,41,40,1,35,0,0
2018-09-30,6,all,162,6,3,159,155,4,136,0,0
2018-09-30,6,level_ge_7m,162,6,3,41,40,1,35,0,0
2018-09-30,7,all,161,7,3,158,154,4,135,0,0
2018-09-30,7,level_ge_7m,161,7,3,41,40,1,35,0,0
2018-09-30,8,all,160,8,3,157,153,4,134,0,0
2018-09-30,8,level_ge_7m,160,8,3,41,40,1,34,0,0
2018-09-30,9,all,159,9,3,156,152,4,134,0,0
2018-09-30,9,level_ge_7m,159,9,3,41,40,1,35,0,0
2018-09-30,10,all,158,10,3,155,152,3,132,0,0
2018-09-30,10,level_ge_7m,158,10,3,41,40,1,33,0,0
2018-09-30,11,all,157,11,2,155,151,4,131,0,0
2018-09-30,11,level_ge_7m,157,11,2,41,40,1,32,0,0
2018-09-30,12,all,156,12,2,154,150,4,130,0,0
2018-09-30,12,level_ge_7m,156,12,2,41,39,2,31,0,0
