window,origin_literal,anchor_literal,lag_h,past_literal,anchor_m,past_m,value_m_per_h
2018-08-30,2018-08-30T08:00:00,2018-08-30T07:00:00,1,2018-08-30T06:00:00,2.96,2.97,-0.010000000000000231
2018-08-30,2018-08-30T08:00:00,2018-08-30T07:00:00,2,2018-08-30T05:00:00,2.96,2.97,-0.0050000000000001155
2018-08-30,2018-08-30T08:00:00,2018-08-30T07:00:00,4,2018-08-30T03:00:00,2.96,3.01,-0.012499999999999956
2018-08-30,2018-08-30T08:00:00,2018-08-30T07:00:00,8,2018-08-29T23:00:00,2.96,,
2018-08-30,2018-08-30T09:00:00,2018-08-30T08:00:00,0.5,2018-08-30T07:30:00,2.96,,
2018-08-30,2018-08-30T09:00:00,2018-08-30T08:00:00,1,2018-08-30T07:00:00,2.96,2.96,0.0
2018-08-30,2018-08-30T09:00:00,2018-08-30T08:00:00,2,2018-08-30T06:00:00,2.96,2.97,-0.0050000000000001155
2018-08-30,2018-08-30T09:00:00,2018-08-30T08:00:00,4,2018-08-30T04:00:00,2.96,2.99,-0.007500000000000062
2018-08-30,2018-08-30T09:00:00,2018-08-30T08:00:00,8,2018-08-30T00:00:00,2.96,3.02,-0.007500000000000007
2018-08-30,2018-08-30T10:00:00,2018-08-30T09:00:00,0.5,2018-08-30T08:30:00,2.96,,
2018-08-30,2018-08-30T10:00:00,2018-08-30T09:00:00,1,2018-08-30T08:00:00,2.96,2.96,0.0
2018-08-30,2018-08-30T10:00:00,2018-08-30T09:00:00,2,2018-08-30T07:00:00,2.96,2.96,0.0
2018-08-30,2018-08-30T10:00:00,2018-08-30T09:00:00,4,2018-08-30T05:00:00,2.96,2.97,-0.0025000000000000577
2018-08-30,2018-08-30T10:00:00,2018-08-30T09:00:00,8,2018-08-30T01:00:00,2.96,3.02,-0.007500000000000007
2018-08-30,2018-08-30T11:00:00,2018-08-30T10:00:00,0.5,2018-08-30T09:30:00,2.96,,
2018-08-30,2018-08-30T11:00:00,2018-08-30T10:00:00,1,2018-08-30T09:00:00,2.96,2.96,0.0
2018-08-30,2018-08-30T11:00:00,2018-08-30T10:00:00,2,2018-08-30T08:00:00,2.96,2.96,0.0
2018-08-30,2018-08-30T11:00:00,2018-08-30T10:00:00,4,2018-08-30T06:00:00,2.96,2.97,-0.0025000000000000577
2018-08-30,2018-08-30T11:00:00,2018-08-30T10:00:00,8,2018-08-30T02:00:00,2.96,3.01,-0.006249999999999978
2018-08-30,2018-08-30T12:00:00,2018-08-30T11:00:00,0.5,2018-08-30T10:30:00,2.97,,
2018-08-30,2018-08-30T12:00:00,2018-08-30T11:00:00,1,2018-08-30T10:00:00,2.97,2.96,0.010000000000000231
2018-08-30,2018-08-30T12:00:00,2018-08-30T11:00:00,2,2018-08-30T09:00:00,2.97,2.96,0.0050000000000001155
2018-08-30,2018-08-30T12:00:00,2018-08-30T11:00:00,4,2018-08-30T07:00:00,2.97,2.96,0.0025000000000000577
2018-08-30,2018-08-30T12:00:00,2018-08-30T11:00:00,8,2018-08-30T03:00:00,2.97,3.01,-0.004999999999999949
2018-08-30,2018-08-30T13:00:00,2018-08-30T12:00:00,0.5,2018-08-30T11:30:00,2.97,,
2018-08-30,2018-08-30T13:00:00,2018-08-30T12:00:00,1,2018-08-30T11:00:00,2.97,2.97,0.0
2018-08-30,2018-08-30T13:00:00,2018-08-30T12:00:00,2,2018-08-30T10:00:00,2.97,2.96,0.0050000000000001155
2018-08-30,2018-08-30T13:00:00,2018-08-30T12:00:00,4,2018-08-30T08:00:00,2.97,2.96,0.0025000000000000577
2018-08-30,2018-08-30T13:00:00,2018-08-30T12:00:00,8,2018-08-30T04:00:00,2.97,2.99,-0.0025000000000000022
2018-08-30,2018-08-30T14:00:00,2018-08-30T13:00:00,0.5,2018-08-30T12:30:00,2.96,,
2018-08-30,2018-08-30T14:00:00,2018-08-30T13:00:00,1,2018-08-30T12:00:00,2.96,2.97,-0.010000000000000231
2018-08-30,2018-08-30T14:00:00,2018-08-30T13:00:00,2,2018-08-30T11:00:00,2.96,2.97,-0.0050000000000001155
2018-08-30,2018-08-30T14:00:00,2018-08-30T13:00:00,4,2018-08-30T09:00:00,2.96,2.96,0.0
2018-08-30,2018-08-30T14:00:00,2018-08-30T13:00:00,8,2018-08-30T05:00:00,2.96,2.97,-0.0012500000000000289
2018-08-30,2018-08-30T15:00:00,2018-08-30T14:00:00,0.5,2018-08-30T13:30:00,2.9,,
2018-08-30,2018-08-30T15:00:00,2018-08-30T14:00:00,1,2018-08-30T13:00:00,2.9,2.96,-0.06000000000000005
2018-08-30,2018-08-30T15:00:00,2018-08-30T14:00:00,2,2018-08-30T12:00:00,2.9,2.97,-0.03500000000000014
2018-08-30,2018-08-30T15:00:00,2018-08-30T14:00:00,4,2018-08-30T10:00:00,2.9,2.96,-0.015000000000000013
2018-08-30,2018-08-30T15:00:00,2018-08-30T14:00:00,8,2018-08-30T06:00:00,2.9,2.97,-0.008750000000000036
2018-08-30,2018-08-30T16:00:00,2018-08-30T15:00:00,0.5,2018-08-30T14:30:00,2.76,,
2018-08-30,2018-08-30T16:00:00,2018-08-30T15:00:00,1,2018-08-30T14:00:00,2.76,2.9,-0.14000000000000012
2018-08-30,2018-08-30T16:00:00,2018-08-30T15:00:00,2,2018-08-30T13:00:00,2.76,2.96,-0.10000000000000009
2018-08-30,2018-08-30T16:00:00,2018-08-30T15:00:00,4,2018-08-30T11:00:00,2.76,2.97,-0.0525000000000001
2018-08-30,2018-08-30T16:00:00,2018-08-30T15:00:00,8,2018-08-30T07:00:00,2.76,2.96,-0.025000000000000022
2018-08-30,2018-08-30T17:00:00,2018-08-30T16:00:00,0.5,2018-08-30T15:30:00,2.62,,
2018-08-30,2018-08-30T17:00:00,2018-08-30T16:00:00,1,2018-08-30T15:00:00,2.62,2.76,-0.13999999999999968
2018-08-30,2018-08-30T17:00:00,2018-08-30T16:00:00,2,2018-08-30T14:00:00,2.62,2.9,-0.1399999999999999
2018-08-30,2018-08-30T17:00:00,2018-08-30T16:00:00,4,2018-08-30T12:00:00,2.62,2.97,-0.08750000000000002
2018-08-30,2018-08-30T17:00:00,2018-08-30T16:00:00,8,2018-08-30T08:00:00,2.62,2.96,-0.04249999999999998
2018-08-30,2018-08-30T18:00:00,2018-08-30T17:00:00,0.5,2018-08-30T16:30:00,2.5,,
2018-08-30,2018-08-30T18:00:00,2018-08-30T17:00:00,1,2018-08-30T16:00:00,2.5,2.62,-0.1200000000000001
2018-08-30,2018-08-30T18:00:00,2018-08-30T17:00:00,2,2018-08-30T15:00:00,2.5,2.76,-0.1299999999999999
2018-08-30,2018-08-30T18:00:00,2018-08-30T17:00:00,4,2018-08-30T13:00:00,2.5,2.96,-0.11499999999999999
2018-08-30,2018-08-30T18:00:00,2018-08-30T17:00:00,8,2018-08-30T09:00:00,2.5,2.96,-0.057499999999999996
2018-08-30,2018-08-30T19:00:00,2018-08-30T18:00:00,0.5,2018-08-30T17:30:00,2.44,,
2018-08-30,2018-08-30T19:00:00,2018-08-30T18:00:00,1,2018-08-30T17:00:00,2.44,2.5,-0.06000000000000005
2018-08-30,2018-08-30T19:00:00,2018-08-30T18:00:00,2,2018-08-30T16:00:00,2.44,2.62,-0.09000000000000008
2018-08-30,2018-08-30T19:00:00,2018-08-30T18:00:00,4,2018-08-30T14:00:00,2.44,2.9,-0.11499999999999999
2018-08-30,2018-08-30T19:00:00,2018-08-30T18:00:00,8,2018-08-30T10:00:00,2.44,2.96,-0.065
2018-08-30,2018-08-30T20:00:00,2018-08-30T19:00:00,0.5,2018-08-30T18:30:00,2.52,,
2018-08-30,2018-08-30T20:00:00,2018-08-30T19:00:00,1,2018-08-30T18:00:00,2.52,2.44,0.08000000000000007
2018-08-30,2018-08-30T20:00:00,2018-08-30T19:00:00,2,2018-08-30T17:00:00,2.52,2.5,0.010000000000000009
2018-08-30,2018-08-30T20:00:00,2018-08-30T19:00:00,4,2018-08-30T15:00:00,2.52,2.76,-0.05999999999999994
2018-08-30,2018-08-30T20:00:00,2018-08-30T19:00:00,8,2018-08-30T11:00:00,2.52,2.97,-0.05625000000000002
2018-08-30,2018-08-30T21:00:00,2018-08-30T20:00:00,0.5,2018-08-30T19:30:00,2.71,,
2018-08-30,2018-08-30T21:00:00,2018-08-30T20:00:00,1,2018-08-30T19:00:00,2.71,2.52,0.18999999999999995
2018-08-30,2018-08-30T21:00:00,2018-08-30T20:00:00,2,2018-08-30T18:00:00,2.71,2.44,0.135
