phase,profile,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
test,A,1,full_schedule,all,profile_A_control,1967,23,1944,1939,5,1933,0.9969056214543579,0.9943415637860082,0.0371222429682849,0.00031574249549438574,0.21510511095232232,1.2985394062094997
test,A,1,full_schedule,all,profile_B_control,1967,23,1944,1939,5,1912,0.9860752965446106,0.9835390946502057,0.06303231581576944,0.00544372362743687,0.40312457464527224,1.1376505785463262
test,A,1,full_schedule,all,mixed_profile_candidate,1967,23,1944,1939,5,1933,0.9969056214543579,0.9943415637860082,0.04783750593944735,0.0016042383445942052,0.30354887951476256,1.141419228155974
test,A,1,full_schedule,all,flood_weight_7m,1967,23,1944,1939,5,1934,0.997421351211965,0.9948559670781894,0.04682848369768733,-0.0005488939816916962,0.29379526740098916,1.1735919883856756
test,A,1,full_schedule,level_ge_7m,profile_A_control,1967,23,237,236,1,230,0.9745762711864406,0.9704641350210971,0.08365381495683401,0.004328512216800681,0.5373691728450916,1.2985394062094997
test,A,1,full_schedule,level_ge_7m,profile_B_control,1967,23,237,236,1,231,0.9788135593220338,0.9746835443037974,0.0775943146177403,-0.0030883871545847098,0.4773267779115205,1.1376505785463262
test,A,1,full_schedule,level_ge_7m,mixed_profile_candidate,1967,23,237,236,1,231,0.9788135593220338,0.9746835443037974,0.07625871051660717,0.005757975327753496,0.4563071747801155,1.141419228155974
test,A,1,full_schedule,level_ge_7m,flood_weight_7m,1967,23,237,236,1,231,0.9788135593220338,0.9746835443037974,0.07746670270381346,0.00044662993515849083,0.4853165809168029,1.1735919883856756
test,A,1,complete24,all,profile_A_control,1353,3,1350,1350,0,1350,1.0,1.0,0.0304847864407132,0.0010034537392053463,0.16552146689464775,0.4271823756500037
test,A,1,complete24,all,profile_B_control,1353,3,1350,1350,0,1337,0.9903703703703703,0.9903703703703703,0.05900560993384436,0.005716792611886191,0.3787469497620109,0.6468784824758886
test,A,1,complete24,all,mixed_profile_candidate,1353,3,1350,1350,0,1350,1.0,1.0,0.04312327604488985,0.0010444003423434212,0.26588508970708497,0.4769284998001275
test,A,1,complete24,all,flood_weight_7m,1353,3,1350,1350,0,1350,1.0,1.0,0.042627465142173276,0.00010592399278912025,0.26202048546821816,0.4388963610094567
test,A,1,complete24,level_ge_7m,profile_A_control,1353,3,144,144,0,144,1.0,1.0,0.055442801166581394,0.00919925049033519,0.24315126317165353,0.41233080449643644
test,A,1,complete24,level_ge_7m,profile_B_control,1353,3,144,144,0,144,1.0,1.0,0.058889196649375565,-0.0003785530509610477,0.3782499166329646,0.4303116973062888
test,A,1,complete24,level_ge_7m,mixed_profile_candidate,1353,3,144,144,0,144,1.0,1.0,0.04882486232682682,0.006183181671581168,0.3025030817446567,0.3813849950539048
test,A,1,complete24,level_ge_7m,flood_weight_7m,1353,3,144,144,0,144,1.0,1.0,0.050416090425481154,0.0016961895002585898,0.3196614594925077,0.419699899913601
test,A,1,missing24,all,profile_A_control,614,20,594,589,5,583,0.9898132427843803,0.9814814814814815,0.05233542855779558,-0.001260505686186085,0.30304356193663556,1.2985394062094997
test,A,1,missing24,all,profile_B_control,614,20,594,589,5,575,0.9762308998302207,0.968013468013468,0.07226160773529214,0.004817843951704128,0.549141731456145,1.1376505785463262
test,A,1,missing24,all,mixed_profile_candidate,614,20,594,589,5,583,0.9898132427843803,0.9814814814814815,0.05864261690320395,0.0028873984516206205,0.3450497054481585,1.141419228155974
test,A,1,missing24,all,flood_weight_7m,614,20,594,589,5,584,0.9915110356536503,0.9831649831649831,0.05645730381643771,-0.0020497501201451806,0.32612942043214355,1.1735919883856756
test,A,1,missing24,level_ge_7m,profile_A_control,614,20,93,92,1,86,0.9347826086956522,0.9247311827956989,0.1278101843676642,-0.003295252037427247,0.9799900488125015,1.2985394062094997
test,A,1,missing24,level_ge_7m,profile_B_control,614,20,93,92,1,87,0.9456521739130435,0.9354838709677419,0.10687189056822423,-0.007329866621126094,0.8088713084859145,1.1376505785463262
test,A,1,missing24,level_ge_7m,mixed_profile_candidate,614,20,93,92,1,87,0.9456521739130435,0.9354838709677419,0.11919864681365469,0.005092434963501487,0.8242910444531536,1.141419228155974
test,A,1,missing24,level_ge_7m,flood_weight_7m,614,20,93,92,1,87,0.9456521739130435,0.9354838709677419,0.1198067914872901,-0.0015092024276068816,0.8538905163375655,1.1735919883856756
test,A,2,full_schedule,all,profile_A_control,1966,23,1943,1936,7,1915,0.9891528925619835,0.9855892949047864,0.06470988559156808,0.0039223171572363566,0.3688797265165805,2.430986906354253
test,A,2,full_schedule,all,profile_B_control,1966,23,1943,1936,7,1865,0.9633264462809917,0.9598558929490478,0.11406009111190221,0.01252278220881248,0.6898452617630729,2.3364175247165386
test,A,2,full_schedule,all,mixed_profile_candidate,1966,23,1943,1936,7,1895,0.9788223140495868,0.975295934122491,0.0875271938439811,0.011391082081633634,0.5088748763256037,2.35798379080882
test,A,2,full_schedule,all,flood_weight_7m,1966,23,1943,1936,7,1895,0.9788223140495868,0.975295934122491,0.08885471694119201,0.011128177160281133,0.5107956227333053,2.3601731142121523
test,A,2,full_schedule,level_ge_7m,profile_A_control,1966,23,237,236,1,225,0.9533898305084746,0.9493670886075949,0.1420297534699279,-0.01521221496331502,0.6927020057861919,2.430986906354253
