period,horizon_h,population,subset,family,scheduled_population_rows,missing_truth_in_population,observed_targets,paired_predictions,missing_forecasts,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
2021,1,full_schedule,all,control120,743,0,743,743,0,743,1.0,1.0,0.03176970598058766,-0.022804183486977332,0.1179003728221668,0.303935811177126
2021,1,full_schedule,all,candidate120_plus2020,743,0,743,743,0,743,1.0,1.0,0.04055697067663001,-0.02585969421406708,0.14434610084956478,0.33542148113290526
2021,1,full_schedule,level_ge_7m,control120,743,0,11,11,0,11,1.0,1.0,0.04901198481827644,-0.031141353207400243,0.12626930982315482,0.13699274102333892
2021,1,full_schedule,level_ge_7m,candidate120_plus2020,743,0,11,11,0,11,1.0,1.0,0.060750776917055334,-0.02222066020227635,0.13718519557293887,0.14337335699494513
2021,1,complete24,all,control120,0,0,0,0,0,0,,,,,,
2021,1,complete24,all,candidate120_plus2020,0,0,0,0,0,0,,,,,,
2021,1,complete24,level_ge_7m,control120,0,0,0,0,0,0,,,,,,
2021,1,complete24,level_ge_7m,candidate120_plus2020,0,0,0,0,0,0,,,,,,
2021,1,missing24,all,control120,743,0,743,743,0,743,1.0,1.0,0.03176970598058766,-0.022804183486977332,0.1179003728221668,0.303935811177126
2021,1,missing24,all,candidate120_plus2020,743,0,743,743,0,743,1.0,1.0,0.04055697067663001,-0.02585969421406708,0.14434610084956478,0.33542148113290526
2021,1,missing24,level_ge_7m,control120,743,0,11,11,0,11,1.0,1.0,0.04901198481827644,-0.031141353207400243,0.12626930982315482,0.13699274102333892
2021,1,missing24,level_ge_7m,candidate120_plus2020,743,0,11,11,0,11,1.0,1.0,0.060750776917055334,-0.02222066020227635,0.13718519557293887,0.14337335699494513
2021,2,full_schedule,all,control120,742,0,742,742,0,740,0.9973045822102425,0.9973045822102425,0.05086323518500803,0.015027640595867768,0.286763084604054,0.6342456973448094
2021,2,full_schedule,all,candidate120_plus2020,742,0,742,742,0,738,0.9946091644204852,0.9946091644204852,0.06602053684248134,-0.047649620361683576,0.2784771152114246,0.6360702113013028
