nominal_lead_h,family,subset,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
1,reference,all,1944,1939,5,0.9974279835390947,1850,0.9541000515729757,0.1596567102530021,0.0020296322501965666,0.39036553480663794,0.595370359468514,1.6187005329376092
1,julho_levels,all,1944,1939,5,0.9974279835390947,1851,0.9546157813305828,0.16218027233681512,0.004796764579117871,0.39756395880915657,0.5944245972614746,1.6007171057718743
1,reference,level_ge_7m,237,235,2,0.9915611814345991,202,0.8595744680851064,0.24355530876282935,0.10541269059227006,0.5504049080867476,0.867366161910343,1.6187005329376092
1,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,204,0.8680851063829788,0.2431394794909886,0.10780398443503098,0.5458449173925459,0.8732424958711863,1.6007171057718743
2,reference,all,1943,1936,7,0.9963973237261966,1701,0.8786157024793388,0.22291431312564253,0.0008879187999761509,0.5476931673290807,0.8453950838040396,2.2589808578809247
2,julho_levels,all,1943,1936,7,0.9963973237261966,1695,0.8755165289256198,0.22870453354020406,0.009374241556586343,0.5629504737102808,0.8415837453376088,2.2251923867772714
2,reference,level_ge_7m,237,235,2,0.9915611814345991,171,0.7276595744680852,0.37244102939360957,0.15664593512312774,0.852809641372617,1.1374512310543778,2.2589808578809247
2,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,170,0.723404255319149,0.36665651704919716,0.16417021447172395,0.8202493067584378,1.1339203431365605,2.2251923867772714
3,reference,all,1942,1933,9,0.9953656024716787,1636,0.8463528194516295,0.26432604562354284,-0.0018581247910728325,0.6259840914700064,1.0599097500500112,2.8569411653407712
3,julho_levels,all,1942,1933,9,0.9953656024716787,1609,0.8323848939472323,0.2738424252712742,0.014664629815601168,0.6350463371561417,1.0669160067473862,2.7280690759539947
3,reference,level_ge_7m,237,235,2,0.9915611814345991,148,0.6297872340425532,0.4908724825613812,0.19721495024550764,1.107326817593462,1.7406010378372612,2.8569411653407712
3,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,149,0.6340425531914894,0.47950134477641865,0.2111215340763831,1.113206079775724,1.3969883186215832,2.7280690759539947
4,reference,all,1941,1931,10,0.9948480164863472,1604,0.8306576903158985,0.2920866165432466,-0.006304648968126357,0.6575693691282336,1.276581520148242,3.2881652171625735
4,julho_levels,all,1941,1931,10,0.9948480164863472,1555,0.8052822371828068,0.3065350044095605,0.019402882160154854,0.6742646748756318,1.2678633836041195,3.105842086529357
4,reference,level_ge_7m,237,235,2,0.9915611814345991,132,0.5617021276595745,0.5971595147728536,0.22583865814329362,1.371494836286943,2.395327690619914,3.2881652171625735
4,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,134,0.5702127659574469,0.5816680276700861,0.24537647768012663,1.3536307851552856,1.8865207113188298,3.105842086529357
5,reference,all,1940,1929,11,0.9943298969072165,1577,0.8175220321410057,0.31904924581782035,-0.012915620721672598,0.6724879806656489,1.4471516279899637,4.062538066259263
5,julho_levels,all,1940,1929,11,0.9943298969072165,1508,0.7817522032141005,0.3360076995037597,0.023939845482598074,0.7012221775719911,1.4423476345195911,3.170118349135903
5,reference,level_ge_7m,237,235,2,0.9915611814345991,128,0.5446808510638298,0.6984060667145667,0.23511931416433587,1.5619236037650472,2.9049175257653443,4.062538066259263
5,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,128,0.5446808510638298,0.6778048400457777,0.2654773854991369,1.528419021073065,2.688742039742509,3.170118349135903
6,reference,all,1939,1927,12,0.9938112429087158,1509,0.7830825116761806,0.35127379910915146,-0.01547194874963489,0.7137366444733115,1.615831775296538,4.826047752561983
6,julho_levels,all,1939,1927,12,0.9938112429087158,1456,0.7555786196159834,0.36597584588234916,0.0327608313470779,0.7231475462200022,1.562163254152328,4.2014637996448325
6,reference,level_ge_7m,237,235,2,0.9915611814345991,116,0.49361702127659574,0.7962538474719459,0.2733997462048275,1.7747137759521034,3.2393693618939388,4.826047752561983
