month,id,variable,from_time_original,to_time_original,from_value,to_value,difference,source_file,from_line,to_line
2,JIUHCA,val_volumeutil,2023-02-20 17:00:00,2023-02-20 18:00:00,58.0,65.0,7.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38042,38043
2,JIUHCA,val_volumeutil,2023-02-22 02:00:00,2023-02-22 03:00:00,65.0,72.0,7.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38075,38076
2,JIUHCA,val_volumeutil,2023-02-25 13:00:00,2023-02-25 14:00:00,69.0,62.0,-7.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38158,38159
2,JIUHCA,val_vazaoafluente,2023-02-23 16:00:00,2023-02-23 17:00:00,174.0,100.0,-74.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38113,38114
2,JIUHCA,val_vazaoafluente,2023-02-20 21:00:00,2023-02-20 22:00:00,156.0,218.0,62.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38046,38047
2,JIUHCA,val_vazaoafluente,2023-02-26 13:00:00,2023-02-26 14:00:00,166.0,106.0,-60.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38182,38183
2,JIUHCA,val_vazaoafluente,2023-02-02 17:00:00,2023-02-02 18:00:00,45.0,104.0,59.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,37614,37615
2,JIUHCA,val_vazaoafluente,2023-02-26 08:00:00,2023-02-26 09:00:00,196.0,137.0,-59.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38177,38178
2,JIUHCA,val_vazaodefluente,2023-02-26 07:00:00,2023-02-26 08:00:00,157.0,241.0,84.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38176,38177
2,JIUHCA,val_vazaodefluente,2023-02-26 14:00:00,2023-02-26 15:00:00,195.0,111.0,-84.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38183,38184
2,JIUHCA,val_vazaodefluente,2023-02-26 10:00:00,2023-02-26 11:00:00,240.0,157.0,-83.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38179,38180
2,JIUHCA,val_vazaodefluente,2023-02-26 12:00:00,2023-02-26 13:00:00,157.0,240.0,83.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38181,38182
2,JIUHCA,val_vazaodefluente,2023-02-25 12:00:00,2023-02-25 13:00:00,176.0,258.0,82.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38157,38158
2,JIUHCA,val_vazaoturbinada,2023-02-26 23:59:00,2023-02-27 01:00:00,128.0,73.0,-55.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38193,38194
2,JIUHCA,val_vazaoturbinada,2023-02-20 19:00:00,2023-02-20 20:00:00,36.0,89.0,53.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,38044,38045
2,JIUHCA,val_vazaoturbinada,2023-02-10 19:00:00,2023-02-10 20:00:00,3.0,52.0,49.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,37808,37809
2,JIUHCA,val_vazaoturbinada,2023-02-01 23:59:00,2023-02-02 01:00:00,52.0,4.0,-48.0,raw/DADOS_HIDROLOGICOS_HO_2023_02.csv,37597,37598
