month,id,name,code,rows
7,PNUHBC,B.COQUEIROS,312.0,738
7,PNUSBL,BATALHA,20.0,744
7,PRCDOU,C. DOURADA,32.0,743
7,PNCPB1,C.BRANCO-1,27.0,740
7,PNCPB2,C.BRANCO-2,28.0,741
7,PNCACU,CACU,311.0,737
7,COCORU,CORUMBA,30.0,744
7,PNUCB3,CORUMBA-3,203.0,732
7,PNUCB4,CORUMBA-4,29.0,744
7,PREMBO,EMBORCAÇÃO,24.0,741
7,PNUHES,ESPORA,290.0,743
7,PNUFRC,FOZ DO RIO CLARO,315.0,738
7,PRITUM,ITUMBIARA,31.0,744
7,ARMIRA,MIRANDA,26.0,744
7,PRNPON,NOVA PONTE,25.0,742
7,PNUHSF,S.DO FACÃO,21.0,738
7,PNSV,S.R.VERDINHO,241.0,728
7,PNST,SALTO,262.0,743
7,PRSSIM,SÃO SIMÃO,33.0,742
7,PPCNO1,CANOAS I,52.0,744
7,PPCNO2,CANOAS II,51.0,744
7,PPCAPI,CAPIVARA,61.0,744
7,PPCHAV,CHAVANTES,49.0,744
7,PPUHMU,GOV JAYME CANET JR,57.0,742
7,PPJURU,JURUMIRIM,47.0,743
7,PPORI,OURINHOS,249.0,713
7,PPPJU,PIRAJU,48.0,728
7,PPROSA,ROSANA,63.0,743
7,PPSGCS,SALTO GRANDE CS,50.0,743
7,PPTAQU,TAQUARUÇU,62.0,744
7,PIBESP,BOA ESPERANÇA,190.0,744
7,ODRBON,RIO BONITO,,744
7,ODUSUI,SUIÇA,,742
7,SFMOXO,APOLONIO SALES,173.0,743
7,SFLGON,LUIZ GONZAGA,172.0,743
7,SFP123,"P. AFONSO 1,2,3",174.0,743
7,SFPAF4,P. AFONSO 4,175.0,743
7,SFQMDO,QUEIMADO,162.0,742
7,SFUHRB,RETIRO BAIXO,155.0,721
7,SFSOBR,SOBRADINHO,169.0,744
7,SFTMAR,TRÊS MARIAS,156.0,741
7,SFXING,XINGO,178.0,744
7,TIBONI,B. BONITA,37.0,744
7,TIBARI,BARIRI,38.0,744
7,TIIBIT,IBITINGA,39.0,744
7,TINAVA,N. AVANHANDAVA,42.0,744
7,TIPROM,PROMISSÃO,40.0,744
7,TITIRM,TRÊS IRMÃOS,43.0,743
7,TOUHCB,CANA BRAVA,252.0,744
7,TOUHET,ESTREITO,267.0,744
7,TOLAJ,LAJEADO,261.0,739
7,TOUHPA,PEIXE ANGICAL,257.0,740
7,TOUHSA,SAO SALVADOR,253.0,744
7,TOSMES,SERRA DA MESA,251.0,744
7,TOTUCU,TUCURUI,275.0,744
7,RIUHBG,BARRA GRANDE,86.0,738
7,RIUHCN,CAMPOS NOVOS,90.0,741
7,RIUHFC,FOZ CHAPECO,103.0,742
7,RIGAR,GARIBALDI,89.0,739
7,RIITÁ,ITÁ,92.0,743
7,RIUHMA,MACHADINHO,91.0,742
7,RIUHMO,MONJOLINHO,94.0,742
7,PFPFUN,PASSO FUNDO,93.0,742
7,RIUHPJ,PASSO SAO JOAO,102.0,743
7,RIUQQX,QUEBRA QUEIXO,95.0,742
7,RIUSJO,SAO JOSE,101.0,740
7,RIUHSR,SAO ROQUE,88.0,743
8,AMUHBB,BALBINA,277.0,661
8,AMUSBM,BELO MONTE,288.0,731
8,AMCLR,COLIDER,228.0,743
8,CRCURU,CURUA-UNA,272.0,744
8,AMDA,DARDANELOS,310.0,744
8,AMUGUA,GUAPORE,196.0,705
8,AMUHJI,JIRAU,285.0,744
8,AMUSPM,PIMENTAL,314.0,723
8,AMUHRD,RONDON II,276.0,742
8,AMSAPI,SALTO APIACAS,225.0,744
8,AMSU,SAMUEL,279.0,604
8,AMUSSN,SANTO ANTONIO,287.0,742
8,AMUSMA,SAO MANOEL,230.0,743
8,AMSNPE,SINOP,227.0,722
8,AMSAJ,STO ANTONIO DO JARI,286.0,743
8,AMUHTP,TELES PIRES,229.0,744
8,AAUCCA,CACHOEIRA CALDEIRAO,204.0,743
8,AMUHCN,COARACY NUNES,280.0,740
8,AAFGO,FERREIRA GOMES,284.0,744
8,CASPSO,G. P. SOUZA,115.0,744
8,DCAIMO,AIMORES,143.0,744
8,DCUBAG,BAGUARI,141.0,744
8,DCUHEC,CANDONGA,139.0,744
8,PCGAMO,GUILM. AMORIM,192.0,744
8,DCMASC,MASCARENHAS,144.0,743
8,DCPORT,PORTO ESTRELA,135.0,731
8,DCSCAR,SA CARVALHO,193.0,744
8,SASGCM,SALTO GRANDE CM,134.0,744
8,DCSACM,SANTONIO CM,193.0,744
8,GRAGVL,A. VERMELHA,18.0,640
8,PDCACO,CACONDE,14.0,639
8,GRCAMA,CAMARGOS,1.0,713
8,PDECUN,E. DA CUNHA,15.0,744
8,GRFUNI,FUNIL-MG,4.0,744
8,GRFURN,FURNAS,6.0,744
8,GRIGAR,IGARAPAVA,10.0,744
8,GRITUT,ITUTINGA,2.0,744
8,GRJAGU,JAGUARA,9.0,744
8,GRLCBA,L. C. BARRETO,8.0,744
8,PDLIMO,LIMOEIRO,16.0,640
8,GRMMOR,M. MORAES,7.0,744
8,GRMARI,MARIMBONDO,17.0,744
8,GRPCOL,P. COLOMBIA,12.0,744
8,GRVGRA,VOLTA GRANDE,11.0,744
8,IGUHBI,BAIXO IGUACU,83.0,737
8,IGFND,FUNDÃO,72.0,744
8,IGGBMU,G. B. MUNHOZ,74.0,744
8,JDJORD,JORDÃO,73.0,744
8,IGSCAX,SALTO CAXIAS,82.0,744
8,IGSOSO,SALTO OSORIO,78.0,744
8,IGSSAN,SALTO SANTIAGO,77.0,744
8,IGSCL,SANTA CLARA-PR,71.0,744
8,IGSEGR,SEGREDO,76.0,744
8,ITRSL,ROSAL,217.0,744
8,IAUHSP,SALTO PILAO,215.0,745
8,JIUHQJ,14 DE JULHO,99.0,744
8,OSCNST,CANASTRA,,744
8,JIUHCA,CASTRO ALVES,97.0,744
