horizon_h,origins,within_window_targets,boundary_excluded,missing_base,missing_exact_target,valid_pairs,valid_pairs_target_ge7m
1,168,167,1,1,0,166,126
2,168,166,2,1,0,165,126
3,168,165,3,1,0,164,126
4,168,164,4,1,0,163,126
5,168,163,5,1,0,162,126
6,168,162,6,1,0,161,126
7,168,161,7,1,0,160,126
8,168,160,8,1,0,159,126
9,168,159,9,1,0,158,126
10,168,158,10,1,0,157,126
11,168,157,11,1,0,156,126
12,168,156,12,1,0,155,126
