phase,horizon_h,population,rows,both_aux_and_rain_amount_complete,aux_missing_only,rain_amount_missing_only,both_missing
validation,1,original_training,4362,3532,545,142,143
validation,1,added2023_training,503,0,73,0,430
validation,1,combined_training,4865,3532,618,142,573
validation,1,evaluation_high_full_schedule,28,28,0,0,0
validation,2,original_training,4360,3531,544,142,143
validation,2,added2023_training,501,0,73,0,428
validation,2,combined_training,4861,3531,617,142,571
validation,2,evaluation_high_full_schedule,28,28,0,0,0
validation,3,original_training,4358,3529,543,142,144
validation,3,added2023_training,499,0,73,0,426
validation,3,combined_training,4857,3529,616,142,570
validation,3,evaluation_high_full_schedule,28,28,0,0,0
validation,4,original_training,4356,3526,544,142,144
validation,4,added2023_training,497,0,73,0,424
validation,4,combined_training,4853,3526,617,142,568
validation,4,evaluation_high_full_schedule,28,28,0,0,0
validation,5,original_training,4355,3523,547,142,143
validation,5,added2023_training,495,0,73,0,422
validation,5,combined_training,4850,3523,620,142,565
validation,5,evaluation_high_full_schedule,28,28,0,0,0
validation,6,original_training,4354,3522,547,142,143
validation,6,added2023_training,493,0,73,0,420
validation,6,combined_training,4847,3522,620,142,563
validation,6,evaluation_high_full_schedule,28,28,0,0,0
validation,7,original_training,4353,3522,547,142,142
validation,7,added2023_training,491,0,73,0,418
validation,7,combined_training,4844,3522,620,142,560
validation,7,evaluation_high_full_schedule,28,28,0,0,0
validation,8,original_training,4352,3521,547,142,142
validation,8,added2023_training,489,0,73,0,416
validation,8,combined_training,4841,3521,620,142,558
validation,8,evaluation_high_full_schedule,28,28,0,0,0
validation,9,original_training,4351,3520,547,142,142
validation,9,added2023_training,487,0,73,0,414
validation,9,combined_training,4838,3520,620,142,556
validation,9,evaluation_high_full_schedule,28,28,0,0,0
validation,10,original_training,4350,3519,547,142,142
validation,10,added2023_training,485,0,73,0,412
validation,10,combined_training,4835,3519,620,142,554
validation,10,evaluation_high_full_schedule,28,28,0,0,0
validation,11,original_training,4349,3518,546,142,143
validation,11,added2023_training,483,0,73,0,410
validation,11,combined_training,4832,3518,619,142,553
validation,11,evaluation_high_full_schedule,28,28,0,0,0
validation,12,original_training,4348,3516,547,142,143
validation,12,added2023_training,481,0,73,0,408
validation,12,combined_training,4829,3516,620,142,551
validation,12,evaluation_high_full_schedule,28,28,0,0,0
test,1,original_training,10841,8823,939,901,178
test,1,added2023_training,503,0,73,0,430
test,1,combined_training,11344,8823,1012,901,608
test,1,evaluation_high_full_schedule,237,143,93,1,0
test,2,original_training,10837,8818,941,900,178
test,2,added2023_training,501,0,73,0,428
test,2,combined_training,11338,8818,1014,900,606
test,2,evaluation_high_full_schedule,237,142,94,1,0
test,3,original_training,10834,8816,939,901,178
test,3,added2023_training,499,0,73,0,426
test,3,combined_training,11333,8816,1012,901,604
test,3,evaluation_high_full_schedule,237,141,95,1,0
test,4,original_training,10830,8808,942,901,179
test,4,added2023_training,497,0,73,0,424
test,4,combined_training,11327,8808,1015,901,603
test,4,evaluation_high_full_schedule,237,140,96,1,0
test,5,original_training,10828,8807,942,901,178
test,5,added2023_training,495,0,73,0,422
test,5,combined_training,11323,8807,1015,901,600
test,5,evaluation_high_full_schedule,237,139,97,1,0
test,6,original_training,10826,8805,942,901,178
test,6,added2023_training,493,0,73,0,420
test,6,combined_training,11319,8805,1015,901,598
test,6,evaluation_high_full_schedule,237,139,97,1,0
test,7,original_training,10824,8806,940,901,177
test,7,added2023_training,491,0,73,0,418
test,7,combined_training,11315,8806,1013,901,595
test,7,evaluation_high_full_schedule,237,139,97,1,0
test,8,original_training,10822,8805,940,900,177
test,8,added2023_training,489,0,73,0,416
test,8,combined_training,11311,8805,1013,900,593
test,8,evaluation_high_full_schedule,237,139,97,1,0
test,9,original_training,10821,8804,939,901,177
test,9,added2023_training,487,0,73,0,414
test,9,combined_training,11308,8804,1012,901,591
test,9,evaluation_high_full_schedule,237,139,97,1,0
test,10,original_training,10818,8801,939,901,177
test,10,added2023_training,485,0,73,0,412
test,10,combined_training,11303,8801,1012,901,589
test,10,evaluation_high_full_schedule,237,139,97,1,0
test,11,original_training,10817,8801,937,901,178
test,11,added2023_training,483,0,73,0,410
test,11,combined_training,11300,8801,1010,901,588
test,11,evaluation_high_full_schedule,237,139,97,1,0
test,12,original_training,10814,8797,938,901,178
test,12,added2023_training,481,0,73,0,408
test,12,combined_training,11295,8797,1011,901,586
test,12,evaluation_high_full_schedule,237,139,97,1,0
