phase,horizon_h,origin,target_time,actual_m,base_m,aux_missing,rain_amount_missing,rain_coverage_missing,missing45,missing108
validation,1,2025-11-08T07:00:00-03:00,2025-11-08T08:00:00-03:00,7.29,6.65,0,0,0,0,0
validation,1,2025-11-08T08:00:00-03:00,2025-11-08T09:00:00-03:00,7.99,7.12,0,0,0,0,0
validation,1,2025-11-08T09:00:00-03:00,2025-11-08T10:00:00-03:00,8.49,7.82,0,0,0,0,0
validation,1,2025-11-08T10:00:00-03:00,2025-11-08T11:00:00-03:00,8.69,8.38,0,0,0,0,0
validation,1,2025-11-08T11:00:00-03:00,2025-11-08T12:00:00-03:00,8.67,8.66,0,0,0,0,0
validation,1,2025-11-08T12:00:00-03:00,2025-11-08T13:00:00-03:00,8.62,8.68,0,0,0,0,0
validation,1,2025-11-08T13:00:00-03:00,2025-11-08T14:00:00-03:00,8.54,8.63,0,0,0,0,0
validation,1,2025-11-08T14:00:00-03:00,2025-11-08T15:00:00-03:00,8.51,8.56,0,0,0,0,0
validation,1,2025-11-08T15:00:00-03:00,2025-11-08T16:00:00-03:00,8.47,8.52,0,0,0,0,0
validation,1,2025-11-08T16:00:00-03:00,2025-11-08T17:00:00-03:00,8.47,8.46,0,0,0,0,0
validation,1,2025-11-08T17:00:00-03:00,2025-11-08T18:00:00-03:00,8.5,8.45,0,0,0,0,0
validation,1,2025-11-08T18:00:00-03:00,2025-11-08T19:00:00-03:00,8.55,8.49,0,0,0,0,0
validation,1,2025-11-08T19:00:00-03:00,2025-11-08T20:00:00-03:00,8.67,8.54,0,0,0,0,0
validation,1,2025-11-08T20:00:00-03:00,2025-11-08T21:00:00-03:00,8.83,8.63,0,0,0,0,0
validation,1,2025-11-08T21:00:00-03:00,2025-11-08T22:00:00-03:00,8.97,8.8,0,0,0,0,0
validation,1,2025-11-08T22:00:00-03:00,2025-11-08T23:00:00-03:00,9.07,8.94,0,0,0,0,0
validation,1,2025-11-08T23:00:00-03:00,2025-11-09T00:00:00-03:00,9.08,9.04,0,0,0,0,0
validation,1,2025-11-09T00:00:00-03:00,2025-11-09T01:00:00-03:00,9.08,9.09,0,0,0,0,0
validation,1,2025-11-09T01:00:00-03:00,2025-11-09T02:00:00-03:00,8.99,9.08,0,0,0,0,0
validation,1,2025-11-09T02:00:00-03:00,2025-11-09T03:00:00-03:00,8.87,9.03,0,0,0,0,0
validation,1,2025-11-09T03:00:00-03:00,2025-11-09T04:00:00-03:00,8.71,8.91,0,0,0,0,0
