phase,horizon_h,origin,target_time,actual_m,base_m,aux_missing,rain_amount_missing,rain_coverage_missing,missing45,missing108
validation,1,2025-11-09T04:00:00-03:00,2025-11-09T05:00:00-03:00,8.57,8.76,0,0,0,0,0
validation,1,2025-11-09T05:00:00-03:00,2025-11-09T06:00:00-03:00,8.4,8.59,0,0,0,0,0
validation,1,2025-11-09T06:00:00-03:00,2025-11-09T07:00:00-03:00,8.24,8.44,0,0,0,0,0
validation,1,2025-11-09T07:00:00-03:00,2025-11-09T08:00:00-03:00,8.07,8.29,0,0,0,0,0
validation,1,2025-11-09T08:00:00-03:00,2025-11-09T09:00:00-03:00,7.78,8.12,0,0,0,0,0
validation,1,2025-11-09T09:00:00-03:00,2025-11-09T10:00:00-03:00,7.39,7.87,0,0,0,0,0
validation,1,2025-11-09T10:00:00-03:00,2025-11-09T11:00:00-03:00,7.02,7.48,0,0,0,0,0
validation,2,2025-11-08T06:00:00-03:00,2025-11-08T08:00:00-03:00,7.29,6.48,0,0,0,0,0
validation,2,2025-11-08T07:00:00-03:00,2025-11-08T09:00:00-03:00,7.99,6.65,0,0,0,0,0
validation,2,2025-11-08T08:00:00-03:00,2025-11-08T10:00:00-03:00,8.49,7.12,0,0,0,0,0
validation,2,2025-11-08T09:00:00-03:00,2025-11-08T11:00:00-03:00,8.69,7.82,0,0,0,0,0
validation,2,2025-11-08T10:00:00-03:00,2025-11-08T12:00:00-03:00,8.67,8.38,0,0,0,0,0
validation,2,2025-11-08T11:00:00-03:00,2025-11-08T13:00:00-03:00,8.62,8.66,0,0,0,0,0
validation,2,2025-11-08T12:00:00-03:00,2025-11-08T14:00:00-03:00,8.54,8.68,0,0,0,0,0
validation,2,2025-11-08T13:00:00-03:00,2025-11-08T15:00:00-03:00,8.51,8.63,0,0,0,0,0
validation,2,2025-11-08T14:00:00-03:00,2025-11-08T16:00:00-03:00,8.47,8.56,0,0,0,0,0
validation,2,2025-11-08T15:00:00-03:00,2025-11-08T17:00:00-03:00,8.47,8.52,0,0,0,0,0
validation,2,2025-11-08T16:00:00-03:00,2025-11-08T18:00:00-03:00,8.5,8.46,0,0,0,0,0
validation,2,2025-11-08T17:00:00-03:00,2025-11-08T19:00:00-03:00,8.55,8.45,0,0,0,0,0
validation,2,2025-11-08T18:00:00-03:00,2025-11-08T20:00:00-03:00,8.67,8.49,0,0,0,0,0
validation,2,2025-11-08T19:00:00-03:00,2025-11-08T21:00:00-03:00,8.83,8.54,0,0,0,0,0
validation,2,2025-11-08T20:00:00-03:00,2025-11-08T22:00:00-03:00,8.97,8.63,0,0,0,0,0
validation,2,2025-11-08T21:00:00-03:00,2025-11-08T23:00:00-03:00,9.07,8.8,0,0,0,0,0
validation,2,2025-11-08T22:00:00-03:00,2025-11-09T00:00:00-03:00,9.08,8.94,0,0,0,0,0
validation,2,2025-11-08T23:00:00-03:00,2025-11-09T01:00:00-03:00,9.08,9.04,0,0,0,0,0
validation,2,2025-11-09T00:00:00-03:00,2025-11-09T02:00:00-03:00,8.99,9.09,0,0,0,0,0
validation,2,2025-11-09T01:00:00-03:00,2025-11-09T03:00:00-03:00,8.87,9.08,0,0,0,0,0
validation,2,2025-11-09T02:00:00-03:00,2025-11-09T04:00:00-03:00,8.71,9.03,0,0,0,0,0
validation,2,2025-11-09T03:00:00-03:00,2025-11-09T05:00:00-03:00,8.57,8.91,0,0,0,0,0
validation,2,2025-11-09T04:00:00-03:00,2025-11-09T06:00:00-03:00,8.4,8.76,0,0,0,0,0
validation,2,2025-11-09T05:00:00-03:00,2025-11-09T07:00:00-03:00,8.24,8.59,0,0,0,0,0
validation,2,2025-11-09T06:00:00-03:00,2025-11-09T08:00:00-03:00,8.07,8.44,0,0,0,0,0
validation,2,2025-11-09T07:00:00-03:00,2025-11-09T09:00:00-03:00,7.78,8.29,0,0,0,0,0
validation,2,2025-11-09T08:00:00-03:00,2025-11-09T10:00:00-03:00,7.39,8.12,0,0,0,0,0
validation,2,2025-11-09T09:00:00-03:00,2025-11-09T11:00:00-03:00,7.02,7.87,0,0,0,0,0
validation,3,2025-11-08T05:00:00-03:00,2025-11-08T08:00:00-03:00,7.29,6.56,0,0,0,0,0
validation,3,2025-11-08T06:00:00-03:00,2025-11-08T09:00:00-03:00,7.99,6.48,0,0,0,0,0
validation,3,2025-11-08T07:00:00-03:00,2025-11-08T10:00:00-03:00,8.49,6.65,0,0,0,0,0
validation,3,2025-11-08T08:00:00-03:00,2025-11-08T11:00:00-03:00,8.69,7.12,0,0,0,0,0
validation,3,2025-11-08T09:00:00-03:00,2025-11-08T12:00:00-03:00,8.67,7.82,0,0,0,0,0
validation,3,2025-11-08T10:00:00-03:00,2025-11-08T13:00:00-03:00,8.62,8.38,0,0,0,0,0
validation,3,2025-11-08T11:00:00-03:00,2025-11-08T14:00:00-03:00,8.54,8.66,0,0,0,0,0
validation,3,2025-11-08T12:00:00-03:00,2025-11-08T15:00:00-03:00,8.51,8.68,0,0,0,0,0
validation,3,2025-11-08T13:00:00-03:00,2025-11-08T16:00:00-03:00,8.47,8.63,0,0,0,0,0
validation,3,2025-11-08T14:00:00-03:00,2025-11-08T17:00:00-03:00,8.47,8.56,0,0,0,0,0
validation,3,2025-11-08T15:00:00-03:00,2025-11-08T18:00:00-03:00,8.5,8.52,0,0,0,0,0
validation,3,2025-11-08T16:00:00-03:00,2025-11-08T19:00:00-03:00,8.55,8.46,0,0,0,0,0
validation,3,2025-11-08T17:00:00-03:00,2025-11-08T20:00:00-03:00,8.67,8.45,0,0,0,0,0
validation,3,2025-11-08T18:00:00-03:00,2025-11-08T21:00:00-03:00,8.83,8.49,0,0,0,0,0
validation,3,2025-11-08T19:00:00-03:00,2025-11-08T22:00:00-03:00,8.97,8.54,0,0,0,0,0
validation,3,2025-11-08T20:00:00-03:00,2025-11-08T23:00:00-03:00,9.07,8.63,0,0,0,0,0
validation,3,2025-11-08T21:00:00-03:00,2025-11-09T00:00:00-03:00,9.08,8.8,0,0,0,0,0
validation,3,2025-11-08T22:00:00-03:00,2025-11-09T01:00:00-03:00,9.08,8.94,0,0,0,0,0
validation,3,2025-11-08T23:00:00-03:00,2025-11-09T02:00:00-03:00,8.99,9.04,0,0,0,0,0
validation,3,2025-11-09T00:00:00-03:00,2025-11-09T03:00:00-03:00,8.87,9.09,0,0,0,0,0
validation,3,2025-11-09T01:00:00-03:00,2025-11-09T04:00:00-03:00,8.71,9.08,0,0,0,0,0
validation,3,2025-11-09T02:00:00-03:00,2025-11-09T05:00:00-03:00,8.57,9.03,0,0,0,0,0
validation,3,2025-11-09T03:00:00-03:00,2025-11-09T06:00:00-03:00,8.4,8.91,0,0,0,0,0
validation,3,2025-11-09T04:00:00-03:00,2025-11-09T07:00:00-03:00,8.24,8.76,0,0,0,0,0
validation,3,2025-11-09T05:00:00-03:00,2025-11-09T08:00:00-03:00,8.07,8.59,0,0,0,0,0
validation,3,2025-11-09T06:00:00-03:00,2025-11-09T09:00:00-03:00,7.78,8.44,0,0,0,0,0
validation,3,2025-11-09T07:00:00-03:00,2025-11-09T10:00:00-03:00,7.39,8.29,0,0,0,0,0
validation,3,2025-11-09T08:00:00-03:00,2025-11-09T11:00:00-03:00,7.02,8.12,0,0,0,0,0
validation,4,2025-11-08T04:00:00-03:00,2025-11-08T08:00:00-03:00,7.29,6.65,0,0,0,0,0
validation,4,2025-11-08T05:00:00-03:00,2025-11-08T09:00:00-03:00,7.99,6.56,0,0,0,0,0
validation,4,2025-11-08T06:00:00-03:00,2025-11-08T10:00:00-03:00,8.49,6.48,0,0,0,0,0
validation,4,2025-11-08T07:00:00-03:00,2025-11-08T11:00:00-03:00,8.69,6.65,0,0,0,0,0
validation,4,2025-11-08T08:00:00-03:00,2025-11-08T12:00:00-03:00,8.67,7.12,0,0,0,0,0
validation,4,2025-11-08T09:00:00-03:00,2025-11-08T13:00:00-03:00,8.62,7.82,0,0,0,0,0
validation,4,2025-11-08T10:00:00-03:00,2025-11-08T14:00:00-03:00,8.54,8.38,0,0,0,0,0
validation,4,2025-11-08T11:00:00-03:00,2025-11-08T15:00:00-03:00,8.51,8.66,0,0,0,0,0
validation,4,2025-11-08T12:00:00-03:00,2025-11-08T16:00:00-03:00,8.47,8.68,0,0,0,0,0
validation,4,2025-11-08T13:00:00-03:00,2025-11-08T17:00:00-03:00,8.47,8.63,0,0,0,0,0
validation,4,2025-11-08T14:00:00-03:00,2025-11-08T18:00:00-03:00,8.5,8.56,0,0,0,0,0
validation,4,2025-11-08T15:00:00-03:00,2025-11-08T19:00:00-03:00,8.55,8.52,0,0,0,0,0
validation,4,2025-11-08T16:00:00-03:00,2025-11-08T20:00:00-03:00,8.67,8.46,0,0,0,0,0
validation,4,2025-11-08T17:00:00-03:00,2025-11-08T21:00:00-03:00,8.83,8.45,0,0,0,0,0
validation,4,2025-11-08T18:00:00-03:00,2025-11-08T22:00:00-03:00,8.97,8.49,0,0,0,0,0
validation,4,2025-11-08T19:00:00-03:00,2025-11-08T23:00:00-03:00,9.07,8.54,0,0,0,0,0
validation,4,2025-11-08T20:00:00-03:00,2025-11-09T00:00:00-03:00,9.08,8.63,0,0,0,0,0
validation,4,2025-11-08T21:00:00-03:00,2025-11-09T01:00:00-03:00,9.08,8.8,0,0,0,0,0
validation,4,2025-11-08T22:00:00-03:00,2025-11-09T02:00:00-03:00,8.99,8.94,0,0,0,0,0
validation,4,2025-11-08T23:00:00-03:00,2025-11-09T03:00:00-03:00,8.87,9.04,0,0,0,0,0
validation,4,2025-11-09T00:00:00-03:00,2025-11-09T04:00:00-03:00,8.71,9.09,0,0,0,0,0
validation,4,2025-11-09T01:00:00-03:00,2025-11-09T05:00:00-03:00,8.57,9.08,0,0,0,0,0
validation,4,2025-11-09T02:00:00-03:00,2025-11-09T06:00:00-03:00,8.4,9.03,0,0,0,0,0
validation,4,2025-11-09T03:00:00-03:00,2025-11-09T07:00:00-03:00,8.24,8.91,0,0,0,0,0
validation,4,2025-11-09T04:00:00-03:00,2025-11-09T08:00:00-03:00,8.07,8.76,0,0,0,0,0
validation,4,2025-11-09T05:00:00-03:00,2025-11-09T09:00:00-03:00,7.78,8.59,0,0,0,0,0
validation,4,2025-11-09T06:00:00-03:00,2025-11-09T10:00:00-03:00,7.39,8.44,0,0,0,0,0
validation,4,2025-11-09T07:00:00-03:00,2025-11-09T11:00:00-03:00,7.02,8.29,0,0,0,0,0
validation,5,2025-11-08T03:00:00-03:00,2025-11-08T08:00:00-03:00,7.29,6.68,0,0,0,0,0
validation,5,2025-11-08T04:00:00-03:00,2025-11-08T09:00:00-03:00,7.99,6.65,0,0,0,0,0
validation,5,2025-11-08T05:00:00-03:00,2025-11-08T10:00:00-03:00,8.49,6.56,0,0,0,0,0
validation,5,2025-11-08T06:00:00-03:00,2025-11-08T11:00:00-03:00,8.69,6.48,0,0,0,0,0
validation,5,2025-11-08T07:00:00-03:00,2025-11-08T12:00:00-03:00,8.67,6.65,0,0,0,0,0
validation,5,2025-11-08T08:00:00-03:00,2025-11-08T13:00:00-03:00,8.62,7.12,0,0,0,0,0
validation,5,2025-11-08T09:00:00-03:00,2025-11-08T14:00:00-03:00,8.54,7.82,0,0,0,0,0
validation,5,2025-11-08T10:00:00-03:00,2025-11-08T15:00:00-03:00,8.51,8.38,0,0,0,0,0
validation,5,2025-11-08T11:00:00-03:00,2025-11-08T16:00:00-03:00,8.47,8.66,0,0,0,0,0
validation,5,2025-11-08T12:00:00-03:00,2025-11-08T17:00:00-03:00,8.47,8.68,0,0,0,0,0
validation,5,2025-11-08T13:00:00-03:00,2025-11-08T18:00:00-03:00,8.5,8.63,0,0,0,0,0
validation,5,2025-11-08T14:00:00-03:00,2025-11-08T19:00:00-03:00,8.55,8.56,0,0,0,0,0
validation,5,2025-11-08T15:00:00-03:00,2025-11-08T20:00:00-03:00,8.67,8.52,0,0,0,0,0
validation,5,2025-11-08T16:00:00-03:00,2025-11-08T21:00:00-03:00,8.83,8.46,0,0,0,0,0
validation,5,2025-11-08T17:00:00-03:00,2025-11-08T22:00:00-03:00,8.97,8.45,0,0,0,0,0
validation,5,2025-11-08T18:00:00-03:00,2025-11-08T23:00:00-03:00,9.07,8.49,0,0,0,0,0
validation,5,2025-11-08T19:00:00-03:00,2025-11-09T00:00:00-03:00,9.08,8.54,0,0,0,0,0
validation,5,2025-11-08T20:00:00-03:00,2025-11-09T01:00:00-03:00,9.08,8.63,0,0,0,0,0
validation,5,2025-11-08T21:00:00-03:00,2025-11-09T02:00:00-03:00,8.99,8.8,0,0,0,0,0
validation,5,2025-11-08T22:00:00-03:00,2025-11-09T03:00:00-03:00,8.87,8.94,0,0,0,0,0
validation,5,2025-11-08T23:00:00-03:00,2025-11-09T04:00:00-03:00,8.71,9.04,0,0,0,0,0
validation,5,2025-11-09T00:00:00-03:00,2025-11-09T05:00:00-03:00,8.57,9.09,0,0,0,0,0
validation,5,2025-11-09T01:00:00-03:00,2025-11-09T06:00:00-03:00,8.4,9.08,0,0,0,0,0
validation,5,2025-11-09T02:00:00-03:00,2025-11-09T07:00:00-03:00,8.24,9.03,0,0,0,0,0
validation,5,2025-11-09T03:00:00-03:00,2025-11-09T08:00:00-03:00,8.07,8.91,0,0,0,0,0
validation,5,2025-11-09T04:00:00-03:00,2025-11-09T09:00:00-03:00,7.78,8.76,0,0,0,0,0
validation,5,2025-11-09T05:00:00-03:00,2025-11-09T10:00:00-03:00,7.39,8.59,0,0,0,0,0
validation,5,2025-11-09T06:00:00-03:00,2025-11-09T11:00:00-03:00,7.02,8.44,0,0,0,0,0
validation,6,2025-11-08T02:00:00-03:00,2025-11-08T08:00:00-03:00,7.29,6.51,0,0,0,0,0
validation,6,2025-11-08T03:00:00-03:00,2025-11-08T09:00:00-03:00,7.99,6.68,0,0,0,0,0
validation,6,2025-11-08T04:00:00-03:00,2025-11-08T10:00:00-03:00,8.49,6.65,0,0,0,0,0
validation,6,2025-11-08T05:00:00-03:00,2025-11-08T11:00:00-03:00,8.69,6.56,0,0,0,0,0
validation,6,2025-11-08T06:00:00-03:00,2025-11-08T12:00:00-03:00,8.67,6.48,0,0,0,0,0
validation,6,2025-11-08T07:00:00-03:00,2025-11-08T13:00:00-03:00,8.62,6.65,0,0,0,0,0
validation,6,2025-11-08T08:00:00-03:00,2025-11-08T14:00:00-03:00,8.54,7.12,0,0,0,0,0
validation,6,2025-11-08T09:00:00-03:00,2025-11-08T15:00:00-03:00,8.51,7.82,0,0,0,0,0
validation,6,2025-11-08T10:00:00-03:00,2025-11-08T16:00:00-03:00,8.47,8.38,0,0,0,0,0
validation,6,2025-11-08T11:00:00-03:00,2025-11-08T17:00:00-03:00,8.47,8.66,0,0,0,0,0
validation,6,2025-11-08T12:00:00-03:00,2025-11-08T18:00:00-03:00,8.5,8.68,0,0,0,0,0
validation,6,2025-11-08T13:00:00-03:00,2025-11-08T19:00:00-03:00,8.55,8.63,0,0,0,0,0
validation,6,2025-11-08T14:00:00-03:00,2025-11-08T20:00:00-03:00,8.67,8.56,0,0,0,0,0
validation,6,2025-11-08T15:00:00-03:00,2025-11-08T21:00:00-03:00,8.83,8.52,0,0,0,0,0
validation,6,2025-11-08T16:00:00-03:00,2025-11-08T22:00:00-03:00,8.97,8.46,0,0,0,0,0
validation,6,2025-11-08T17:00:00-03:00,2025-11-08T23:00:00-03:00,9.07,8.45,0,0,0,0,0
validation,6,2025-11-08T18:00:00-03:00,2025-11-09T00:00:00-03:00,9.08,8.49,0,0,0,0,0
validation,6,2025-11-08T19:00:00-03:00,2025-11-09T01:00:00-03:00,9.08,8.54,0,0,0,0,0
validation,6,2025-11-08T20:00:00-03:00,2025-11-09T02:00:00-03:00,8.99,8.63,0,0,0,0,0
validation,6,2025-11-08T21:00:00-03:00,2025-11-09T03:00:00-03:00,8.87,8.8,0,0,0,0,0
validation,6,2025-11-08T22:00:00-03:00,2025-11-09T04:00:00-03:00,8.71,8.94,0,0,0,0,0
validation,6,2025-11-08T23:00:00-03:00,2025-11-09T05:00:00-03:00,8.57,9.04,0,0,0,0,0
validation,6,2025-11-09T00:00:00-03:00,2025-11-09T06:00:00-03:00,8.4,9.09,0,0,0,0,0
validation,6,2025-11-09T01:00:00-03:00,2025-11-09T07:00:00-03:00,8.24,9.08,0,0,0,0,0
validation,6,2025-11-09T02:00:00-03:00,2025-11-09T08:00:00-03:00,8.07,9.03,0,0,0,0,0
validation,6,2025-11-09T03:00:00-03:00,2025-11-09T09:00:00-03:00,7.78,8.91,0,0,0,0,0
validation,6,2025-11-09T04:00:00-03:00,2025-11-09T10:00:00-03:00,7.39,8.76,0,0,0,0,0
validation,6,2025-11-09T05:00:00-03:00,2025-11-09T11:00:00-03:00,7.02,8.59,0,0,0,0,0
validation,7,2025-11-08T01:00:00-03:00,2025-11-08T08:00:00-03:00,7.29,5.93,0,0,0,0,0
validation,7,2025-11-08T02:00:00-03:00,2025-11-08T09:00:00-03:00,7.99,6.51,0,0,0,0,0
validation,7,2025-11-08T03:00:00-03:00,2025-11-08T10:00:00-03:00,8.49,6.68,0,0,0,0,0
validation,7,2025-11-08T04:00:00-03:00,2025-11-08T11:00:00-03:00,8.69,6.65,0,0,0,0,0
validation,7,2025-11-08T05:00:00-03:00,2025-11-08T12:00:00-03:00,8.67,6.56,0,0,0,0,0
validation,7,2025-11-08T06:00:00-03:00,2025-11-08T13:00:00-03:00,8.62,6.48,0,0,0,0,0
validation,7,2025-11-08T07:00:00-03:00,2025-11-08T14:00:00-03:00,8.54,6.65,0,0,0,0,0
validation,7,2025-11-08T08:00:00-03:00,2025-11-08T15:00:00-03:00,8.51,7.12,0,0,0,0,0
validation,7,2025-11-08T09:00:00-03:00,2025-11-08T16:00:00-03:00,8.47,7.82,0,0,0,0,0
validation,7,2025-11-08T10:00:00-03:00,2025-11-08T17:00:00-03:00,8.47,8.38,0,0,0,0,0
validation,7,2025-11-08T11:00:00-03:00,2025-11-08T18:00:00-03:00,8.5,8.66,0,0,0,0,0
validation,7,2025-11-08T12:00:00-03:00,2025-11-08T19:00:00-03:00,8.55,8.68,0,0,0,0,0
validation,7,2025-11-08T13:00:00-03:00,2025-11-08T20:00:00-03:00,8.67,8.63,0,0,0,0,0
validation,7,2025-11-08T14:00:00-03:00,2025-11-08T21:00:00-03:00,8.83,8.56,0,0,0,0,0
validation,7,2025-11-08T15:00:00-03:00,2025-11-08T22:00:00-03:00,8.97,8.52,0,0,0,0,0
validation,7,2025-11-08T16:00:00-03:00,2025-11-08T23:00:00-03:00,9.07,8.46,0,0,0,0,0
validation,7,2025-11-08T17:00:00-03:00,2025-11-09T00:00:00-03:00,9.08,8.45,0,0,0,0,0
validation,7,2025-11-08T18:00:00-03:00,2025-11-09T01:00:00-03:00,9.08,8.49,0,0,0,0,0
validation,7,2025-11-08T19:00:00-03:00,2025-11-09T02:00:00-03:00,8.99,8.54,0,0,0,0,0
validation,7,2025-11-08T20:00:00-03:00,2025-11-09T03:00:00-03:00,8.87,8.63,0,0,0,0,0
validation,7,2025-11-08T21:00:00-03:00,2025-11-09T04:00:00-03:00,8.71,8.8,0,0,0,0,0
validation,7,2025-11-08T22:00:00-03:00,2025-11-09T05:00:00-03:00,8.57,8.94,0,0,0,0,0
validation,7,2025-11-08T23:00:00-03:00,2025-11-09T06:00:00-03:00,8.4,9.04,0,0,0,0,0
validation,7,2025-11-09T00:00:00-03:00,2025-11-09T07:00:00-03:00,8.24,9.09,0,0,0,0,0
validation,7,2025-11-09T01:00:00-03:00,2025-11-09T08:00:00-03:00,8.07,9.08,0,0,0,0,0
validation,7,2025-11-09T02:00:00-03:00,2025-11-09T09:00:00-03:00,7.78,9.03,0,0,0,0,0
validation,7,2025-11-09T03:00:00-03:00,2025-11-09T10:00:00-03:00,7.39,8.91,0,0,0,0,0
validation,7,2025-11-09T04:00:00-03:00,2025-11-09T11:00:00-03:00,7.02,8.76,0,0,0,0,0
validation,8,2025-11-08T00:00:00-03:00,2025-11-08T08:00:00-03:00,7.29,5.08,0,0,0,0,0
validation,8,2025-11-08T01:00:00-03:00,2025-11-08T09:00:00-03:00,7.99,5.93,0,0,0,0,0
validation,8,2025-11-08T02:00:00-03:00,2025-11-08T10:00:00-03:00,8.49,6.51,0,0,0,0,0
validation,8,2025-11-08T03:00:00-03:00,2025-11-08T11:00:00-03:00,8.69,6.68,0,0,0,0,0
validation,8,2025-11-08T04:00:00-03:00,2025-11-08T12:00:00-03:00,8.67,6.65,0,0,0,0,0
validation,8,2025-11-08T05:00:00-03:00,2025-11-08T13:00:00-03:00,8.62,6.56,0,0,0,0,0
validation,8,2025-11-08T06:00:00-03:00,2025-11-08T14:00:00-03:00,8.54,6.48,0,0,0,0,0
validation,8,2025-11-08T07:00:00-03:00,2025-11-08T15:00:00-03:00,8.51,6.65,0,0,0,0,0
validation,8,2025-11-08T08:00:00-03:00,2025-11-08T16:00:00-03:00,8.47,7.12,0,0,0,0,0
validation,8,2025-11-08T09:00:00-03:00,2025-11-08T17:00:00-03:00,8.47,7.82,0,0,0,0,0
validation,8,2025-11-08T10:00:00-03:00,2025-11-08T18:00:00-03:00,8.5,8.38,0,0,0,0,0
validation,8,2025-11-08T11:00:00-03:00,2025-11-08T19:00:00-03:00,8.55,8.66,0,0,0,0,0
validation,8,2025-11-08T12:00:00-03:00,2025-11-08T20:00:00-03:00,8.67,8.68,0,0,0,0,0
validation,8,2025-11-08T13:00:00-03:00,2025-11-08T21:00:00-03:00,8.83,8.63,0,0,0,0,0
validation,8,2025-11-08T14:00:00-03:00,2025-11-08T22:00:00-03:00,8.97,8.56,0,0,0,0,0
validation,8,2025-11-08T15:00:00-03:00,2025-11-08T23:00:00-03:00,9.07,8.52,0,0,0,0,0
validation,8,2025-11-08T16:00:00-03:00,2025-11-09T00:00:00-03:00,9.08,8.46,0,0,0,0,0
validation,8,2025-11-08T17:00:00-03:00,2025-11-09T01:00:00-03:00,9.08,8.45,0,0,0,0,0
validation,8,2025-11-08T18:00:00-03:00,2025-11-09T02:00:00-03:00,8.99,8.49,0,0,0,0,0
validation,8,2025-11-08T19:00:00-03:00,2025-11-09T03:00:00-03:00,8.87,8.54,0,0,0,0,0
validation,8,2025-11-08T20:00:00-03:00,2025-11-09T04:00:00-03:00,8.71,8.63,0,0,0,0,0
validation,8,2025-11-08T21:00:00-03:00,2025-11-09T05:00:00-03:00,8.57,8.8,0,0,0,0,0
validation,8,2025-11-08T22:00:00-03:00,2025-11-09T06:00:00-03:00,8.4,8.94,0,0,0,0,0
validation,8,2025-11-08T23:00:00-03:00,2025-11-09T07:00:00-03:00,8.24,9.04,0,0,0,0,0
validation,8,2025-11-09T00:00:00-03:00,2025-11-09T08:00:00-03:00,8.07,9.09,0,0,0,0,0
validation,8,2025-11-09T01:00:00-03:00,2025-11-09T09:00:00-03:00,7.78,9.08,0,0,0,0,0
validation,8,2025-11-09T02:00:00-03:00,2025-11-09T10:00:00-03:00,7.39,9.03,0,0,0,0,0
validation,8,2025-11-09T03:00:00-03:00,2025-11-09T11:00:00-03:00,7.02,8.91,0,0,0,0,0
validation,9,2025-11-07T23:00:00-03:00,2025-11-08T08:00:00-03:00,7.29,4.08,0,0,0,0,0
validation,9,2025-11-08T00:00:00-03:00,2025-11-08T09:00:00-03:00,7.99,5.08,0,0,0,0,0
validation,9,2025-11-08T01:00:00-03:00,2025-11-08T10:00:00-03:00,8.49,5.93,0,0,0,0,0
validation,9,2025-11-08T02:00:00-03:00,2025-11-08T11:00:00-03:00,8.69,6.51,0,0,0,0,0
validation,9,2025-11-08T03:00:00-03:00,2025-11-08T12:00:00-03:00,8.67,6.68,0,0,0,0,0
validation,9,2025-11-08T04:00:00-03:00,2025-11-08T13:00:00-03:00,8.62,6.65,0,0,0,0,0
validation,9,2025-11-08T05:00:00-03:00,2025-11-08T14:00:00-03:00,8.54,6.56,0,0,0,0,0
validation,9,2025-11-08T06:00:00-03:00,2025-11-08T15:00:00-03:00,8.51,6.48,0,0,0,0,0
validation,9,2025-11-08T07:00:00-03:00,2025-11-08T16:00:00-03:00,8.47,6.65,0,0,0,0,0
validation,9,2025-11-08T08:00:00-03:00,2025-11-08T17:00:00-03:00,8.47,7.12,0,0,0,0,0
validation,9,2025-11-08T09:00:00-03:00,2025-11-08T18:00:00-03:00,8.5,7.82,0,0,0,0,0
validation,9,2025-11-08T10:00:00-03:00,2025-11-08T19:00:00-03:00,8.55,8.38,0,0,0,0,0
validation,9,2025-11-08T11:00:00-03:00,2025-11-08T20:00:00-03:00,8.67,8.66,0,0,0,0,0
validation,9,2025-11-08T12:00:00-03:00,2025-11-08T21:00:00-03:00,8.83,8.68,0,0,0,0,0
validation,9,2025-11-08T13:00:00-03:00,2025-11-08T22:00:00-03:00,8.97,8.63,0,0,0,0,0
validation,9,2025-11-08T14:00:00-03:00,2025-11-08T23:00:00-03:00,9.07,8.56,0,0,0,0,0
validation,9,2025-11-08T15:00:00-03:00,2025-11-09T00:00:00-03:00,9.08,8.52,0,0,0,0,0
validation,9,2025-11-08T16:00:00-03:00,2025-11-09T01:00:00-03:00,9.08,8.46,0,0,0,0,0
validation,9,2025-11-08T17:00:00-03:00,2025-11-09T02:00:00-03:00,8.99,8.45,0,0,0,0,0
