station,regions,cycle1_rain_last,cycle1_rain_delay_minutes,cycle1_steps,cycle1_level_delay_minutes,cycle2_rain_last,cycle2_rain_delay_minutes,cycle2_steps,cycle2_level_delay_minutes,steps_delta
86060010,Alto Antas;Tainhas,2026-09-21T08:00:00-03:00,1020.0,68,1020.0,2026-09-21T08:00:00-03:00,1080.0,72,1080.0,4
86099000,Alto Antas;Tainhas,2026-09-22T00:00:00-03:00,60.0,4,60.0,2026-09-22T01:00:00-03:00,60.0,4,60.0,0
86102000,Alto Antas;Tainhas,2026-09-21T10:00:00-03:00,900.0,60,900.0,2026-09-21T10:00:00-03:00,960.0,64,960.0,4
86117000,Alto Antas,2026-09-22T00:00:00-03:00,60.0,4,60.0,2026-09-22T01:00:00-03:00,60.0,4,60.0,0
86125000,Prata-Turvo;Alto Antas,2026-09-21T11:59:00-03:00,781.0,52,781.0,2026-09-21T11:59:00-03:00,841.0,56,841.0,4
86125050,Prata-Turvo,2026-09-22T00:00:00-03:00,60.0,4,60.0,2026-09-22T01:00:00-03:00,60.0,4,60.0,0
86160000,Alto Antas;Tainhas,2026-09-21T23:45:00-03:00,75.0,5,75.0,2026-09-22T00:45:00-03:00,75.0,5,75.0,0
86163000,Alto Antas,2026-09-22T00:00:00-03:00,60.0,4,60.0,2026-09-22T01:00:00-03:00,60.0,4,60.0,0
86200900,Alto Antas,2026-09-21T11:00:00-03:00,840.0,56,780.0,2026-09-21T11:00:00-03:00,900.0,60,840.0,4
86280500,Alto Antas,2026-09-22T00:00:00-03:00,60.0,4,60.0,2026-09-22T01:00:00-03:00,60.0,4,60.0,0
86298000,Alto Antas,2026-09-21T19:00:00-03:00,360.0,24,360.0,2026-09-21T19:00:00-03:00,420.0,28,420.0,4
86403000,Carreiro;Prata-Turvo,2026-09-21T23:00:00-03:00,120.0,8,120.0,2026-09-22T01:00:00-03:00,60.0,4,60.0,-4
86410800,Baixo Antas;Carreiro;Prata-Turvo;Alto Antas,2026-09-22T00:00:00-03:00,60.0,4,60.0,2026-09-22T01:00:00-03:00,60.0,4,60.0,0
86447000,Baixo Antas;Prata-Turvo;Alto Antas,2026-09-22T00:00:00-03:00,60.0,4,60.0,2026-09-22T01:00:00-03:00,60.0,4,60.0,0
86448000,Baixo Antas;Alto Antas,2026-09-21T19:00:00-03:00,360.0,24,360.0,2026-09-21T19:00:00-03:00,420.0,28,420.0,4
86450000,Baixo Antas;Alto Antas,2026-09-21T22:15:00-03:00,165.0,11,165.0,2026-09-21T23:15:00-03:00,165.0,11,165.0,0
86471000,Baixo Antas;Carreiro,2026-09-22T00:30:00-03:00,30.0,2,30.0,2026-09-22T01:30:00-03:00,30.0,2,30.0,0
86472000,Baixo Antas;Carreiro,2026-09-22T00:30:00-03:00,30.0,2,30.0,2026-09-22T01:30:00-03:00,30.0,2,30.0,0
86472600,Baixo Antas,2026-09-21T23:45:00-03:00,75.0,5,75.0,2026-09-22T00:45:00-03:00,75.0,5,75.0,0
86479000,Carreiro;Prata-Turvo,2026-09-22T00:00:00-03:00,60.0,4,60.0,2026-09-22T01:00:00-03:00,60.0,4,60.0,0
86488000,Carreiro;Prata-Turvo,2026-09-22T00:00:00-03:00,60.0,4,60.0,2026-09-22T01:00:00-03:00,60.0,4,60.0,0
86493000,Carreiro,2026-09-22T00:00:00-03:00,60.0,4,60.0,2026-09-22T01:00:00-03:00,60.0,4,60.0,0
86495500,Carreiro,2026-09-22T00:00:00-03:00,60.0,4,60.0,2026-09-22T01:00:00-03:00,60.0,4,60.0,0
86500000,Carreiro,2026-09-22T00:30:00-03:00,30.0,2,30.0,2026-09-22T01:30:00-03:00,30.0,2,30.0,0
86504900,Carreiro,2026-09-22T00:00:00-03:00,60.0,4,60.0,2026-09-22T01:00:00-03:00,60.0,4,60.0,0
86505500,Baixo Antas;Carreiro,2026-09-22T00:00:00-03:00,60.0,4,60.0,2026-09-22T01:00:00-03:00,60.0,4,60.0,0
86510000,Baixo Antas,2026-09-22T00:30:00-03:00,30.0,2,30.0,2026-09-22T01:30:00-03:00,30.0,2,30.0,0
