origin,horizon_h,family,recomputed_m,saved_m,difference_m,passed
2026-07-01T00:00:00-03:00,1,reference,4.502797969511366,4.502797969511366,0.0,True
2026-07-01T00:00:00-03:00,1,observed_julho,,,,True
2026-07-01T00:00:00-03:00,1,observed_carreiro,4.502797969511366,4.502797969511366,0.0,True
2026-07-01T00:00:00-03:00,1,observed_both,,,,True
2026-07-01T00:00:00-03:00,2,reference,4.418716677172805,4.418716677172805,0.0,True
2026-07-01T00:00:00-03:00,2,observed_julho,,,,True
2026-07-01T00:00:00-03:00,2,observed_carreiro,4.418716677172805,4.418716677172805,0.0,True
2026-07-01T00:00:00-03:00,2,observed_both,,,,True
2026-07-01T00:00:00-03:00,3,reference,4.344639072789667,4.344639072789667,0.0,True
2026-07-01T00:00:00-03:00,3,observed_julho,,,,True
2026-07-01T00:00:00-03:00,3,observed_carreiro,4.344639072789667,4.344639072789667,0.0,True
2026-07-01T00:00:00-03:00,3,observed_both,,,,True
2026-07-01T00:00:00-03:00,4,reference,4.254399881752281,4.254399881752281,0.0,True
2026-07-01T00:00:00-03:00,4,observed_julho,,,,True
2026-07-01T00:00:00-03:00,4,observed_carreiro,,,,True
2026-07-01T00:00:00-03:00,4,observed_both,,,,True
2026-07-01T00:00:00-03:00,5,reference,4.167654069129796,4.167654069129796,0.0,True
2026-07-01T00:00:00-03:00,5,observed_julho,,,,True
2026-07-01T00:00:00-03:00,5,observed_carreiro,,,,True
2026-07-01T00:00:00-03:00,5,observed_both,,,,True
2026-07-01T00:00:00-03:00,6,reference,4.0890490921462375,4.0890490921462375,0.0,True
2026-07-01T00:00:00-03:00,6,observed_julho,,,,True
2026-07-01T00:00:00-03:00,6,observed_carreiro,,,,True
2026-07-01T00:00:00-03:00,6,observed_both,,,,True
2026-07-01T00:00:00-03:00,7,reference,4.027565711177895,4.027565711177895,0.0,True
2026-07-01T00:00:00-03:00,7,observed_julho,,,,True
2026-07-01T00:00:00-03:00,7,observed_carreiro,,,,True
2026-07-01T00:00:00-03:00,7,observed_both,,,,True
2026-07-01T00:00:00-03:00,8,reference,3.9860269684322276,3.9860269684322276,0.0,True
2026-07-01T00:00:00-03:00,8,observed_julho,,,,True
2026-07-01T00:00:00-03:00,8,observed_carreiro,,,,True
2026-07-01T00:00:00-03:00,8,observed_both,,,,True
2026-07-01T00:00:00-03:00,9,reference,3.9793509467797588,3.9793509467797588,0.0,True
2026-07-01T00:00:00-03:00,9,observed_julho,,,,True
2026-07-01T00:00:00-03:00,9,observed_carreiro,,,,True
2026-07-01T00:00:00-03:00,9,observed_both,,,,True
2026-07-01T00:00:00-03:00,10,reference,3.9968972889388352,3.9968972889388352,0.0,True
