horizon_h,subset,population,family,observed_targets,n,excluded_n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
1,all,individual,reference,1944,1938,6,1891,0.9757481940144479,0.13826727113885037,0.00480677764018576,0.33808667884870325,0.5194563237253604,1.3363363795546643
1,all,individual,observed_julho,1944,1826,118,1786,0.9780941949616648,0.1441235699244393,0.005961971365155844,0.3400280547445558,0.5113897793716107,1.330263350479366
1,all,individual,observed_carreiro,1944,1938,6,1891,0.9757481940144479,0.13826727113885037,0.00480677764018576,0.33808667884870325,0.5194563237253604,1.3363363795546643
1,all,individual,observed_both,1944,1826,118,1786,0.9780941949616648,0.1441235699244393,0.005961971365155844,0.3400280547445558,0.5113897793716107,1.330263350479366
1,all,common_four,reference,1944,1826,118,1784,0.976998904709748,0.13620778310128714,0.008615846179695161,0.33383898622133246,0.5089291904406665,1.3363363795546643
1,all,common_four,observed_julho,1944,1826,118,1786,0.9780941949616648,0.1441235699244393,0.005961971365155844,0.3400280547445558,0.5113897793716107,1.330263350479366
1,all,common_four,observed_carreiro,1944,1826,118,1784,0.976998904709748,0.13620778310128714,0.008615846179695161,0.33383898622133246,0.5089291904406665,1.3363363795546643
1,all,common_four,observed_both,1944,1826,118,1786,0.9780941949616648,0.1441235699244393,0.005961971365155844,0.3400280547445558,0.5113897793716107,1.330263350479366
1,high,individual,reference,237,235,2,216,0.9191489361702128,0.20939758909623613,0.09118680180342129,0.46690376255440635,0.785805350933425,1.3363363795546643
1,high,individual,observed_julho,237,225,12,208,0.9244444444444444,0.20480987017464725,0.09502981641489286,0.4744029358902924,0.7532920536206247,1.330263350479366
1,high,individual,observed_carreiro,237,235,2,216,0.9191489361702128,0.20939758909623613,0.09118680180342129,0.46690376255440635,0.785805350933425,1.3363363795546643
1,high,individual,observed_both,237,225,12,208,0.9244444444444444,0.20480987017464725,0.09502981641489286,0.4744029358902924,0.7532920536206247,1.330263350479366
1,high,common_four,reference,237,225,12,207,0.92,0.20777556898186586,0.09290643075478638,0.46690376255440635,0.7240126655358717,1.3363363795546643
1,high,common_four,observed_julho,237,225,12,208,0.9244444444444444,0.20480987017464725,0.09502981641489286,0.4744029358902924,0.7532920536206247,1.330263350479366
1,high,common_four,observed_carreiro,237,225,12,207,0.92,0.20777556898186586,0.09290643075478638,0.46690376255440635,0.7240126655358717,1.3363363795546643
1,high,common_four,observed_both,237,225,12,208,0.9244444444444444,0.20480987017464725,0.09502981641489286,0.4744029358902924,0.7532920536206247,1.330263350479366
2,all,individual,reference,1943,1935,8,1720,0.8888888888888888,0.2116940232787009,0.009647598896085987,0.5225611023169295,0.8086405684490644,2.1256756873033744
2,all,individual,observed_julho,1943,1744,199,1540,0.8830275229357798,0.22575537297197887,0.013379958769299306,0.5319871967771828,0.770145938460045,1.9499902188050875
2,all,individual,observed_carreiro,1943,1935,8,1720,0.8888888888888888,0.2116940232787009,0.009647598896085987,0.5225611023169295,0.8086405684490644,2.1256756873033744
2,all,individual,observed_both,1943,1744,199,1540,0.8830275229357798,0.22575537297197887,0.013379958769299306,0.5319871967771828,0.770145938460045,1.9499902188050875
2,all,common_four,reference,1943,1744,199,1559,0.8939220183486238,0.2059180864545117,0.022779805332810068,0.5123363615522978,0.7798112958553253,2.1256756873033744
2,all,common_four,observed_julho,1943,1744,199,1540,0.8830275229357798,0.22575537297197887,0.013379958769299306,0.5319871967771828,0.770145938460045,1.9499902188050875
2,all,common_four,observed_carreiro,1943,1744,199,1559,0.8939220183486238,0.2059180864545117,0.022779805332810068,0.5123363615522978,0.7798112958553253,2.1256756873033744
2,all,common_four,observed_both,1943,1744,199,1540,0.8830275229357798,0.22575537297197887,0.013379958769299306,0.5319871967771828,0.770145938460045,1.9499902188050875
2,high,individual,reference,237,235,2,174,0.7404255319148936,0.3389290233565138,0.14920058877153652,0.777187118768051,1.0328663101400746,2.1256756873033744
2,high,individual,observed_julho,237,215,22,161,0.7488372093023256,0.321078356107941,0.16128537503014584,0.7608335197807683,0.9559287775442543,1.9499902188050875
2,high,individual,observed_carreiro,237,235,2,174,0.7404255319148936,0.3389290233565138,0.14920058877153652,0.777187118768051,1.0328663101400746,2.1256756873033744
2,high,individual,observed_both,237,215,22,161,0.7488372093023256,0.321078356107941,0.16128537503014584,0.7608335197807683,0.9559287775442543,1.9499902188050875
2,high,common_four,reference,237,215,22,158,0.7348837209302326,0.3326828488426174,0.1570828485554245,0.777187118768051,0.9930693532412233,2.1256756873033744
2,high,common_four,observed_julho,237,215,22,161,0.7488372093023256,0.321078356107941,0.16128537503014584,0.7608335197807683,0.9559287775442543,1.9499902188050875
2,high,common_four,observed_carreiro,237,215,22,158,0.7348837209302326,0.3326828488426174,0.1570828485554245,0.777187118768051,0.9930693532412233,2.1256756873033744
2,high,common_four,observed_both,237,215,22,161,0.7488372093023256,0.321078356107941,0.16128537503014584,0.7608335197807683,0.9559287775442543,1.9499902188050875
3,all,individual,reference,1942,1932,10,1636,0.8467908902691511,0.26250735407284537,0.014924771631008655,0.6129691346880035,1.026676685192298,2.769956886268055
3,all,individual,observed_julho,1942,1663,279,1367,0.8220084185207457,0.28237986729455056,0.021623816093298415,0.6380377710043451,0.9775224745006262,2.282867751906524
3,all,individual,observed_carreiro,1942,1932,10,1636,0.8467908902691511,0.26250735407284537,0.014924771631008655,0.6129691346880035,1.026676685192298,2.769956886268055
3,all,individual,observed_both,1942,1663,279,1367,0.8220084185207457,0.28237986729455056,0.021623816093298415,0.6380377710043451,0.9775224745006262,2.282867751906524
3,all,common_four,reference,1942,1663,279,1424,0.8562838244137102,0.2532839742090707,0.040872031057294485,0.5961597633900798,1.0362176925052624,2.769956886268055
3,all,common_four,observed_julho,1942,1663,279,1367,0.8220084185207457,0.28237986729455056,0.021623816093298415,0.6380377710043451,0.9775224745006262,2.282867751906524
