regiao,periodo,atraso_h,correlacao,n_horas
Baixo Antas,out2025_set2026,2,0.14480199521325715,8298
Baixo Antas,out2025_set2026,3,0.15889967960328374,8295
Baixo Antas,out2025_set2026,4,0.173234335612683,8288
Baixo Antas,out2025_set2026,5,0.1894323511236859,8283
Baixo Antas,out2025_set2026,6,0.20655525037168185,8281
Baixo Antas,out2025_set2026,7,0.22285597254933065,8280
Baixo Antas,out2025_set2026,8,0.23857696263227113,8279
Baixo Antas,out2025_set2026,9,0.2553190138364237,8279
Baixo Antas,out2025_set2026,10,0.2720329896808427,8279
Baixo Antas,out2025_set2026,11,0.28586615145810185,8278
Baixo Antas,out2025_set2026,12,0.2928875630494283,8276
Baixo Antas,out2025_set2026,13,0.2880818227321111,8274
Baixo Antas,out2025_set2026,14,0.2709777920818868,8273
Baixo Antas,out2025_set2026,15,0.24602191846993798,8271
Baixo Antas,out2025_set2026,16,0.21766597654507186,8269
Baixo Antas,out2025_set2026,17,0.19074885850492518,8268
Baixo Antas,out2025_set2026,18,0.1675698270235892,8267
Baixo Antas,out2025_set2026,19,0.15015190507566037,8266
Baixo Antas,out2025_set2026,20,0.13745306765968018,8265
Baixo Antas,out2025_set2026,21,0.12895593860961624,8266
Baixo Antas,out2025_set2026,22,0.12015566258094765,8266
Baixo Antas,out2025_set2026,23,0.10702207155686855,8266
Baixo Antas,out2025_set2026,24,0.08622393376725448,8266
Baixo Antas,out2025_set2026,25,0.05998882029572708,8266
Baixo Antas,out2025_set2026,26,0.03447439769320093,8266
Baixo Antas,out2025_set2026,27,0.015570711663249512,8265
Baixo Antas,out2025_set2026,28,0.003783280701656004,8265
Baixo Antas,out2025_set2026,29,0.0014598164055240092,8265
Baixo Antas,out2025_set2026,30,0.004358724978692301,8265
Baixo Antas,out2025_set2026,31,0.013030283101599155,8265
Baixo Antas,out2025_set2026,32,0.020369861127935315,8265
Baixo Antas,out2025_set2026,33,0.02535807202293774,8266
Baixo Antas,out2025_set2026,34,0.0255721747079139,8267
Baixo Antas,out2025_set2026,35,0.024116975020765798,8267
Baixo Antas,out2025_set2026,36,0.017378112612568008,8268
Baixo Antas,out2025_set2026,37,0.005044523614780379,8269
Baixo Antas,out2025_set2026,38,-0.013089816821450316,8269
Baixo Antas,out2025_set2026,39,-0.03160042695240758,8268
Baixo Antas,out2025_set2026,40,-0.047490283132813026,8267
Baixo Antas,out2025_set2026,41,-0.06012306448749125,8267
Baixo Antas,out2025_set2026,42,-0.06913731076743336,8266
Baixo Antas,out2025_set2026,43,-0.07461447565492746,8265
Baixo Antas,out2025_set2026,44,-0.07634679844924783,8265
Baixo Antas,out2025_set2026,45,-0.07659418257157545,8266
Baixo Antas,out2025_set2026,46,-0.07577568844107367,8266
Baixo Antas,out2025_set2026,47,-0.07467788061844821,8266
Baixo Antas,out2025_set2026,48,-0.07233795551473629,8266
Carreiro,historico,0,0.08790515952808337,11453
Carreiro,historico,1,0.11051468670398695,11453
Carreiro,historico,2,0.13077326449363433,11451
Carreiro,historico,3,0.1511314175787454,11450
Carreiro,historico,4,0.1750217944196751,11449
Carreiro,historico,5,0.2029992568005965,11448
Carreiro,historico,6,0.23223119539026457,11448
Carreiro,historico,7,0.2570459370056918,11448
Carreiro,historico,8,0.27346873708269026,11447
Carreiro,historico,9,0.2835341043167665,11446
Carreiro,historico,10,0.2890068536361329,11446
Carreiro,historico,11,0.2931555090023893,11445
Carreiro,historico,12,0.2935065021329366,11445
Carreiro,historico,13,0.28801721385135376,11445
Carreiro,historico,14,0.27670443645667353,11445
Carreiro,historico,15,0.2619770870723176,11443
Carreiro,historico,16,0.24792291846482398,11441
Carreiro,historico,17,0.23166562139917626,11440
Carreiro,historico,18,0.2106251965062291,11439
Carreiro,historico,19,0.18221248736496107,11438
Carreiro,historico,20,0.15391545851331773,11436
Carreiro,historico,21,0.1301594225049082,11435
Carreiro,historico,22,0.11530808320206842,11435
Carreiro,historico,23,0.10512075103522871,11433
Carreiro,historico,24,0.09395975644281776,11432
Carreiro,historico,25,0.07611355686328611,11431
Carreiro,historico,26,0.0568936276876393,11430
Carreiro,historico,27,0.0393873942464896,11429
Carreiro,historico,28,0.028064068617050117,11427
Carreiro,historico,29,0.020986978563404698,11427
Carreiro,historico,30,0.018404810686393287,11424
Carreiro,historico,31,0.017054547536936453,11422
Carreiro,historico,32,0.01436722906584019,11423
Carreiro,historico,33,0.01417168311948168,11422
Carreiro,historico,34,0.011195346774365447,11421
Carreiro,historico,35,0.006465515194389551,11421
Carreiro,historico,36,-0.0006315391449016348,11420
Carreiro,historico,37,-0.01161385350230552,11419
Carreiro,historico,38,-0.025713732927759653,11417
Carreiro,historico,39,-0.0395456551256316,11414
Carreiro,historico,40,-0.052220356668635004,11413
Carreiro,historico,41,-0.06414318222907162,11413
Carreiro,historico,42,-0.07513135887842042,11412
Carreiro,historico,43,-0.08362101395978218,11410
Carreiro,historico,44,-0.0878369756530262,11409
Carreiro,historico,45,-0.0871142997252011,11408
Carreiro,historico,46,-0.08394070643039483,11407
Carreiro,historico,47,-0.08124511545159029,11406
Carreiro,historico,48,-0.08080271254377419,11404
Carreiro,abril_set2025,0,0.08474426638206534,3830
Carreiro,abril_set2025,1,0.10710251011434663,3831
Carreiro,abril_set2025,2,0.1303336256736873,3831
Carreiro,abril_set2025,3,0.15742553663803,3831
Carreiro,abril_set2025,4,0.186370591004266,3831
Carreiro,abril_set2025,5,0.21512258236708007,3830
Carreiro,abril_set2025,6,0.2416788323666348,3830
Carreiro,abril_set2025,7,0.26417698481940377,3830
Carreiro,abril_set2025,8,0.28208861343283903,3829
Carreiro,abril_set2025,9,0.2986190796188725,3828
Carreiro,abril_set2025,10,0.3165343788667519,3827
Carreiro,abril_set2025,11,0.33428137061499685,3826
Carreiro,abril_set2025,12,0.34480890157583366,3825
Carreiro,abril_set2025,13,0.34425483080856395,3824
Carreiro,abril_set2025,14,0.33215854245633947,3823
Carreiro,abril_set2025,15,0.31375944268164174,3822
Carreiro,abril_set2025,16,0.29569520692402873,3821
Carreiro,abril_set2025,17,0.279939151018388,3820
Carreiro,abril_set2025,18,0.25857342644687487,3820
Carreiro,abril_set2025,19,0.22415584542758168,3819
