regiao,melhor_atraso_historico_h,correlacao_historica,eventos_com_associacao,eventos_avaliados,mediana_eventos_h,p10_eventos_h,p90_eventos_h,chuva_hoje_horas_cobertas_mm,horas_cobertas_hoje,interpretacao
Baixo Antas,12,0.3008834900866655,8,9,12.5,7.0,25.099999999999998,129.158959537572,14,Associação temporal chuva em 3h versus taxa de subida em 3h; não identifica percurso da água ou causalidade regional.
Carreiro,12,0.2935065021329366,7,8,11.0,7.6,15.400000000000002,64.11107534827677,14,Associação temporal chuva em 3h versus taxa de subida em 3h; não identifica percurso da água ou causalidade regional.
Prata-Turvo,10,0.2678008055259982,3,5,6.0,6.0,11.6,44.83142646606282,12,Associação temporal chuva em 3h versus taxa de subida em 3h; não identifica percurso da água ou causalidade regional.
Alto Antas,11,0.134171990207516,7,9,11.0,5.2,26.60000000000001,34.16499602536013,8,Associação temporal chuva em 3h versus taxa de subida em 3h; não identifica percurso da água ou causalidade regional.
Tainhas,9,0.2825973953418623,9,10,8.0,4.8,14.4,34.88852459016371,8,Associação temporal chuva em 3h versus taxa de subida em 3h; não identifica percurso da água ou causalidade regional.
Guaporé: Linha Colombo,11,0.19827394315304808,6,6,10.5,4.0,28.0,64.2000000000005,14,Associação temporal chuva em 3h versus taxa de subida em 3h; não identifica percurso da água ou causalidade regional.
