nominal_lead_h,family,subset,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
1,reference,all,1944,1938,6,0.9969135802469136,1900,0.9803921568627451,0.1222228902467425,0.0028125638947188157,0.300150437243218,0.480557780191625,1.3458884373571722
1,julho_levels,all,1944,1938,6,0.9969135802469136,1899,0.9798761609907121,0.12476199969157413,0.005587549827616938,0.30659221497316685,0.49141938417525116,1.3381064972736185
1,reference,level_ge_7m,237,235,2,0.9915611814345991,224,0.9531914893617022,0.1653212941958846,0.03619607224255922,0.337904212693461,0.709248074071875,1.3458884373571722
1,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,224,0.9531914893617022,0.16497093712666638,0.038580926492639576,0.34171152602774735,0.7151521197475484,1.3381064972736185
2,reference,all,1943,1935,8,0.9958826556870818,1774,0.9167958656330749,0.19232088235997832,0.0034104863675976623,0.45987989840393756,0.7501986525906661,2.3628209226494157
2,julho_levels,all,1943,1935,8,0.9958826556870818,1765,0.9121447028423773,0.19760730546169264,0.01184436052267257,0.47950329124381563,0.7509826566773425,2.284953358433355
2,reference,level_ge_7m,237,235,2,0.9915611814345991,204,0.8680851063829788,0.2751691198395785,0.05613968496059224,0.6099141826035516,1.126993325292443,2.3628209226494157
2,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,206,0.8765957446808511,0.2693707802407722,0.06364729323608677,0.6068771718858315,1.0584090009375542,2.284953358433355
3,reference,all,1942,1932,10,0.9948506694129763,1656,0.8571428571428571,0.24272348102568744,0.0023557623471568904,0.5847993223610162,0.9323074325120659,3.212712531115547
3,julho_levels,all,1942,1932,10,0.9948506694129763,1623,0.8400621118012422,0.25192667925377843,0.018677074583251713,0.6056125044517772,0.9568729750055739,3.0805352798009373
3,reference,level_ge_7m,237,235,2,0.9915611814345991,171,0.7276595744680852,0.3758963906830996,0.07134204095833029,0.8450891169684062,1.654729873732827,3.212712531115547
3,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,176,0.7489361702127659,0.36332055862237145,0.0852342135959395,0.8351716924487517,1.3237317872772134,3.0805352798009373
4,reference,all,1941,1930,11,0.994332818134982,1603,0.8305699481865285,0.2813081175783471,-0.00039368518507105756,0.658640733842189,1.0540756242212344,3.671050545611749
4,julho_levels,all,1941,1930,11,0.994332818134982,1538,0.7968911917098446,0.29374439021464505,0.024885004122963083,0.6911362531952974,1.0724033113214635,3.4841511059585457
