h,old_mae_m,corrected_mae_m,relative_improvement_pct,n,model
1,0.16240765724091571,0.12688079084723414,21.87511783448793,13,arvores_corrigidas
2,0.4936548120160753,0.3085406319048789,37.498708734387534,12,arvores_corrigidas
3,0.73695233527013,0.5583893140473236,24.22992813468107,11,arvores_corrigidas
4,0.9199092433411344,0.9677021886856825,-5.1953978819652695,10,arvores_corrigidas
5,1.154707893776959,1.3404581159644502,-16.086338647942963,9,arvores_corrigidas
6,1.6349410331714147,1.5979763329629275,2.2609194740671508,8,arvores_corrigidas
