station,counter_pairs,counter_match_fraction
86060010,0,
86099000,0,
86102000,0,
86117000,0,
86125000,0,
86125050,0,
86160000,51256,0.9999804900889652
86163000,0,
86200900,0,
86280500,0,
86298000,0,
86403000,0,
86410800,0,
86447000,0,
86448000,0,
86450000,0,
86471000,0,
86472000,51536,1.0
86472600,50005,1.0
86479000,0,
86488000,0,
86493000,0,
86495500,0,
86500000,49515,1.0
86504900,0,
86505500,0,
86510000,51249,1.0
