source,lead_h,forecast_m3_s,alpha
julho,0,5140.883491227464,1000.0
julho,1,5846.579373910123,1000.0
julho,2,6489.397404355671,1000.0
julho,3,7033.379674604753,1000.0
julho,4,7624.831243553152,1000.0
julho,5,8205.800724323273,1000.0
carreiro,0,714.6197396045434,1000.0
carreiro,1,856.0521048340488,1000.0
carreiro,2,963.9149252693704,1000.0
carreiro,3,936.8491437738892,1000.0
carreiro,4,959.2518159727819,1000.0
carreiro,5,923.1876813509774,1000.0
