source,last_time,delay_minutes,value
86060010,2026-09-21T08:00:00-03:00,780.0,13.8
86099000,2026-09-21T20:00:00-03:00,60.0,6.99
86102000,2026-09-21T10:00:00-03:00,660.0,7.51
86117000,2026-09-21T20:00:00-03:00,60.0,2.43
86125000,2026-09-21T11:59:00-03:00,541.0,0.8412999999999999
86125050,2026-09-21T20:00:00-03:00,60.0,1.39
86160000,2026-09-21T19:45:00-03:00,75.0,5.01
86163000,2026-09-21T20:00:00-03:00,60.0,1.23
86200900,2026-09-21T12:00:00-03:00,540.0,667.03
86280500,2026-09-21T20:00:00-03:00,60.0,4.875
86298000,2026-09-21T18:00:00-03:00,180.0,12.62
86403000,2026-09-21T20:00:00-03:00,60.0,8.77
86410800,2026-09-21T20:00:00-03:00,60.0,0.02
86447000,2026-09-21T20:00:00-03:00,60.0,4.88
86448000,2026-09-21T19:00:00-03:00,120.0,153.55
86450000,2026-09-21T18:15:00-03:00,165.0,17.53
86471000,2026-09-21T20:30:00-03:00,30.0,2.87
86472000,2026-09-21T20:30:00-03:00,30.0,17.66
86472600,2026-09-21T20:45:00-03:00,15.0,14.36
86479000,2026-09-21T20:00:00-03:00,60.0,0.3
86488000,2026-09-21T20:00:00-03:00,60.0,2.4
86493000,2026-09-21T20:00:00-03:00,60.0,371.95
86495500,2026-09-21T20:00:00-03:00,60.0,330.51
86500000,2026-09-21T20:30:00-03:00,30.0,4.793
86504900,2026-09-21T20:00:00-03:00,60.0,6.19
86505500,2026-09-21T20:00:00-03:00,60.0,1.15
86510000,2026-09-21T20:30:00-03:00,30.0,15.56
julho,2026-09-21T20:00:00-03:00,60.0,8875.46
monte,2026-09-21T20:00:00-03:00,60.0,11154.08
castro,2026-09-21T20:00:00-03:00,60.0,8905.44
